source,url,normalized_url,inventory_origin,discovery_status,fetch_status,http_status,browser_render_required,classification,classification_reason,master_id,canonical_name,extraction_status,validation_decision,review_status,staging_status,failure_reason,final_category,recommended_action
BIRAC,http://birac.nic.in/webcontent/1546855578_big_guidelines_new_07_01_2019.pdf,http://birac.nic.in/webcontent/1546855578_big_guidelines_new_07_01_2019.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,http://birac.nic.in/webcontent/1562675374_big_guideline.pdf,http://birac.nic.in/webcontent/1562675374_big_guideline.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,http://birac.nic.in/webcontent/BIG_Guidelines_01_01_2017.pdf,http://birac.nic.in/webcontent/BIG_Guidelines_01_01_2017.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp.php,https://birac.nic.in/cfp.php,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,DIRECTORY_PAGE,directory/index marker,,,NOT_APPLICABLE,,,NOT_PRESENT,"Classifier treated this as supporting, historical, directory, policy, result, or reference content.",NON_SCHEME_CONTENT,No master is required unless manual review identifies a distinct live scheme.
BIRAC,https://birac.nic.in/cfp_view.php?id=10&scheme_type=5,https://birac.nic.in/cfp_view.php?id=10&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=11&scheme_type=5,https://birac.nic.in/cfp_view.php?id=11&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=112&scheme_type=41,https://birac.nic.in/cfp_view.php?id=112&scheme_type=41,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,e218e7d6151450568ad2,E-YUVA,NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=116&scheme_type=52,https://birac.nic.in/cfp_view.php?id=116&scheme_type=52,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,01ada0dba5be9c8831c9,National Green Hydrogen Mission,NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=118&scheme_type=6,https://birac.nic.in/cfp_view.php?id=118&scheme_type=6,discovery_results_v2,PENDING,FETCHED_FOR_EXTRACTION,,False,CALL,call marker,f60669191ee8384cbb3f,Grand Challenges India (GCI),EXTRACTED,APPROVED_FOR_DATABASE,,STAGED,,FULLY_PROCESSED,No action required.
BIRAC,https://birac.nic.in/cfp_view.php?id=12&scheme_type=5,https://birac.nic.in/cfp_view.php?id=12&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
