source,url,normalized_url,inventory_origin,discovery_status,fetch_status,http_status,browser_render_required,classification,classification_reason,master_id,canonical_name,extraction_status,validation_decision,review_status,staging_status,failure_reason,final_category,recommended_action
BIRAC,http://birac.nic.in/webcontent/1546855578_big_guidelines_new_07_01_2019.pdf,http://birac.nic.in/webcontent/1546855578_big_guidelines_new_07_01_2019.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,http://birac.nic.in/webcontent/1562675374_big_guideline.pdf,http://birac.nic.in/webcontent/1562675374_big_guideline.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,http://birac.nic.in/webcontent/BIG_Guidelines_01_01_2017.pdf,http://birac.nic.in/webcontent/BIG_Guidelines_01_01_2017.pdf,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,GUIDELINE,guideline marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://amritmahotsav.mygov.in,https://amritmahotsav.mygov.in/,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://biotechinnovations.com/,https://biotechinnovations.com/,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://birac.nic.in/#mainContent,https://birac.nic.in/,legacy_ssip_db,DISCOVERED,FETCHED_FOR_EXTRACTION,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://birac.nic.in/Bioangels.php,https://birac.nic.in/Bioangels.php,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://birac.nic.in/about_partnership.php,https://birac.nic.in/about_partnership.php,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://birac.nic.in/aceFundNew.php,https://birac.nic.in/aceFundNew.php,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
BIRAC,https://birac.nic.in/biomanufacturing.php,https://birac.nic.in/biomanufacturing.php,legacy_ssip_db,DISCOVERED,FETCH_NOT_RECORDED,,False,,,,,NOT_APPLICABLE,,,NOT_PRESENT,Discovered URL has no classification record.,CLASSIFICATION_UNCERTAIN,Classify the URL or mark it as an intentional duplicate/exclusion.
