master_id,scheme_name,source,present_in_scheme_staging,present_in_admin_review_queue,review_status,decision,publication_status,is_public,programme_status,record_kind,application_status,official_page_url,application_url,validation_score,decision_reasons_json,critical_flags_json,warnings_json,recommended_actions_json,last_import_run_id
0cb848c7d0402bf25982,National Science & Technology Entrepreneurship Development Board (NSTEDB),DST,True,True,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,UMBRELLA_PROGRAMME_INFORMATION_AVAILABLE,UMBRELLA_PROGRAMME,NOT_A_SINGLE_APPLICATION_WINDOW,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,,0.615,"[""Umbrella programme should be split into component schemes before publication.""]",[],"[""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"",""ELIGIBILITY_REQUIRES_EVIDENCE"",""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."",""Confirm the exact financial/non-financial benefit and beneficiary-level limit."",""Create separate records for each component programme instead of publishing the umbrella page as one scheme.""]",admin_approve_1fd5570009314c41bd3a96db35f90c13
147173e17ea741687247,SAMRIDH,MeitY Startup Hub,False,True,REJECTED,REJECTED,,,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/samridh,https://msh.meity.gov.in/about/applyforthelogo,0.871,"[""Closed""]",[],"[""ELIGIBILITY_NOT_FOUND"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]","[""Review the validation reasons and official-source evidence before approval.""]",admin_reject_e144c4bc15214da796a34153b2def0ca
190830c31088c57ffdbc,GENESIS,MeitY Startup Hub,False,True,REJECTED,REJECTED,,,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/genesis,https://msh.meity.gov.in/about/applyforthelogo,0.871,"[""Closed""]",[],"[""ELIGIBILITY_NOT_FOUND"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]","[""Review the validation reasons and official-source evidence before approval.""]",admin_reject_c6fde5e8b1f147809758b675b078cdf6
19eed8a8d960d536a52f,Indo-Japan Cooperative Science Programme (IJCSP),DST,True,True,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,CALL_INFORMATION_CURRENT,APPLICATION_CALL,DEADLINE_UNVERIFIED,https://dst.gov.in/callforproposals/dst-jsps-call-proposal-2026-under-indo-japan-cooperative-science-programme-ijcsp,,0.54,"[""Current call deadline could not be verified.""]",[],"[""ACTIVE_CALL_DEADLINE_UNVERIFIED"",""APPLICATION_LINK_REQUIRES_REVIEW"",""APPLICATION_PROCESS_REQUIRES_EVIDENCE"",""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"",""OBJECTIVE_REQUIRES_EVIDENCE"",""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm the exact financial/non-financial benefit and beneficiary-level limit."",""Confirm the step-by-step application process and official application link."",""Confirm the latest closing date or extension notice.""]",admin_approve_c3096e1494bf4a6ea1b9d3f26ea3dba8
1f994994972aa20c7c5d,INSPIRE Scheme,DST,True,False,,,STAGED,0,SCHEME_INFORMATION_AVAILABLE,SCHEME_OR_PROGRAMME,COMPONENT_SPECIFIC,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,,0.925,,,,,e35068312d2c4abb91acd46a18bda570
23290a8aab541138ab07,Mega Facilities for Basic Research Scheme,DST,True,False,,,READY_FOR_PUBLICATION,0,SCHEME_INFORMATION_AVAILABLE,,,https://dst.gov.in/mega-facilities-basic-research-scheme,https://dst.gov.in/announcement/applications-invited-throughout-year,0.726,,,,,
2fcf4cfd53ae3826cf8c,Bio-AI / BioE3 Mulankur Hubs,BIRAC,True,True,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,CALL_INFORMATION_CURRENT,APPLICATION_CALL,OPEN,https://birac.nic.in/desc_new.php?id=1334,https://birac.nic.in/login.php,0.535,"[""Call is discoverable, but the application process is incomplete.""]",[],"[""APPLICATION_PROCESS_REQUIRES_EVIDENCE"",""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"",""ELIGIBILITY_REQUIRES_EVIDENCE"",""OBJECTIVE_REQUIRES_EVIDENCE"",""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."",""Confirm the exact financial/non-financial benefit and beneficiary-level limit."",""Confirm the step-by-step application process and official application link.""]",admin_approve_b2fc1caa5d0b4dd3b57329d68e7e0015
4dffaf1021d344e091ab,Startup India Seed Fund Scheme (SISFS),Startup India,True,False,,,STAGED,0,SCHEME_INFORMATION_AVAILABLE,SCHEME_OR_PROGRAMME,CLOSED,https://seedfund.startupindia.gov.in/,,0.925,,,,,e35068312d2c4abb91acd46a18bda570
6446e10db652ef637b48,India-Austria Science & Technology Cooperation,DST,True,True,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,CALL_INFORMATION_AVAILABLE,APPLICATION_CALL,CLOSED,https://dst.gov.in/callforproposals/india-austria-science-technology-cooperation-call-proposals-2026,,0.565,"[""Call is discoverable, but the application process is incomplete."",""later""]",[],"[""APPLICATION_LINK_REQUIRES_REVIEW"",""APPLICATION_PROCESS_REQUIRES_EVIDENCE"",""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"",""ELIGIBILITY_REQUIRES_EVIDENCE"",""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."",""Confirm the exact financial/non-financial benefit and beneficiary-level limit."",""Confirm the step-by-step application process and official application link.""]",admin_approve_d468a74705a349cd942da911268894b1
6af79cf6c8a213dddce8,TIDE 2.0,MeitY Startup Hub,False,True,REJECTED,REJECTED,,,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/tide,https://msh.meity.gov.in/about/applyforthelogo,0.75,"[""Old Scheme""]",[],"[""ELIGIBILITY_NOT_FOUND"", ""BENEFITS_NOT_FOUND"", ""REQUIRED_DOCUMENTS_NOT_FOUND"", ""EXPLICIT_FUNDING_AMOUNT_NOT_FOUND""]","[""Collect missing official-source evidence and revalidate the record.""]",admin_reject_39db98bc332e4c67b541a7db7017f025
