master_id,source,scheme_name,current_location,current_review_status,current_decision,current_publication_status,current_is_public,current_record_kind,normalized_record_kind,record_kind_basis,programme_status,application_status,catalogue_inclusion,catalogue_section,normalization_disposition,publication_recommendation,official_page_url,application_url,decision_reasons,warnings,recommended_actions,normalization_issues
0cb848c7d0402bf25982,DST,National Science & Technology Entrepreneurship Development Board (NSTEDB),SCHEME_STAGING,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,UMBRELLA_PROGRAMME,UMBRELLA_PROGRAMME,EXISTING_VALUE,UMBRELLA_PROGRAMME_INFORMATION_AVAILABLE,NOT_A_SINGLE_APPLICATION_WINDOW,INCLUDED,UMBRELLA_PROGRAMMES,KEEP_AS_UMBRELLA_PROGRAMME,ELIGIBLE_AFTER_CONTENT_REVIEW,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,,"[""Umbrella programme should be split into component schemes before publication.""]","[""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."", ""Confirm the exact financial/non-financial benefit and beneficiary-level limit."", ""Create separate records for each component programme instead of publishing the umbrella page as one scheme.""]","[""APPLICATION_URL_MISSING"", ""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]"
147173e17ea741687247,MeitY Startup Hub,SAMRIDH,REVIEW_ONLY,REJECTED,REJECTED,,,,SCHEME_OR_PROGRAMME,INFERRED_FROM_PROGRAMME_STATUS,SCHEME_INFORMATION_AVAILABLE,,INCLUDED,SCHEMES_AND_PROGRAMMES,REVALIDATE_AS_CLOSED_CATALOGUE_RECORD,PUBLIC_CATALOGUE_CLOSED_AFTER_REVALIDATION,https://msh.meity.gov.in/schemes/samridh,https://msh.meity.gov.in/about/applyforthelogo,"[""Closed""]","[""ELIGIBILITY_NOT_FOUND"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]","[""Review the validation reasons and official-source evidence before approval.""]","[""ELIGIBILITY_NOT_FOUND"", ""RECORD_KIND_MISSING"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]"
190830c31088c57ffdbc,MeitY Startup Hub,GENESIS,REVIEW_ONLY,REJECTED,REJECTED,,,,SCHEME_OR_PROGRAMME,INFERRED_FROM_PROGRAMME_STATUS,SCHEME_INFORMATION_AVAILABLE,,INCLUDED,SCHEMES_AND_PROGRAMMES,REVALIDATE_AS_CLOSED_CATALOGUE_RECORD,PUBLIC_CATALOGUE_CLOSED_AFTER_REVALIDATION,https://msh.meity.gov.in/schemes/genesis,https://msh.meity.gov.in/about/applyforthelogo,"[""Closed""]","[""ELIGIBILITY_NOT_FOUND"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]","[""Review the validation reasons and official-source evidence before approval.""]","[""ELIGIBILITY_NOT_FOUND"", ""RECORD_KIND_MISSING"", ""REQUIRED_DOCUMENTS_NOT_FOUND""]"
1f994994972aa20c7c5d,DST,INSPIRE Scheme,SCHEME_STAGING,,,STAGED,0,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,EXISTING_VALUE,SCHEME_INFORMATION_AVAILABLE,COMPONENT_SPECIFIC,INCLUDED,SCHEMES_AND_PROGRAMMES,KEEP_AS_SCHEME_OR_PROGRAMME,ELIGIBLE_AFTER_CONTENT_REVIEW,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,,[],[],[],"[""APPLICATION_URL_MISSING"", ""STAGED_WITHOUT_CURRENT_REVIEW_LINEAGE""]"
23290a8aab541138ab07,DST,Mega Facilities for Basic Research Scheme,SCHEME_STAGING,,,READY_FOR_PUBLICATION,0,,SCHEME_OR_PROGRAMME,INFERRED_FROM_PROGRAMME_STATUS,SCHEME_INFORMATION_AVAILABLE,,INCLUDED,SCHEMES_AND_PROGRAMMES,KEEP_AS_SCHEME_OR_PROGRAMME,ELIGIBLE_AFTER_CONTENT_REVIEW,https://dst.gov.in/mega-facilities-basic-research-scheme,https://dst.gov.in/announcement/applications-invited-throughout-year,[],[],[],"[""RECORD_KIND_MISSING"", ""STAGED_WITHOUT_CURRENT_REVIEW_LINEAGE""]"
2fcf4cfd53ae3826cf8c,BIRAC,Bio-AI / BioE3 Mulankur Hubs,SCHEME_STAGING,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,APPLICATION_CALL,APPLICATION_CALL,EXISTING_VALUE,CALL_INFORMATION_CURRENT,OPEN,INCLUDED,CURRENT_OPPORTUNITIES,KEEP_AS_CURRENT_OPPORTUNITY,VERIFY_URL_AND_DEADLINE_BEFORE_PUBLICATION,https://birac.nic.in/desc_new.php?id=1334,https://birac.nic.in/login.php,"[""Call is discoverable, but the application process is incomplete.""]","[""APPLICATION_PROCESS_REQUIRES_EVIDENCE"", ""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""OBJECTIVE_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."", ""Confirm the exact financial/non-financial benefit and beneficiary-level limit."", ""Confirm the step-by-step application process and official application link.""]","[""APPLICATION_PROCESS_REQUIRES_EVIDENCE"", ""BENEFITS_OR_FUNDING_REQUIRES_EVIDENCE"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""OBJECTIVE_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]"
4dffaf1021d344e091ab,Startup India,Startup India Seed Fund Scheme (SISFS),SCHEME_STAGING,,,STAGED,0,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,EXISTING_VALUE,SCHEME_INFORMATION_AVAILABLE,CLOSED,INCLUDED,SCHEMES_AND_PROGRAMMES,KEEP_SCHEME_WITH_CLOSED_STATUS,PUBLIC_CATALOGUE_CLOSED,https://seedfund.startupindia.gov.in/,,[],[],[],"[""APPLICATION_URL_MISSING"", ""STAGED_WITHOUT_CURRENT_REVIEW_LINEAGE""]"
a56767dbf672793e0cab,DST,Building U.S.-India Partnerships to Drive Innovation,SCHEME_STAGING,APPROVED,APPROVED_FOR_DATABASE,STAGED,0,APPLICATION_CALL,APPLICATION_CALL,EXISTING_VALUE,CALL_INFORMATION_CURRENT,OPEN,INCLUDED,CURRENT_OPPORTUNITIES,KEEP_AS_CURRENT_OPPORTUNITY,VERIFY_URL_AND_DEADLINE_BEFORE_PUBLICATION,https://dst.gov.in/callforproposals-1,,"[""Call is discoverable, but the application process is incomplete."", ""Later""]","[""APPLICATION_LINK_REQUIRES_REVIEW"", ""APPLICATION_PROCESS_REQUIRES_EVIDENCE"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]","[""Confirm eligibility from the official guideline, RFP, or application portal."", ""Confirm the step-by-step application process and official application link.""]","[""APPLICATION_LINK_REQUIRES_REVIEW"", ""APPLICATION_PROCESS_REQUIRES_EVIDENCE"", ""APPLICATION_URL_MISSING"", ""ELIGIBILITY_REQUIRES_EVIDENCE"", ""REQUIRED_DOCUMENTS_NOT_VERIFIED""]"
c684dceb539277134b92,Startup India,Credit Guarantee Scheme for Startups (CGSS),SCHEME_STAGING,,,STAGED,0,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,EXISTING_VALUE,SCHEME_INFORMATION_AVAILABLE,APPLY_THROUGH_MEMBER_INSTITUTION,INCLUDED,SCHEMES_AND_PROGRAMMES,KEEP_AS_SCHEME_OR_PROGRAMME,ELIGIBLE_AFTER_CONTENT_REVIEW,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,,[],[],[],"[""APPLICATION_URL_MISSING"", ""STAGED_WITHOUT_CURRENT_REVIEW_LINEAGE""]"
f60669191ee8384cbb3f,BIRAC,Grand Challenges India (GCI),SCHEME_STAGING,,,STAGED,0,APPLICATION_CALL,APPLICATION_CALL,EXISTING_VALUE,CALL_INFORMATION_CURRENT,OPEN,INCLUDED,CURRENT_OPPORTUNITIES,KEEP_AS_CURRENT_OPPORTUNITY,VERIFY_URL_AND_DEADLINE_BEFORE_PUBLICATION,https://birac.nic.in/desc_new.php?id=1327,https://birac.nic.in/login.php,[],[],[],"[""STAGED_WITHOUT_CURRENT_REVIEW_LINEAGE""]"
