master_id,scheme_name,source,current_url,official_domain,suggested_search_query,candidate_core_scheme_url,candidate_application_url,candidate_guideline_url,candidate_notification_url,curation_decision,curation_reason,last_verified_at
v332_dfc70b4c83d3fc4c5168,Assistance to Wholesalers and Retail Traders (AWRT) | MSME Financing,National Small Industries Corporation,https://www.nsic.co.in/Schemes/AWRTAgainstBG,www.nsic.co.in,"site:www.nsic.co.in ""Assistance to Wholesalers and Retail Traders (AWRT) | MSME Financing"" scheme programme",,,,,,,
v332_dd98750be65f7a697d47,Bill Discounting Scheme | MSME Financing,National Small Industries Corporation,https://www.nsic.co.in/Schemes/BillDiscountingAgainstBG,www.nsic.co.in,"site:www.nsic.co.in ""Bill Discounting Scheme | MSME Financing"" scheme programme",,,,,,,
v332_05ad0ef4cf5b16853015,Credit Facilitation Through Bank | MSME Assistance,National Small Industries Corporation,https://www.nsic.co.in/Schemes/CreditFacilitationThroughBank,www.nsic.co.in,"site:www.nsic.co.in ""Credit Facilitation Through Bank | MSME Assistance"" scheme programme",,,,,,,
v332_efe104e15db214a36b4d,Exhibition Complex & Event Management Cell,National Small Industries Corporation,https://www.nsic.co.in/Schemes/ExhibitionComplexEventManagement,www.nsic.co.in,"site:www.nsic.co.in ""Exhibition Complex & Event Management Cell"" scheme programme",,,,,,,
v332_242b70c53db67a0988ab,ICT Digital Service | Digital Initiatives | MSMEMart,National Small Industries Corporation,https://www.nsic.co.in/Schemes/DigitalServices,www.nsic.co.in,"site:www.nsic.co.in ""ICT Digital Service | Digital Initiatives | MSMEMart"" scheme programme",,,,,,,
v332_661e14b665bc9092a5de,International Cooperation Activities,National Small Industries Corporation,https://www.nsic.co.in/Schemes/InternationalCooperationActivities,www.nsic.co.in,"site:www.nsic.co.in ""International Cooperation Activities"" scheme programme",,,,,,,
v332_84a1fd4fb1a8d4689723,MSME SAARTHI (NBPA Scheme),National Small Industries Corporation,https://www.nsic.co.in/Schemes/MSMESaarthi,www.nsic.co.in,"site:www.nsic.co.in ""MSME SAARTHI (NBPA Scheme)"" scheme programme",,,,,,,
v332_7bbfdddd6c0652af826b,Machines & Equipments Selling Scheme through Aggregation Services,National Small Industries Corporation,https://www.nsic.co.in/Schemes/MEScheme,www.nsic.co.in,"site:www.nsic.co.in ""Machines & Equipments Selling Scheme through Aggregation Services"" scheme programme",,,,,,,
v332_f28609ca6a7512ac5b67,Marketing Facilitation Scheme (MFS),National Small Industries Corporation,https://www.nsic.co.in/Schemes/MarketingFacilitation,www.nsic.co.in,"site:www.nsic.co.in ""Marketing Facilitation Scheme (MFS)"" scheme programme",,,,,,,
v332_1f978aff9c9e9ea43445,Marketing Intelligence,National Small Industries Corporation,https://www.nsic.co.in/Schemes/MarketingIntelligence,www.nsic.co.in,"site:www.nsic.co.in ""Marketing Intelligence"" scheme programme",,,,,,,
23290a8aab541138ab07,Mega Facilities for Basic Research Scheme,DST,https://dst.gov.in/mega-facilities-basic-research-scheme,dst.gov.in,"site:dst.gov.in ""Mega Facilities for Basic Research Scheme"" scheme programme",,,,,,,
v332_a211bfbd67f817508ac3,NSIC Space Available ON HIRE | Event Management | Exhibitions,National Small Industries Corporation,https://www.nsic.co.in/Schemes/OpenSpaces,www.nsic.co.in,"site:www.nsic.co.in ""NSIC Space Available ON HIRE | Event Management | Exhibitions"" scheme programme",,,,,,,
v332_ee3220294a6dbcb633c0,National Scheduled Caste and Scheduled Tribe Hub | NSSH| National SC ST Hub,National Small Industries Corporation,https://www.nsic.co.in/Schemes/NSSH,www.nsic.co.in,"site:www.nsic.co.in ""National Scheduled Caste and Scheduled Tribe Hub | NSSH| National SC ST Hub"" scheme programme",,,,,,,
v332_bae4b61912e6b147887c,National Startup Awards Landing,Startup India - Central Government Schemes,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,www.startupindia.gov.in,"site:www.startupindia.gov.in ""National Startup Awards Landing"" scheme programme",,,,,,,
