master_id,scheme_name,source,ministry,department,implementing_agency,record_kind,programme_status,application_status,official_page_url,application_url,objectives_present,eligibility_present,benefits_present,identity_evidence_score,automatic_recommendation,automatic_reason,manual_identity_decision,manual_availability_decision,verified_core_scheme_url,reviewer_notes
b1_ee767f73e3c7dc192c82,Angel And Venture Funding.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/angel_and_venture_funding.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_dfc70b4c83d3fc4c5168,Assistance to Wholesalers and Retail Traders (AWRT) | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/AWRTAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_262749620413e0d15205,Bharat Startup Grand Challenge | Startup India,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,APPLICATION_CALL,STATUS_UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,Challenge/application opportunity; count separately from permanent schemes and programmes.
v332_dd98750be65f7a697d47,Bill Discounting Scheme | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,CLOSED_OR_HISTORICAL,https://www.nsic.co.in/Schemes/BillDiscountingAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_05ad0ef4cf5b16853015,Credit Facilitation Through Bank | MSME Assistance,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/CreditFacilitationThroughBank,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_180c521a5c6abfd298fd,Credit Guarantee Scheme for Startups,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,CREDIT_GUARANTEE,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DUPLICATE_RECORD,NOT_APPLICABLE,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Duplicate of master_id c684dceb539277134b92.
c684dceb539277134b92,Credit Guarantee Scheme for Startups (CGSS),Startup India,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India / DPIIT,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,APPLY_THROUGH_MEMBER_INSTITUTION,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,https://www.startupindia.gov.in/bhaskar/register,True,True,True,5,REVIEW_LIKELY_SCHEME,Strong structured scheme-identity evidence.,VERIFIED_SCHEME,STATUS_UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Scheme identity verified. Assistance is accessed through eligible member institutions; direct application status requires separate verification.
v332_efe104e15db214a36b4d,Exhibition Complex & Event Management Cell,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/ExhibitionComplexEventManagement,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
b1_d0128807de2b4e6b6cd4,Existing Schemes.Aspx,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://champions.gov.in/MyMsme/grievance/Existing_Schemes.aspx,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DIRECTORY_INDEX,NOT_APPLICABLE,,Existing Schemes listing page; not an individual scheme.
b1_1cfc6c4be071558146fe,Funding.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/funding.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
