master_id,scheme_name,source,ministry,department,implementing_agency,record_kind,programme_status,application_status,official_page_url,application_url,objectives_present,eligibility_present,benefits_present,identity_evidence_score,automatic_recommendation,automatic_reason,manual_identity_decision,manual_availability_decision,verified_core_scheme_url,reviewer_notes,review_group,review_guidance
v332_dfc70b4c83d3fc4c5168,Assistance to Wholesalers and Retail Traders (AWRT) | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/AWRTAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_dd98750be65f7a697d47,Bill Discounting Scheme | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,CLOSED_OR_HISTORICAL,https://www.nsic.co.in/Schemes/BillDiscountingAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_05ad0ef4cf5b16853015,Credit Facilitation Through Bank | MSME Assistance,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/CreditFacilitationThroughBank,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_84a1fd4fb1a8d4689723,MSME SAARTHI (NBPA Scheme),National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MSMESaarthi,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_7bbfdddd6c0652af826b,Machines & Equipments Selling Scheme through Aggregation Services,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MEScheme,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_f28609ca6a7512ac5b67,Marketing Facilitation Scheme (MFS),National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MarketingFacilitation,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
23290a8aab541138ab07,Mega Facilities for Basic Research Scheme,DST,Ministry of Science and Technology,Science & Technology,,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,,https://dst.gov.in/mega-facilities-basic-research-scheme,https://dst.gov.in/announcement/applications-invited-throughout-year,False,False,True,3,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_ee3220294a6dbcb633c0,National Scheduled Caste and Scheduled Tribe Hub | NSSH| National SC ST Hub,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/NSSH,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_807f5e6f513019646e5c,Participation of MSMEs in Exhibitions,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/ParticipationMSMEExhibitions,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
v332_ba8fd381f036d95ad89b,RMA against Bank Guarantee | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,CLOSED_OR_HISTORICAL,https://www.nsic.co.in/Schemes/RawMaterialAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,,likely_scheme,"Verify whether the official page defines a formal scheme with purpose, beneficiaries and support."
