"master_id","scheme_name","normalized_record_kind","record_kind","ministry","department","implementing_agency","programme_status","application_status","current_decision","official_page_url","application_url"
"19eed8a8d960d536a52f","Indo-Japan Cooperative Science Programme (IJCSP)","APPLICATION_CALL","","","","","CALL_INFORMATION_CURRENT","DEADLINE_UNVERIFIED","APPROVED_FOR_DATABASE","https://dst.gov.in/callforproposals/dst-jsps-call-proposal-2026-under-indo-japan-cooperative-science-programme-ijcsp",""
"b1_d609e0f5ca82fb6e6416","Schemes","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","MSME Ministry","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://www.msme.gov.in/schemes","Not specified on the verified official source"
"b1_a02a958be1d45a9fabaa","Startup India Fund Of Funds 2.0 Scheme.Pdf","FUND","FUND","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","Startup India","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf","Not specified on the verified official source"
"b1_1692cd16d54709c21f57","Startup Schemes Playbook June 2026.Pdf","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","Startup India","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf","Not specified on the verified official source"
"b1_0ef15a88db817bcdd2b9","Sitemap.Xml","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Ministry of Electronics and Information Technology","Digital India Corporation","myScheme","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://www.myscheme.gov.in/sitemap.xml","Not specified on the verified official source"
"b1_bcfa2541b23572c907ee","Schemes.Aspx","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Ministry of Micro, Small and Medium Enterprises","Office of Development Commissioner (MSME)","DC MSME","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://dcmsme.gov.in/schemes.aspx","Not specified on the verified official source"
"b1_0d0b5796ed528f890f2d","Sitemap.Xml","APPLICATION_CALL","APPLICATION_CALL","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","MSME Champions","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","","https://champions.gov.in/sitemap.xml","Not specified on the verified official source"
"b1_1259aff904001b93e80c","myScheme","APPLICATION_CALL","APPLICATION_CALL","Ministry of Electronics and Information Technology","Digital India Corporation","myScheme","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","","https://www.myscheme.gov.in/","Not specified on the verified official source"
"b1_98664c06a5f9d1eee056","Distressed Assets Fund.Pdf","FUND","FUND","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","MSME Champions","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://champions.gov.in/Docs/Distressed Assets Fund.pdf","Not specified on the verified official source"
"b1_a4ddb9b174444c0cb2a3","Msme Launches Another Funding Scheme To Help The Distressed Msme Sector.Pdf","FUND","FUND","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","MSME Champions","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","NEEDS_REVIEW","https://champions.gov.in/Docs/MSME launches another funding scheme to help the distressed MSME sector.pdf","Not specified on the verified official source"
