record_id,canonical_name,record_type,parent_record_id,ministry,department,implementing_agency,portal_source,direct_applicant_layer,startup_relevance,sector,support_type,application_status,opening_date,closing_date,application_url,official_url,guideline_url,status_basis,last_verified_date,evidence_excerpt,evidence_confidence,unresolved_fields,publication_status,review_required,summary
dbt_birac_call_0133ddc540a4dd13928f,BioNEST Call for Proposals 2024,IMPLEMENTATION_PARTNER_OPPORTUNITY,dbt_birac_programme_37cee8b1f4918e65e71e,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,incubator;academic or research institution,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,grant;validation;commercialisation,CLOSED,2024-02-01,2024-03-31,,https://birac.nic.in/desc_new.php?id=1120,,"Past infrastructure-partner call, separated from direct startup opportunities.",2026-07-21,"Past infrastructure-partner call, separated from direct startup opportunities.",HIGH,,PUBLIC_DEPARTMENT_PAGE,0,"Past infrastructure-partner call, separated from direct startup opportunities."
dbt_birac_call_18b2dc64727b68193481,Grand Challenges India: Transforming Health Systems through Integrated Care Models,CHALLENGE,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup;academic or research institution;consortium,STARTUP_RELEVANT,healthcare,grant;validation;commercialisation,CLOSED,2026-05-12,2026-07-15,,https://birac.nic.in/cfp_view.php?id=118&scheme_type=6,,Official challenge deadline was extended to 15 July 2026 and has passed.,2026-07-21,Official challenge deadline was extended to 15 July 2026 and has passed.,HIGH,parent_record_id,PUBLIC_DEPARTMENT_PAGE,1,Official challenge deadline was extended to 15 July 2026 and has passed.
dbt_birac_call_681ccfe095c3b52a8c56,BIG Call 24,HISTORICAL_CALL,dbt_birac_programme_2a21fe6d592a19b7de89,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup;innovator,STARTUP_RELEVANT,biotechnology,grant;validation;commercialisation,CLOSED,2024-04-15,2024-06-14,,https://birac.nic.in/cfp_view.php?id=31&scheme_type=5,,Official individual round with a past deadline.,2026-07-21,Official individual round with a past deadline.,HIGH,,PUBLIC_DEPARTMENT_PAGE,0,Official individual round with a past deadline.
dbt_birac_call_6c70aaef78171b0e6160,Product Commercialization Program Fund Call 2026,HISTORICAL_CALL,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup;biotechnology company,STARTUP_RELEVANT,biotechnology,grant;validation;commercialisation,CLOSED,2026-01-08,2026-03-15,,https://birac.nic.in/cfp_view.php?id=117&scheme_type=29,,Official call page and programme page state the call is closed.,2026-07-21,Official call page and programme page state the call is closed.,HIGH,parent_record_id,PUBLIC_DEPARTMENT_PAGE,1,Official call page and programme page state the call is closed.
dbt_birac_call_7dc37268d6fe86663d26,Call for Establishment of SPARSH Centres 2023,IMPLEMENTATION_PARTNER_OPPORTUNITY,dbt_birac_programme_8394e6f426a8d1ccfe1c,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,academic or research institution;implementation partner,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,grant;validation;commercialisation,CLOSED,2023-08-15,2023-09-15,,https://birac.nic.in/cfp_view.php?id=84&scheme_type=4,,"Institution/implementation-partner opportunity, not a direct startup scheme.",2026-07-21,"Institution/implementation-partner opportunity, not a direct startup scheme.",HIGH,,PUBLIC_DEPARTMENT_PAGE,0,"Institution/implementation-partner opportunity, not a direct startup scheme."
dbt_birac_call_955614b1bbf7c71695f7,BIG Call 25,HISTORICAL_CALL,dbt_birac_programme_2a21fe6d592a19b7de89,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup;innovator,STARTUP_RELEVANT,biotechnology,grant;validation;commercialisation,CLOSED,2025-11-01,2025-11-30,,https://birac.nic.in/cfp.php/portal/desc_new.php?id=443,,Official individual round with a past deadline.,2026-07-21,Official individual round with a past deadline.,HIGH,,PUBLIC_DEPARTMENT_PAGE,0,Official individual round with a past deadline.
dbt_birac_call_a34e83aadd81b682b5f3,Bio-AI / BioE3 Mulankur Hubs,HISTORICAL_CALL,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,academic or research institution;startup;consortium,STARTUP_RELEVANT,bioinformatics;synthetic biology;healthcare;agriculture and agritech;industrial biotechnology,grant;validation;commercialisation,CLOSED,2026-01-19,2026-07-15,,https://birac.nic.in/cfp_view.php?id=114&scheme_type=46,,Later official extension evidence supersedes the earlier 30 June date; deadline has passed.,2026-07-21,Later official extension evidence supersedes the earlier 30 June date; deadline has passed.,HIGH,parent_record_id,PUBLIC_DEPARTMENT_PAGE,1,Later official extension evidence supersedes the earlier 30 June date; deadline has passed.
dbt_birac_call_bbdac5ae0c028e41f098,Call for Setting up E-YUVA Centres 2023,IMPLEMENTATION_PARTNER_OPPORTUNITY,dbt_birac_programme_85cb10362c7f8eab552a,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,academic or research institution;implementation partner,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,grant;validation;commercialisation,CLOSED,2023-07-01,2023-08-17,,https://birac.nic.in/cfp_view.php?id=82&scheme_type=31,,Institution-only centre call; official extension to 17 August retained on the same call.,2026-07-21,Institution-only centre call; official extension to 17 August retained on the same call.,HIGH,,PUBLIC_DEPARTMENT_PAGE,0,Institution-only centre call; official extension to 17 August retained on the same call.
dbt_birac_call_cac53f6c55087373dede,National Green Hydrogen Mission Biotechnology Call,HISTORICAL_CALL,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,biotechnology company;academic or research institution;consortium,STARTUP_RELEVANT,industrial biotechnology;environmental biotechnology,grant;validation;commercialisation,CLOSED,2025-12-26,2026-02-05,,https://birac.nic.in/cfp_view.php?id=116&scheme_type=52,,Official BIRAC call with a past deadline.,2026-07-21,Official BIRAC call with a past deadline.,HIGH,parent_record_id,PUBLIC_DEPARTMENT_PAGE,1,Official BIRAC call with a past deadline.
dbt_birac_programme_0cc102270251adbfdb3f,Biotechnology Industry Partnership Programme (BIPP),SCHEME,dbt_birac_programme_6ed5045938d710d07514,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,biotechnology company;MSME/company,STARTUP_RELEVANT,biotechnology,grant;commercialisation;pilot support,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/desc_new.php?id=216,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Industry partnership support for high-risk biotechnology research and development.,HIGH,,PUBLIC_DEPARTMENT_PAGE,0,Industry partnership support for high-risk biotechnology research and development.
