source_id,source_owner,official_url,authoritative_role,permitted_domain,monitoring_frequency,crawl_scope,pagination_rule,rate_limit_seconds,canonical_rule,ownership_rule,exclusion_rule
ace,BIRAC,https://birac.nic.in/aceFundNew.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
big,BIRAC,https://birac.nic.in/big.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
big_24,BIRAC,https://birac.nic.in/cfp_view.php?id=31&scheme_type=5,HISTORICAL_CALL,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
big_25,BIRAC,https://birac.nic.in/cfp.php/portal/desc_new.php?id=443,HISTORICAL_CALL,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
big_guide,BIRAC,https://birac.nic.in/webcontent/big_user_guide.pdf,SUPPORTING_DOCUMENT,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
bioai_2026,BIRAC,https://birac.nic.in/cfp_view.php?id=114&scheme_type=46,APPLICATION_CALL,birac.nic.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
biocare,DBT,https://dbtindia.gov.in/biotechnology-career-advancement-and-re-orientation-biocare-programmes,PROGRAMME,dbtindia.gov.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
biocare_guide,DBT,https://dbtindia.gov.in/sites/default/files/BioCARe%20Guidelines%202024_0.pdf,SUPPORTING_DOCUMENT,dbtindia.gov.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
bionest,BIRAC,https://birac.nic.in/bionest.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
bionest_2024,BIRAC,https://birac.nic.in/desc_new.php?id=1120,HISTORICAL_CALL,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
