url,page_title,page_role,classification_basis,confidence
https://birac.nic.in/aceFundNew.php,BIRAC,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/big.php,BIRAC,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=31&scheme_type=5,BIRAC-Call For Proposal,HISTORICAL_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp.php/portal/desc_new.php?id=443,BIRAC-Call For Proposal,HISTORICAL_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/webcontent/big_user_guide.pdf,,SUPPORTING_DOCUMENT,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=114&scheme_type=46,BIRAC-Call For Proposal,APPLICATION_CALL,REGISTERED_ROLE,HIGH
https://dbtindia.gov.in/biotechnology-career-advancement-and-re-orientation-biocare-programmes,,PROGRAMME,REGISTERED_ROLE,HIGH
https://dbtindia.gov.in/sites/default/files/BioCARe%20Guidelines%202024_0.pdf,,SUPPORTING_DOCUMENT,REGISTERED_ROLE,HIGH
https://birac.nic.in/bionest.php,BIRAC-BioNEST,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/desc_new.php?id=1120,BIRAC-New,HISTORICAL_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/desc_new.php?id=216,BIRAC-New,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp.php,BIRAC-Call For Proposal,CALL_DIRECTORY,REGISTERED_ROLE,HIGH
https://birac.nic.in/,BIRAC-Home,ORGANISATION_HOME,REGISTERED_ROLE,HIGH
https://dbtindia.gov.in/whats-new/call-for-proposals/archive,,HISTORICAL_ARCHIVE,REGISTERED_ROLE,HIGH
https://dbtindia.gov.in/whats-new/call-for-proposals,,CALL_DIRECTORY,REGISTERED_ROLE,HIGH
https://pgt.dbtindia.gov.in/,,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/e_yuva.php,BIRAC,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=82&scheme_type=31,BIRAC-Call For Proposal,HISTORICAL_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=118&scheme_type=6,BIRAC-Call For Proposal,CHALLENGE,REGISTERED_ROLE,HIGH
https://birac.nic.in/birac_i4.php,BIRAC - i4,UMBRELLA_PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/leapFundNew.php,BIRAC,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=116&scheme_type=52,BIRAC-Call For Proposal,APPLICATION_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/desc_new.php?id=286,BIRAC-New,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/webcontent/1745298188_PACE_scheme_guidelines_16_04_2025.pdf,,SUPPORTING_DOCUMENT,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=117&scheme_type=29,BIRAC-Call For Proposal,APPLICATION_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/desc_new.php?id=217,BIRAC-New,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/seedFundNew.php,BIRAC,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/desc_new.php?id=58,BIRAC-New,PROGRAMME,REGISTERED_ROLE,HIGH
https://birac.nic.in/cfp_view.php?id=84&scheme_type=4,BIRAC-Call For Proposal,HISTORICAL_CALL,REGISTERED_ROLE,HIGH
https://birac.nic.in/webcontent/Sparsh_Guidelines_Ver_3.pdf,,SUPPORTING_DOCUMENT,REGISTERED_ROLE,HIGH
https://birac.nic.in/Bioangels.php,BIRAC,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/about_partnership.php,BIRAC,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/birac_departments.php,BIRAC-Departments,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
http://birac.nic.in/big.php,BIRAC,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
http://birac.nic.in/desc_new.php?id=327,BIRAC-New,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
http://www.birac.nic.in/,BIRAC-Home,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/birac_feedback.php,BIRAC FeedBack,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/birac_site_map.php,BIRAC-Site Map,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/birac_supported_projects.php,BIRAC -Supported Projects,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
https://birac.nic.in/birac_web_information_manager.php,Web Information Manager,REVIEW_REQUIRED,URL_AND_TITLE_RULE,MEDIUM
