record_id,canonical_name,record_type,parent_record_id,ministry,department,implementing_agency,portal_source,direct_applicant_layer,startup_relevance,sector,support_type,application_status,opening_date,closing_date,application_url,official_url,guideline_url,status_basis,last_verified_date,evidence_excerpt,evidence_confidence,unresolved_fields,publication_status,review_required,summary
dbt_birac_programme_0cc102270251adbfdb3f,Biotechnology Industry Partnership Programme (BIPP),SCHEME,dbt_birac_programme_6ed5045938d710d07514,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,biotechnology company;MSME/company,STARTUP_RELEVANT,biotechnology,grant;commercialisation;pilot support,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/desc_new.php?id=216,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Industry partnership support for high-risk biotechnology research and development.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Industry partnership support for high-risk biotechnology research and development.
dbt_birac_programme_12f6f212327a46765c5b,Biotechnology Career Advancement and Re-orientation (BioCARe),PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Regional Centre for Biotechnology (DBT-HRD PMU),Official DBT programme portal,academic or research institution,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,grant;technical assistance,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://dbtindia.gov.in/biotechnology-career-advancement-and-re-orientation-biocare-programmes,,"Status belongs to a dated call, not the permanent identity",2026-07-21,"DBT programme for women researchers, managed by the DBT-HRD PMU at RCB; not attributed to BIRAC.",HIGH,,PREVIEW_NOT_PUBLISHED,0,"DBT programme for women researchers, managed by the DBT-HRD PMU at RCB; not attributed to BIRAC."
dbt_birac_programme_19b25856e1c150ca834c,BIRAC SEED Fund,SCHEME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup,STARTUP_RELEVANT,biotechnology,equity;commercialisation,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/seedFundNew.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Equity support for startups delivered through selected BioNEST incubator partners.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Equity support for startups delivered through selected BioNEST incubator partners.
dbt_birac_programme_19b87ac5ecb1afe2d7f3,Promoting Academic Research Conversion to Enterprise (PACE),PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,academic or research institution,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,grant;validation;commercialisation,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/desc_new.php?id=286,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Academic translation programme with AIR and CRS components.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Academic translation programme with AIR and CRS components.
dbt_birac_programme_2a0b6287a0e65cff2844,AcE Fund,SCHEME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,fund manager,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,equity,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/aceFundNew.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Fund-of-funds style support delivered through SEBI-registered daughter funds; not a direct startup application window.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Fund-of-funds style support delivered through SEBI-registered daughter funds; not a direct startup application window.
dbt_birac_programme_2a21fe6d592a19b7de89,Biotechnology Ignition Grant (BIG),PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,startup;innovator,STARTUP_RELEVANT,biotechnology,grant;mentorship,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/big.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Flagship early-stage biotechnology grant programme; official page states support up to INR 50 lakh for 18 months.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Flagship early-stage biotechnology grant programme; official page states support up to INR 50 lakh for 18 months.
dbt_birac_programme_37cee8b1f4918e65e71e,BioNEST,PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,incubator;ecosystem participant,INTERMEDIARY_OR_INSTITUTION_LAYER,biotechnology,incubation;infrastructure access;mentorship,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/bionest.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,BIRAC bio-incubator network programme; beneficiary and incubator-partner layers are kept distinct.,HIGH,,PREVIEW_NOT_PUBLISHED,0,BIRAC bio-incubator network programme; beneficiary and incubator-partner layers are kept distinct.
dbt_birac_programme_6ed5045938d710d07514,Innovation for Industry (i4),PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,biotechnology company;MSME/company,STARTUP_RELEVANT,biotechnology,grant;soft loan;commercialisation,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/birac_i4.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,"BIRAC umbrella for industry innovation support, including SBIRI and BIPP.",HIGH,,PREVIEW_NOT_PUBLISHED,0,"BIRAC umbrella for industry innovation support, including SBIRI and BIPP."
dbt_birac_programme_8394e6f426a8d1ccfe1c,SPARSH,PROGRAMME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,innovator;academic or research institution,STARTUP_RELEVANT,healthcare;diagnostics;medical devices;agriculture and agritech;environmental biotechnology,grant;mentorship;incubation;commercialisation,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/desc_new.php?id=58,,"Status belongs to a dated call, not the permanent identity",2026-07-21,BIRAC social innovation programme under the aegis of DBT.,HIGH,,PREVIEW_NOT_PUBLISHED,0,BIRAC social innovation programme under the aegis of DBT.
dbt_birac_programme_85cb10362c7f8eab552a,E-YUVA,SCHEME,,Ministry of Science and Technology,Department of Biotechnology,Biotechnology Industry Research Assistance Council (BIRAC),Official BIRAC portal,founder or entrepreneur;innovator;academic or research institution,STARTUP_RELEVANT,biotechnology;healthcare;diagnostics;medical devices;agriculture and agritech;industrial biotechnology;bioinformatics,grant;mentorship;incubation;infrastructure access,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://birac.nic.in/e_yuva.php,,"Status belongs to a dated call, not the permanent identity",2026-07-21,Entrepreneurship and innovation support for students and researchers through E-YUVA Centres.,HIGH,,PREVIEW_NOT_PUBLISHED,0,Entrepreneurship and innovation support for students and researchers through E-YUVA Centres.
