candidate_id,source_id,discovered_url,normalized_url,page_title,candidate_name,official_domain,platform_host,suspected_owner,ownership_status,page_role,parent_candidate_id,discovery_method,http_status,content_type,is_official_domain,duplicate_group_id,discovery_timestamp,classification_confidence,classification_reasons,review_required,rejection_reason
dpiit_candidate_ec1a28c95caa67afc540,DPIIT-SRC-020,https://egazette.nic.in/WriteReadData/2026/270965.pdf,https://egazette.nic.in/WriteReadData/2026/270965.pdf,Gazette Notification G.S.R. 108(E) – Startup Definition,Gazette Notification G.S.R. 108(E) – Startup Definition,egazette.nic.in,eGazette,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,OWNERSHIP_NOT_PROVEN;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_2f031f990a8e114c33eb,DPIIT-SRC-017,https://investorconnect.startupindia.gov.in/,https://investorconnect.startupindia.gov.in/,Startup India Investor Connect,Startup India Investor Connect,investorconnect.startupindia.gov.in,Startup India Investor Connect,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,ECOSYSTEM_PLATFORM,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.92,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;NAMED_ECOSYSTEM_PLATFORM,0,
dpiit_candidate_c3253da46760a28c94d6,DPIIT-SRC-016,https://maarg.startupindia.gov.in/,https://maarg.startupindia.gov.in/,MAARG – Startup India National Mentorship Platform,MAARG,maarg.startupindia.gov.in,MAARG,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,ECOSYSTEM_PLATFORM,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.92,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;NAMED_ECOSYSTEM_PLATFORM,0,
dpiit_candidate_04684b5757f0d8523b96,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/,https://seedfund.startupindia.gov.in/,Startup India Seed Fund Scheme,Startup India Seed Fund Scheme,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,dupurl_04684b5757f0d8523b96,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY;DUPLICATE_OR_ALIAS_GROUP,1,
dpiit_candidate_0dbfcf19851723fe49d8,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/faq,https://seedfund.startupindia.gov.in/faq,SISFS Frequently Asked Questions,SISFS Frequently Asked Questions,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,FAQ,dpiit_candidate_04684b5757f0d8523b96,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;FAQ_EVIDENCE,0,
dpiit_candidate_84a746b00be87bc80726,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/final-notice-2026,https://seedfund.startupindia.gov.in/final-notice-2026,Final Notice: last date for startups to apply under SISFS – 31 May 2026,Final Notice: last date for startups to apply under SISFS – 31 May 2026,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,APPLICATION_CALL,dpiit_candidate_04684b5757f0d8523b96,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.97,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;TIME_BOUND_CALL_EVIDENCE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_89f9b85a774291c41f8b,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/startup/login,https://seedfund.startupindia.gov.in/startup/login,SISFS Startup Application Login,SISFS Startup Application Login,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,APPLICATION_PORTAL,dpiit_candidate_04684b5757f0d8523b96,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.95,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PORTAL_OR_LOGIN_EVIDENCE,0,
dpiit_candidate_851641f43586f94bb3f3,DPIIT-SRC-003,https://www.dpiit.gov.in/documents/gazettes-notifications?page=1,https://www.dpiit.gov.in/documents/gazettes-notifications?page=1,Gazettes Notifications,Gazettes Notifications,www.dpiit.gov.in,DPIIT,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,NOTIFICATION,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;OFFICIAL_NOTIFICATION_EVIDENCE,0,
dpiit_candidate_86047bf20896d899feae,DPIIT-SRC-002,https://www.dpiit.gov.in/documents/orders-and-notices,https://www.dpiit.gov.in/documents/orders-and-notices,Orders and Notices,Orders and Notices,www.dpiit.gov.in,DPIIT,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,NOTIFICATION,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;OFFICIAL_NOTIFICATION_EVIDENCE,0,
dpiit_candidate_e76e839197f6908882e0,DPIIT-SRC-001,https://www.dpiit.gov.in/offerings,https://www.dpiit.gov.in/offerings,Schemes and Services,Schemes and Services,www.dpiit.gov.in,DPIIT,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SOURCE_DIRECTORY,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.91,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;OFFICIAL_DIRECTORY_EVIDENCE,0,
