candidate_id,source_id,discovered_url,normalized_url,page_title,candidate_name,official_domain,platform_host,suspected_owner,ownership_status,page_role,parent_candidate_id,discovery_method,http_status,content_type,is_official_domain,duplicate_group_id,discovery_timestamp,classification_confidence,classification_reasons,review_required,rejection_reason
dpiit_candidate_ec1a28c95caa67afc540,DPIIT-SRC-020,https://egazette.nic.in/WriteReadData/2026/270965.pdf,https://egazette.nic.in/WriteReadData/2026/270965.pdf,Gazette Notification G.S.R. 108(E) – Startup Definition,Gazette Notification G.S.R. 108(E) – Startup Definition,egazette.nic.in,eGazette,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,OWNERSHIP_NOT_PROVEN;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_04684b5757f0d8523b96,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/,https://seedfund.startupindia.gov.in/,Startup India Seed Fund Scheme,Startup India Seed Fund Scheme,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,dupurl_04684b5757f0d8523b96,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY;DUPLICATE_OR_ALIAS_GROUP,1,
dpiit_candidate_84a746b00be87bc80726,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/final-notice-2026,https://seedfund.startupindia.gov.in/final-notice-2026,Final Notice: last date for startups to apply under SISFS – 31 May 2026,Final Notice: last date for startups to apply under SISFS – 31 May 2026,seedfund.startupindia.gov.in,Startup India Seed Fund Scheme,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,APPLICATION_CALL,dpiit_candidate_04684b5757f0d8523b96,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.97,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;TIME_BOUND_CALL_EVIDENCE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_ec3486a7fcbcb33c0ea0,DPIIT-SRC-009,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,Startup India Fund of Funds 2.0 Scheme,Startup India Fund of Funds 2.0 Scheme,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,GUIDELINE,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;GUIDANCE_OR_DOCUMENT_EVIDENCE;SUPPORTING_PAGE_WITHOUT_PARENT,1,
dpiit_candidate_99c433408283d26eddd7,DPIIT-SRC-006,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,Startup India Programs,Startup India Programs,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_a2f1601863f60d1a6e76,DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/archive-notice.html,https://www.startupindia.gov.in/content/sih/en/archive-notice.html,Archived Page,Archived Page,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,ARCHIVED_PAGE,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;ARCHIVE_EVIDENCE;OWNERSHIP_UNRESOLVED;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_65cc8a374e4abde49544,DPIIT-SRC-014,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,Gaming for Good – Bharat Startup Grand Challenge,Gaming for Good – Bharat Startup Grand Challenge,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,CHALLENGE_INSTANCE,dpiit_candidate_4249da56cfe21ea4d7f2,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.95,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;INDIVIDUAL_CHALLENGE_EVIDENCE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_922d99e5fcaccfec5f80,DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,Government Schemes for Startups,Government Schemes for Startups,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_6380ecd7f0cc38ca5df5,DPIIT-SRC-013,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,National Startup Awards 5.0,National Startup Awards 5.0,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,AWARD_EDITION,dpiit_candidate_d30889c9e8aba3a9d800,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;EDITION_SPECIFIC_TITLE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_9f03f2aa5eec0f36b7f2,DPIIT-SRC-008,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,DPIIT Startup Recognition and Tax Exemption,DPIIT Startup Recognition and Tax Exemption,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY;SERVICE_VERSUS_SCHEME_REVIEW,1,
