alias_id,master_id,alias_text,alias_type,alias_status,source_candidate_id,evidence_url,notes
dpiit_alias_26a744180b7d9b25aba2,dpiit_master_6c1afb477ef37cd6acaa,Apply for DPIIT Startup Recognition,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_277eada80d2b71f5d4e6,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,Governed alias; does not create a second entity.
dpiit_alias_103a070b55f29e1e66ed,dpiit_master_81c78bd668846b794a52,Startup India Initiative and Related Schemes,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_0c6d98d2a491c112dbbc,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,Governed alias; does not create a second entity.
dpiit_alias_3bcc8187a61efda429cb,dpiit_master_8314bd560187bd1f0e75,BSGC,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_4249da56cfe21ea4d7f2,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,Governed alias; does not create a second entity.
dpiit_alias_8fb6f8b18302ec75db4b,dpiit_master_880f0437b66acc9c29cd,BHASKAR,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_5bf7a3ca8f670e2bef62,https://www.startupindia.gov.in/bhaskar/about,Governed alias; does not create a second entity.
dpiit_alias_854cfd0162bc642d20e6,dpiit_master_880f0437b66acc9c29cd,BHASKAR – Bharat Startup Knowledge Access Registry,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_5bf7a3ca8f670e2bef62,https://www.startupindia.gov.in/bhaskar/about,Governed alias; does not create a second entity.
dpiit_alias_3e962a1cec05cafad871,dpiit_master_8f5e33c59d19edc0e12e,SISFS,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_04684b5757f0d8523b96,https://seedfund.startupindia.gov.in/,Governed alias; does not create a second entity.
dpiit_alias_bb3fd9c4e07d9ca86dc9,dpiit_master_8f5e33c59d19edc0e12e,Startup India Seed Fund,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_04684b5757f0d8523b96,https://seedfund.startupindia.gov.in/,Governed alias; does not create a second entity.
dpiit_alias_8d82c8ddd445e03b9e7b,dpiit_master_a36bf124c1f50e54c9a4,MAARG,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_c3253da46760a28c94d6,https://maarg.startupindia.gov.in/,Governed alias; does not create a second entity.
dpiit_alias_9c36d548199e374394fd,dpiit_master_c89f3d410e746f1594dc,Startup India FoF 2.0,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_ec3486a7fcbcb33c0ea0,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,Governed alias; does not create a second entity.
dpiit_alias_7425eccdeca2ed238a26,dpiit_master_c89f3d410e746f1594dc,Startup India Fund of Funds 2.0 Scheme,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_ec3486a7fcbcb33c0ea0,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,Governed alias; does not create a second entity.
dpiit_alias_d173bb2102892df829a2,dpiit_master_d0e38f05ee6dcd0a2463,Scheme for Facilitating Startups Intellectual Property Protection (SIPP),OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_f9480e55be37bfc6e536,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,Governed alias; does not create a second entity.
dpiit_alias_e6e1d7818e5f71a78408,dpiit_master_d0e38f05ee6dcd0a2463,SIPP,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_f9480e55be37bfc6e536,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,Governed alias; does not create a second entity.
dpiit_alias_4795f7eef485c2b6428b,dpiit_master_d0e38f05ee6dcd0a2463,Startup Intellectual Property Protection,OFFICIAL_VARIANT,LOCKED_ALIAS,dpiit_candidate_f9480e55be37bfc6e536,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,Governed alias; does not create a second entity.
dpiit_alias_ef0aa6276a287f0d70de,dpiit_master_d340c6e45c28c4fbba91,CGSS,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_5763daa91a3e505f4e87,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Governed alias; does not create a second entity.
dpiit_alias_4c4b965d7f0cbe572ecb,dpiit_master_fddaf83d1941468aa810,NSA,ABBREVIATION,LOCKED_ALIAS,dpiit_candidate_d30889c9e8aba3a9d800,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,Governed alias; does not create a second entity.
