master_id,canonical_name,official_abbreviation,entity_type,owning_ministry,owning_department,implementing_agency,official_master_url,source_candidate_id,identity_status,identity_confidence,identity_evidence,identity_rule_version,last_verified_date,publication_status
dpiit_master_880f0437b66acc9c29cd,Bharat Startup Knowledge Access Registry,BHASKAR,ECOSYSTEM_PLATFORM,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://www.startupindia.gov.in/bhaskar/about,dpiit_candidate_5bf7a3ca8f670e2bef62,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official BHASKAR about page.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_a36bf124c1f50e54c9a4,MAARG Startup India National Mentorship Platform,MAARG,ECOSYSTEM_PLATFORM,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://maarg.startupindia.gov.in/,dpiit_candidate_c3253da46760a28c94d6,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official MAARG platform page.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_a1b4262b9b8648769253,Startup India Investor Connect,,ECOSYSTEM_PLATFORM,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://investorconnect.startupindia.gov.in/,dpiit_candidate_2f031f990a8e114c33eb,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official Startup India Investor Connect platform.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_6c1afb477ef37cd6acaa,DPIIT Startup Recognition,,GOVERNMENT_SERVICE,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Single Window System,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,dpiit_candidate_277eada80d2b71f5d4e6,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official NSWS application service; the combined recognition/tax-exemption page remains relationship review.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_d340c6e45c28c4fbba91,Credit Guarantee Scheme for Startups,CGSS,SCHEME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Credit Guarantee Trustee Company,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,dpiit_candidate_5763daa91a3e505f4e87,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official Startup India scheme page with NCGTC implementation evidence.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_d0e38f05ee6dcd0a2463,Scheme for Facilitating Startups Intellectual Property Protection,SIPP,SCHEME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),"Office of the Controller General of Patents, Designs and Trade Marks",https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,dpiit_candidate_f9480e55be37bfc6e536,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,DPIIT schemes-and-services master page.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_c89f3d410e746f1594dc,Startup India Fund of Funds 2.0,Startup India FoF 2.0,SCHEME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),SIDBI,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,dpiit_candidate_ec3486a7fcbcb33c0ea0,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official 13 April 2026 scheme notification; predecessor/version lineage is not inferred.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_8f5e33c59d19edc0e12e,Startup India Seed Fund Scheme,SISFS,SCHEME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://seedfund.startupindia.gov.in/,dpiit_candidate_04684b5757f0d8523b96,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Official permanent scheme portal with DPIIT named as nodal department.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_8314bd560187bd1f0e75,Bharat Startup Grand Challenge,BSGC,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,dpiit_candidate_4249da56cfe21ea4d7f2,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Permanent challenge programme page; individual challenges remain children.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_fddaf83d1941468aa810,National Startup Awards,NSA,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,dpiit_candidate_d30889c9e8aba3a9d800,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Permanent awards landing page; numbered editions remain children.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_81c78bd668846b794a52,Startup India Initiative,Startup India,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,dpiit_candidate_0c6d98d2a491c112dbbc,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,DPIIT permanent initiative master page.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
