audit_id,master_id,canonical_name,entity_type,source_candidate_id,source_url,decision,decision_reasons,identity_rule_version
dpiit_lock_audit_82d0912084820ca4e265,dpiit_master_880f0437b66acc9c29cd,Bharat Startup Knowledge Access Registry,ECOSYSTEM_PLATFORM,dpiit_candidate_5bf7a3ca8f670e2bef62,https://www.startupindia.gov.in/bhaskar/about,LOCK_IDENTITY,Official BHASKAR about page.,3.4.1.0.2
dpiit_lock_audit_306157911c76101895e2,dpiit_master_a36bf124c1f50e54c9a4,MAARG Startup India National Mentorship Platform,ECOSYSTEM_PLATFORM,dpiit_candidate_c3253da46760a28c94d6,https://maarg.startupindia.gov.in/,LOCK_IDENTITY,Official MAARG platform page.,3.4.1.0.2
dpiit_lock_audit_2cb7d2a0e14f9c3f5c40,dpiit_master_a1b4262b9b8648769253,Startup India Investor Connect,ECOSYSTEM_PLATFORM,dpiit_candidate_2f031f990a8e114c33eb,https://investorconnect.startupindia.gov.in/,LOCK_IDENTITY,Official Startup India Investor Connect platform.,3.4.1.0.2
dpiit_lock_audit_e7191802742f801aa1fa,dpiit_master_6c1afb477ef37cd6acaa,DPIIT Startup Recognition,GOVERNMENT_SERVICE,dpiit_candidate_277eada80d2b71f5d4e6,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,LOCK_IDENTITY,Official NSWS application service; the combined recognition/tax-exemption page remains relationship review.,3.4.1.0.2
dpiit_lock_audit_be2da701fd5649090dec,dpiit_master_d340c6e45c28c4fbba91,Credit Guarantee Scheme for Startups,SCHEME,dpiit_candidate_5763daa91a3e505f4e87,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,LOCK_IDENTITY,Official Startup India scheme page with NCGTC implementation evidence.,3.4.1.0.2
dpiit_lock_audit_49a5cdc89ca21e24b438,dpiit_master_d0e38f05ee6dcd0a2463,Scheme for Facilitating Startups Intellectual Property Protection,SCHEME,dpiit_candidate_f9480e55be37bfc6e536,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,LOCK_IDENTITY,DPIIT schemes-and-services master page.,3.4.1.0.2
dpiit_lock_audit_5b28cbdde6fcac8210f0,dpiit_master_c89f3d410e746f1594dc,Startup India Fund of Funds 2.0,SCHEME,dpiit_candidate_ec3486a7fcbcb33c0ea0,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,LOCK_IDENTITY,Official 13 April 2026 scheme notification; predecessor/version lineage is not inferred.,3.4.1.0.2
dpiit_lock_audit_4f5a34ff2c1c84084f97,dpiit_master_8f5e33c59d19edc0e12e,Startup India Seed Fund Scheme,SCHEME,dpiit_candidate_04684b5757f0d8523b96,https://seedfund.startupindia.gov.in/,LOCK_IDENTITY,Official permanent scheme portal with DPIIT named as nodal department.,3.4.1.0.2
dpiit_lock_audit_67f9855683e8be3391be,dpiit_master_8314bd560187bd1f0e75,Bharat Startup Grand Challenge,UMBRELLA_PROGRAMME,dpiit_candidate_4249da56cfe21ea4d7f2,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,LOCK_IDENTITY,Permanent challenge programme page; individual challenges remain children.,3.4.1.0.2
dpiit_lock_audit_4b91701174cd8173cbdb,dpiit_master_fddaf83d1941468aa810,National Startup Awards,UMBRELLA_PROGRAMME,dpiit_candidate_d30889c9e8aba3a9d800,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,LOCK_IDENTITY,Permanent awards landing page; numbered editions remain children.,3.4.1.0.2
dpiit_lock_audit_11b017b533fff405bf44,dpiit_master_81c78bd668846b794a52,Startup India Initiative,UMBRELLA_PROGRAMME,dpiit_candidate_0c6d98d2a491c112dbbc,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,LOCK_IDENTITY,DPIIT permanent initiative master page.,3.4.1.0.2
