"evidence_id","master_id","field_name","extracted_value","evidence_text","evidence_url","page_title","source_authority","published_date","retrieved_date","evidence_type","supports_identity","supports_ownership","supports_status","confidence","review_notes"
"dpiit_evidence_recognition_canonical_name","dpiit_master_6c1afb477ef37cd6acaa","canonical_name","DPIIT Startup Recognition","The official Startup India and NSWS pages identify the service as DPIIT startup recognition.","https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit","StartUp Recognition by DPIIT","National Single Window System","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.98",""
"dpiit_evidence_recognition_record_kind","dpiit_master_6c1afb477ef37cd6acaa","record_kind","GOVERNMENT_SERVICE","NSWS presents startup recognition as a government approval and application service.","https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit","StartUp Recognition by DPIIT","National Single Window System","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.97","GOVERNMENT_SERVICE is the governed SSIP classification."
"dpiit_evidence_recognition_ministry","dpiit_master_6c1afb477ef37cd6acaa","owning_ministry","Ministry of Commerce and Industry","The Gazette notification is issued under the Ministry of Commerce and Industry.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","1.00",""
"dpiit_evidence_recognition_department","dpiit_master_6c1afb477ef37cd6acaa","owning_department","Department for Promotion of Industry and Internal Trade (DPIIT)","The Gazette identifies DPIIT as the issuing department.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","1.00",""
"dpiit_evidence_recognition_agency","dpiit_master_6c1afb477ef37cd6acaa","implementing_agency","National Single Window System","The official recognition page directs eligible applicants to submit the recognition application through NSWS.","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","DPIIT Startup Recognition and Tax Exemption","Startup India / DPIIT","","2026-07-12","OFFICIAL_PROGRAMME_PAGE","false","false","true","0.96","NSWS is recorded as the application-service platform."
"dpiit_evidence_recognition_platform","dpiit_master_6c1afb477ef37cd6acaa","platform_host","National Single Window System","The live government application route is hosted on the National Single Window System.","https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit","StartUp Recognition by DPIIT","National Single Window System","","2026-07-12","OFFICIAL_APPLICATION_PORTAL","false","false","true","0.99",""
"dpiit_evidence_recognition_status","dpiit_master_6c1afb477ef37cd6acaa","programme_status","CURRENT_SERVICE_INFORMATION_AVAILABLE","The official page continues to provide an application route and current instructions for submitting recognition through NSWS.","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","DPIIT Startup Recognition and Tax Exemption","Startup India / DPIIT","","2026-07-12","OFFICIAL_CURRENT_SERVICE_PAGE","false","false","true","0.96","This confirms current service information, not a time-bound application call."
"dpiit_evidence_recognition_objective","dpiit_master_6c1afb477ef37cd6acaa","objective","Provide eligible entities with official DPIIT startup recognition so they can access Startup India benefits and related government facilitation.","Startup India describes DPIIT recognition as the route through which eligible startups access recognition-related benefits and facilitation.","https://www.startupindia.gov.in/","Startup India","Startup India / DPIIT","","2026-07-12","OFFICIAL_PROGRAMME_PAGE","true","false","true","0.95",""
"dpiit_evidence_recognition_eligibility","dpiit_master_6c1afb477ef37cd6acaa","eligibility","Entity incorporated or registered in India as a private limited company, registered partnership firm, limited liability partnership, multi-state cooperative society, or cooperative society; within 10 years of incorporation or registration, or 20 years for a recognised Deep Tech Startup; turnover in any financial year since incorporation or registration not exceeding INR 200 crore, or INR 300 crore for a Deep Tech Startup; working towards innovation, development or improvement of products, processes or services, or operating a scalable business model with high employment-generation or wealth-creation potential; and not formed by splitting up or reconstruction of an existing business.","G.S.R. 108(E) defines eligible legal forms, age and turnover limits, innovation criteria, Deep Tech limits and the reconstruction exclusion.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","1.00",""
"dpiit_evidence_recognition_beneficiary","dpiit_master_6c1afb477ef37cd6acaa","beneficiary_type","Eligible entities incorporated or registered in India seeking official DPIIT startup recognition.","The Gazette applies to eligible entities incorporated or registered in India that meet the official startup definition.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","0.99",""
"dpiit_evidence_recognition_benefits","dpiit_master_6c1afb477ef37cd6acaa","benefits","DPIIT recognition provides access to Startup India benefits and facilitation, including easier compliance, intellectual-property support and eligibility to apply separately for applicable tax benefits and other government support.","Startup India lists easier compliance, intellectual-property support and access to recognition-related government benefits.","https://www.startupindia.gov.in/","Startup India","Startup India / DPIIT","","2026-07-12","OFFICIAL_PROGRAMME_PAGE","false","false","true","0.94","Separate benefit programmes may have additional eligibility requirements."
"dpiit_evidence_recognition_application_process","dpiit_master_6c1afb477ef37cd6acaa","application_process","Create an account on the National Single Window System; sign in to the NSWS dashboard; choose Add Approvals and then Central Approvals; find and add Registration as a Startup; complete the application and submit it through NSWS.","The official page instructs applicants to create an NSWS account, add the central approval Registration as a Startup, complete it and submit.","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","DPIIT Startup Recognition and Tax Exemption","Startup India / DPIIT","","2026-07-12","OFFICIAL_APPLICATION_INSTRUCTIONS","false","false","true","0.98",""
"dpiit_evidence_recognition_official_page","dpiit_master_6c1afb477ef37cd6acaa","official_page_url","https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition","The governed service registry identifies the official NSWS master page for DPIIT Startup Recognition.","https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition","DPIIT Startup Recognition","National Single Window System","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.98","URL preserved from the locked v3.4.1.0.3 service identity."
"dpiit_evidence_recognition_application_url","dpiit_master_6c1afb477ef37cd6acaa","application_url","https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit","The official NSWS approval-details page provides the current government application route for startup recognition.","https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit","StartUp Recognition by DPIIT","National Single Window System","","2026-07-12","OFFICIAL_APPLICATION_PORTAL","false","false","true","0.99",""
"dpiit_evidence_recognition_notification","dpiit_master_6c1afb477ef37cd6acaa","notification_url","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","G.S.R. 108(E), dated 4 February 2026, contains the current notified startup definition and recognition framework.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_NOTIFICATION","true","true","true","1.00",""
"dpiit_evidence_recognition_identity_url","dpiit_master_6c1afb477ef37cd6acaa","identity_evidence_url","https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition","The official NSWS service page supports the locked recognition-service identity.","https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition","DPIIT Startup Recognition","National Single Window System","","2026-07-12","OFFICIAL_IDENTITY_EVIDENCE","true","false","true","0.98",""
"dpiit_evidence_recognition_ownership_url","dpiit_master_6c1afb477ef37cd6acaa","ownership_evidence_url","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","The Gazette identifies the Ministry of Commerce and Industry and DPIIT as the issuing authority.","https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf","Gazette Notification G.S.R. 108(E)","Department for Promotion of Industry and Internal Trade","2026-02-04","2026-07-12","OFFICIAL_OWNERSHIP_EVIDENCE","false","true","false","1.00",""
"dpiit_evidence_recognition_status_url","dpiit_master_6c1afb477ef37cd6acaa","status_evidence_url","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","The current official Startup India page contains live recognition information and NSWS application instructions.","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","DPIIT Startup Recognition and Tax Exemption","Startup India / DPIIT","","2026-07-12","OFFICIAL_STATUS_EVIDENCE","false","false","true","0.96",""
"dpiit_evidence_80iac_canonical_name","dpiit_master_3b767c3b91080149015f","canonical_name","Section 80-IAC Tax Exemption Eligibility Certification for Startups","Official Startup India sources identify 80-IAC as a separate tax-exemption eligibility and certification service.","https://www.startupindia.gov.in/content/sih/en/form80iac.html","80-IAC","Startup India / DPIIT","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.99","Canonical display name preserved from the locked v3.4.1.0.3 service registry."
"dpiit_evidence_80iac_abbreviation","dpiit_master_3b767c3b91080149015f","official_abbreviation","80-IAC Eligibility Certification","The official portal describes the resulting approval as an 80-IAC Certificate of Eligibility.","https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html","DPIIT Startup Recognition and Tax Exemption","Startup India / DPIIT","","2026-07-12","OFFICIAL_PROGRAMME_PAGE","true","false","true","0.97",""
"dpiit_evidence_80iac_record_kind","dpiit_master_3b767c3b91080149015f","record_kind","GOVERNMENT_SERVICE","The official portal provides a government application, evaluation and eligibility-certificate process rather than a funding scheme.","https://www.startupindia.gov.in/content/sih/en/form80iac.html","80-IAC","Startup India / DPIIT","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.99","GOVERNMENT_SERVICE is the governed SSIP classification."
"dpiit_evidence_80iac_ministry","dpiit_master_3b767c3b91080149015f","owning_ministry","Ministry of Commerce and Industry","The official notification is issued under the Ministry of Commerce and Industry.","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/198117.pdf","Gazette Notification G.S.R. 127(E)","Ministry of Commerce and Industry","2019-02-19","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","1.00",""
"dpiit_evidence_80iac_department","dpiit_master_3b767c3b91080149015f","owning_department","Department for Promotion of Industry and Internal Trade (DPIIT)","The notification and official tax-exemption pages identify DPIIT as the responsible department.","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/198117.pdf","Gazette Notification G.S.R. 127(E)","Department for Promotion of Industry and Internal Trade","2019-02-19","2026-07-12","OFFICIAL_NOTIFICATION","false","true","false","1.00",""
"dpiit_evidence_80iac_agency","dpiit_master_3b767c3b91080149015f","implementing_agency","Inter-Ministerial Board of Certification","The official Income Tax Exemption page states that the Inter-Ministerial Board validates startups for Section 80-IAC tax benefits.","https://www.startupindia.gov.in/content/sih/en/startupgov/imb.html","Income Tax Exemption Notifications","Startup India / DPIIT","","2026-07-12","OFFICIAL_IMPLEMENTATION_PAGE","false","true","true","0.99",""
"dpiit_evidence_80iac_platform","dpiit_master_3b767c3b91080149015f","platform_host","Startup India","The live application form and submission workflow are hosted on the official Startup India portal.","https://www.startupindia.gov.in/content/sih/en/form80iac.html","80-IAC","Startup India / DPIIT","","2026-07-12","OFFICIAL_APPLICATION_PORTAL","false","false","true","1.00",""
"dpiit_evidence_80iac_status","dpiit_master_3b767c3b91080149015f","programme_status","APPLICATION_INFORMATION_AVAILABLE","The official page provides the current form, document requirements, application stages and final submission action.","https://www.startupindia.gov.in/content/sih/en/form80iac.html","80-IAC","Startup India / DPIIT","","2026-07-12","OFFICIAL_CURRENT_APPLICATION_PAGE","false","false","true","0.98","This means application information is available; it is not a time-bound call status."
"dpiit_evidence_80iac_objective","dpiit_master_3b767c3b91080149015f","objective","Enable eligible DPIIT-recognised startups to obtain certification for claiming the deduction available under Section 80-IAC of the Income-tax Act, 1961.","The official form describes Section 80-IAC as an incentive allowing eligible startups to obtain tax-exemption eligibility.","https://www.startupindia.gov.in/content/sih/en/form80iac.html","80-IAC","Startup India / DPIIT","","2026-07-12","OFFICIAL_SERVICE_PAGE","true","false","true","0.98",""
