"SourceFile","MasterId","CanonicalName","RecordKind","RelationshipType","ParentOrTargetId","ReviewDecision"
"dpiit_canonical_alias_registry_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","","","","",""
"dpiit_canonical_alias_registry_v3_4_1_0_2.csv","dpiit_master_c89f3d410e746f1594dc","","","","",""
"dpiit_canonical_entity_registry_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","GOVERNMENT_SERVICE","","",""
"dpiit_canonical_entity_registry_v3_4_1_0_2.csv","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","SCHEME","","",""
"dpiit_canonical_evidence_map_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","","","","",""
"dpiit_canonical_evidence_map_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","","","","",""
"dpiit_canonical_evidence_map_v3_4_1_0_2.csv","dpiit_master_c89f3d410e746f1594dc","","","","",""
"dpiit_canonical_platform_service_registry_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","GOVERNMENT_SERVICE","","",""
"dpiit_canonical_scheme_registry_v3_4_1_0_2.csv","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","SCHEME","","",""
"dpiit_identity_lock_audit_v3_4_1_0_2.csv","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","GOVERNMENT_SERVICE","LOCK_IDENTITY","","LOCK_IDENTITY"
"dpiit_identity_lock_audit_v3_4_1_0_2.csv","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","SCHEME","LOCK_IDENTITY","","LOCK_IDENTITY"
"dpiit_manual_identity_review_queue_v3_4_1_0_2.csv","","DPIIT Startup Recognition and Tax Exemption","","","",""
"dpiit_manual_identity_review_queue_v3_4_1_0_2.csv","","Startup India Fund of Funds 2.0 Scheme","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_adjudication_evidence_registry_v3_4_1_0_3.csv","","","","","",""
"dpiit_ownership_evidence_decisions_v3_4_1_0_3.csv","","Gazette Notification G.S.R. 108(E) – Startup Definition","","VERIFIED_DPIIT_ISSUED_NOTIFICATION","","VERIFIED_DPIIT_ISSUED_NOTIFICATION"
"dpiit_resolved_review_items_v3_4_1_0_3.csv","","DPIIT Startup Recognition and Tax Exemption","","SPLIT_INTO_SEPARATE_GOVERNMENT_SERVICES","","SPLIT_INTO_SEPARATE_GOVERNMENT_SERVICES"
"dpiit_resolved_review_items_v3_4_1_0_3.csv","","Startup India Fund of Funds 2.0 Scheme","","SEPARATE_VERSION_IDENTITY_CONFIRMED","","SEPARATE_VERSION_IDENTITY_CONFIRMED"
"dpiit_resolved_service_registry_v3_4_1_0_3.csv","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","GOVERNMENT_SERVICE","","",""
"dpiit_resolved_service_registry_v3_4_1_0_3.csv","dpiit_master_3b767c3b91080149015f","Section 80-IAC Tax Exemption Eligibility Certification for Startups","GOVERNMENT_SERVICE","","",""
"dpiit_scheme_lineage_decisions_v3_4_1_0_3.csv","","","","VERSION_LINEAGE_FROM","","SEPARATE_VERSION_IDENTITY_CONFIRMED"
"dpiit_service_boundary_decisions_v3_4_1_0_3.csv","","","","REQUIRES_DPIIT_RECOGNITION","","SPLIT_INTO_SEPARATE_GOVERNMENT_SERVICES"
"dpiit_service_relationship_registry_v3_4_1_0_3.csv","","","","REQUIRES_DPIIT_RECOGNITION","dpiit_master_6c1afb477ef37cd6acaa","LOCKED_OFFICIAL_SERVICE_RELATIONSHIP"
