record_id,canonical_name,record_type,parent_record_id,ministry,department,implementing_agency,direct_applicant_layer,startup_relevance,sector,application_status,opening_date,closing_date,application_url,official_url,guideline_url,last_verified_date,evidence_status,publication_status,review_required,summary
dpiit_master_880f0437b66acc9c29cd,Bharat Startup Knowledge Access Registry,ECOSYSTEM_OPPORTUNITY,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,ecosystem participant,STARTUP_ECOSYSTEM_CALL,Sector agnostic,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.startupindia.gov.in/bhaskar/about,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Official BHASKAR about page.
dpiit_master_a36bf124c1f50e54c9a4,MAARG Startup India National Mentorship Platform,ECOSYSTEM_OPPORTUNITY,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,startup;mentor,STARTUP_ECOSYSTEM_CALL,Sector agnostic,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://maarg.startupindia.gov.in/,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Official MAARG platform page.
dpiit_master_a1b4262b9b8648769253,Startup India Investor Connect,ECOSYSTEM_OPPORTUNITY,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,startup;investor,STARTUP_ECOSYSTEM_CALL,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://investorconnect.startupindia.gov.in/,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Official Startup India Investor Connect platform.
dpiit_master_6c1afb477ef37cd6acaa,DPIIT Startup Recognition,GOVERNMENT_SERVICE,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Single Window System,startup;MSME/company,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,https://www.nsws.gov.in/portal/approval-details/ministry-of-commerce-and-industry/dpiit/startup-recognition-by-dpiit,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Provide eligible entities with official DPIIT startup recognition so they can access Startup India benefits and related government facilitation.
dpiit_master_3b767c3b91080149015f,Section 80-IAC Tax Exemption Eligibility Certification for Startups,GOVERNMENT_SERVICE,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Inter-Ministerial Board of Certification,startup;MSME/company,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,https://www.startupindia.gov.in/content/sih/en/form80iac.html,https://www.startupindia.gov.in/content/sih/en/form80iac.html,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,"Enable eligible DPIIT-recognised startups to obtain certification for claiming the deduction available under Section 80-IAC of the Income-tax Act, 1961."
dpiit_call_be7d531209cdc2838400,Final Notice: last date for startups to apply under SISFS – 31 May 2026,HISTORICAL_CALL,dpiit_master_8f5e33c59d19edc0e12e,,,,startup;incubator/accelerator,STARTUP_RELEVANT,Not verified,CLOSED,,2026-05-31,,https://seedfund.startupindia.gov.in/final-notice-2026,,2026-07-21,,PUBLIC_DEPARTMENT_PAGE,0,
dpiit_call_d101c6f3f93c937dd896,Gaming for Good – Bharat Startup Grand Challenge,HISTORICAL_CALL,dpiit_master_8314bd560187bd1f0e75,,,,startup,STARTUP_RELEVANT,Not verified,CLOSED,,,,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,,2026-07-21,,PUBLIC_DEPARTMENT_PAGE,0,
dpiit_call_7d5cea5e1b0af96bf961,National Startup Awards 5.0,HISTORICAL_CALL,dpiit_master_fddaf83d1941468aa810,,,,startup;incubator/accelerator;mentor,STARTUP_RELEVANT,Not verified,CLOSED,,,,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,,2026-07-21,,PUBLIC_DEPARTMENT_PAGE,0,
dpiit_master_8314bd560187bd1f0e75,Bharat Startup Grand Challenge,PROGRAMME,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,startup;ecosystem participant,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Permanent challenge programme page; individual challenges remain children.
dpiit_master_fddaf83d1941468aa810,National Startup Awards,PROGRAMME,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,startup;incubator/accelerator;mentor,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Permanent awards landing page; numbered editions remain children.
dpiit_master_81c78bd668846b794a52,Startup India Initiative,PROGRAMME,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),,ecosystem participant,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,DPIIT permanent initiative master page.
dpiit_master_d340c6e45c28c4fbba91,Credit Guarantee Scheme for Startups,SCHEME,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Credit Guarantee Trustee Company,startup;financial intermediary,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,Official Startup India scheme page with NCGTC implementation evidence.
dpiit_master_d0e38f05ee6dcd0a2463,Scheme for Facilitating Startups Intellectual Property Protection,SCHEME,,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),"Office of the Controller General of Patents, Designs and Trade Marks",startup;MSME/company,STARTUP_RELEVANT,Not verified,NOT_APPLICABLE_TO_PROGRAMME_IDENTITY,,,,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,,2026-07-21,OFFICIAL_PRIMARY,PUBLIC_DEPARTMENT_PAGE,1,DPIIT schemes-and-services master page.
