record_id,owning_ministry,owning_department,implementing_agency,ownership_status,evidence_url,portal_role
dpiit_master_3b767c3b91080149015f,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Inter-Ministerial Board of Certification,VERIFIED_DPIIT,https://www.startupindia.gov.in/content/sih/en/form80iac.html,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_6c1afb477ef37cd6acaa,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Single Window System,VERIFIED_AUTHORISED_PORTAL,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_81c78bd668846b794a52,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),,VERIFIED_DPIIT,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_8314bd560187bd1f0e75,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_880f0437b66acc9c29cd,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://www.startupindia.gov.in/bhaskar/about,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_8f5e33c59d19edc0e12e,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://seedfund.startupindia.gov.in/,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_a1b4262b9b8648769253,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://investorconnect.startupindia.gov.in/,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_a36bf124c1f50e54c9a4,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://maarg.startupindia.gov.in/,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_c89f3d410e746f1594dc,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),SIDBI,VERIFIED_DPIIT,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_d0e38f05ee6dcd0a2463,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),"Office of the Controller General of Patents, Designs and Trade Marks",VERIFIED_DPIIT,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_d340c6e45c28c4fbba91,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),National Credit Guarantee Trustee Company,VERIFIED_DPIIT,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
dpiit_master_fddaf83d1941468aa810,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,VERIFIED_DPIIT,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,OWNER_OR_AUTHORISED_IMPLEMENTATION_PORTAL
