record_id,sector,evidence_status,evidence_url
dpiit_master_3b767c3b91080149015f,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/form80iac.html
dpiit_master_6c1afb477ef37cd6acaa,Not verified,UNVERIFIED,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition
dpiit_master_81c78bd668846b794a52,Not verified,UNVERIFIED,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa
dpiit_master_8314bd560187bd1f0e75,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html
dpiit_master_880f0437b66acc9c29cd,Sector agnostic,VERIFIED,https://www.startupindia.gov.in/bhaskar/about
dpiit_master_8f5e33c59d19edc0e12e,Sector agnostic,VERIFIED,https://seedfund.startupindia.gov.in/
dpiit_master_a1b4262b9b8648769253,Not verified,UNVERIFIED,https://investorconnect.startupindia.gov.in/
dpiit_master_a36bf124c1f50e54c9a4,Sector agnostic,VERIFIED,https://maarg.startupindia.gov.in/
dpiit_master_c89f3d410e746f1594dc,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf
dpiit_master_d0e38f05ee6dcd0a2463,Not verified,UNVERIFIED,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa
dpiit_master_d340c6e45c28c4fbba91,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html
dpiit_master_fddaf83d1941468aa810,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html
dpiit_call_7d5cea5e1b0af96bf961,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/nsa2025.html
dpiit_call_be7d531209cdc2838400,Not verified,UNVERIFIED,https://seedfund.startupindia.gov.in/final-notice-2026
dpiit_call_d101c6f3f93c937dd896,Not verified,UNVERIFIED,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html
