call_id,call_title,closing_date,closing_year,archive_state,relevance_group,applicant_layer,parent_master_id,primary_sector,secondary_sectors,detail_url,last_verified_at,warnings,blockers
dst_call_4397f5337980532c6307,Applications are invited from women scientists for leadership training program,31/12/2024,2024,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/applications-are-invited-women-scientists-leadership-training-program,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_828d007e55bc38533597,CURIE-PG College Advertisement : Date Extended till 10 January 2022,31/12/2021,2021,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/curie-pg-college-advertisement-date-extended-till-10-january-2022,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_c6025bb8f4ed8825324f,"National Innovation Challenge Awards for Designing and Developing Energy Storage Devices for Rural Household/ Enterprise Applications: Extended Last Date of Submission: 31st December, 2020",31/12/2020,2020,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,Renewable Energy & Energy Storage,,https://dst.gov.in/callforproposals/national-innovation-challenge-awards-designing-and-developing-energy-storage,,Parent programme is unresolved. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_a4819bca83697dccc9d8,"Call for Proposals for Optimal Water Use in Industrial Sector (Water Conservation, Water Use efficiency, Waste Water Recovery, Utilization of Residues)",31/12/2018,2018,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-proposals-optimal-water-use-industrial-sector-water-conservation-water-use,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_2bb2c43acab65a571a58,DST-DAAD Joint call 2017: Recommended projects,31/12/2017,2017,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/dst-daad-joint-call-2017-recommended-projects,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_9b7e3313017fdfe983ed,Funding Opportunity Announcement (FOA): Smart Grids,31/12/2017,2017,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,Renewable Energy & Energy Storage,,https://dst.gov.in/callforproposals/funding-opportunity-announcement-foa-smart-grids,,Parent programme is unresolved. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_30309d0489c22247f86a,Interdisciplinary Cyber Physical Systems (ICPS) Division Detailed Call For Proposals (CFP) on Quantum Information Science and Technology (QuST) Programme,31/12/2017,2017,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,Cyber-Physical Systems,,https://dst.gov.in/callforproposals/interdisciplinary-cyber-physical-systems-icps-division-detailed-call-proposals-cfp,,Parent programme is unresolved. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_40ddda12e403035fda0f,Multi-Institutional Centres on Materials for Energy Conservation and Storage Platform (MECSP) - 2017,31/12/2017,2017,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/multi-institutional-centres-materials-energy-conservation-and-storage-platform,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_ef74701a5eb8470652bb,India-Austria Joint Call for proposals 2024,31/10/2024,2024,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/india-austria-joint-call-proposals-2024,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_e18a30e00f1ec92febef,Indo-Russian Joint Research Call for Proposals 2024,31/10/2024,2024,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,Healthcare & MedTech,,https://dst.gov.in/callforproposals/indo-russian-joint-research-call-proposals-2024,,Parent programme is unresolved. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_05fe29bf9789c30e7576,Call for Project Proposals under Scheduled Caste Sub Plan (SCSP) and Tribal Sub Plan (TSP),31/10/2023,2023,QUALIFIED_WITH_WARNINGS,REVIEW_REQUIRED,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-project-proposals-under-scheduled-caste-sub-plan-scsp-and-tribal-sub-plan-tsp,,Parent programme is unresolved. | Sector classification is not recorded. | Last verification date is not recorded.,
dst_call_12589fdae07868985f4f,"Call for applications for participation in the 72nd Meeting of Nobel Laureates at Lindau, Germany",31/10/2022,2022,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-applications-participation-72nd-meeting-nobel-laureates-lindau-germany,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_f0707ce3f19da8a3d1ef,Call for Establishment of Community Resilience Resource Centres (CRRCs) - Date Extended till 31/10/2022,31/10/2022,2022,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-establishment-community-resilience-resource-centres-crrcs-date-extended-till,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_c8606fd39c098cc217c9,Call for Proposals for establishment of Women Technology Parks,31/10/2020,2020,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-proposals-establishment-women-technology-parks,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_e190b6c2e0d3986f59bb,India-Russia Joint Technology Assessment and Accelerated Commercialization Programme Call for Application from Indian Techno-Entrepreneurs,31/10/2020,2020,QUALIFIED_WITH_WARNINGS,REVIEW_REQUIRED,UNKNOWN,,,,https://dst.gov.in/callforproposals/india-russia-joint-technology-assessment-and-accelerated-commercialization,,Parent programme is unresolved. | Sector classification is not recorded. | Last verification date is not recorded.,
dst_call_22092bd8bc97c3a6aa09,Science Technology and Innovation (STI) Hubs for Development of Scheduled Caste (SC) and Scheduled Tribe (ST) Communities,31/10/2020,2020,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/science-technology-and-innovation-sti-hubs-development-scheduled-caste-sc-and-0,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_47d9930db765629aff43,Call for Proposals: Technology Interventions for Disabled and Elderly (TIDE),31/10/2019,2019,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-proposals-technology-interventions-disabled-and-elderly-tide,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_1c278e172994fccbf6df,"Call for Proposals: Using Synchrotron, Neutron and X-Ray facilities abroad for experimental material Scientists",31/10/2019,2019,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/call-proposals-using-synchrotron-neutron-and-x-ray-facilities-abroad-experimental,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
dst_call_0a9065551d5e20c876a2,Request for Proposals: India Italy Industrial R&D,31/10/2017,2017,QUALIFIED_WITH_WARNINGS,GENERAL_DST,UNKNOWN,,,,https://dst.gov.in/callforproposals/request-proposals-india-italy-industrial-rd,,Parent programme is unresolved. | Sector classification is not recorded. | Call is not classified as a startup opportunity. | Last verification date is not recorded.,
