call_id,department_code,call_title,record_role,call_type,applicant_layer,applicant_layer_reason,parent_master_id,parent_resolution,parent_resolution_reason,opening_date,closing_date,application_status,status_reason,startup_relevance,startup_relevance_reason,sector_scope,primary_sector,secondary_sectors,sector_reason,sector_review_required,detail_url,attachment_url,source_container_url,source_container_role,source_row_number,source_fetched_at,eligible_applicants,funding_summary,funding_maximum,application_url,guideline_url,evidence_note,implementing_entity,implementation_role,status_basis,status_evidence,last_verified_at,startup_stage
dst_call_fbe584e3818f5d35d029,DST,3rd Information & Networking Event: EU-India Call on Water,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,19/12/2017,01/01/2018,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/3rd-information-networking-event-eu-india-call-water,https://dst.gov.in/sites/default/files/3rd%20India-EU%20networking%20Event%20on%20Water%20Guwahati%205%20Jan18.pdf,https://dst.gov.in/archive-call-for-proposals?page=2,CALL_INDEX_CONTAINER,7,2026-07-10T09:24:28+00:00,,,,,,,,,,,,
dst_call_620aa0118e32c46014f4,DST,Chinese Government Scholarship 2017-2018,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,10/03/2017,01/04/2017,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/chinese-government-scholarship-2017-2018,https://dst.gov.in/sites/default/files/Public%20Notice%20China.pdf,https://dst.gov.in/archive-call-for-proposals,CALL_INDEX_CONTAINER,8,2026-07-10T09:24:26+00:00,,,,,,,,,,,,
dst_call_700c19f1a4461f581ecf,DST,Call for Oriented Research & Technology Development Proposals on Materials for Energy Storage (MES) - 2017,CALL_INSTANCE,CALL_FOR_PROPOSALS,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,07/02/2017,01/05/2017,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",SPECIFIC,Renewable Energy & Energy Storage,,Official call evidence contains Renewable Energy & Energy Storage: energy storage.,false,https://dst.gov.in/callforproposals/call-oriented-research-technology-development-proposals-materials-energy-storage,https://dst.gov.in/sites/default/files/MES-2017.pdf,https://dst.gov.in/archive-call-for-proposals,CALL_INDEX_CONTAINER,16,2026-07-10T09:24:26+00:00,,,,,,,,,,,,
dst_call_4b45e3604e67d6af4e1f,DST,DST DFG joint call on International Research Training Groups (IRTG) 2022,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,14/02/2022,01/08/2022,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/dst-dfg-joint-call-international-research-training-groups-irtg-2022,https://dst.gov.in/sites/default/files/DST-DFG-IRTG-Announcement-2022%20%281%29-converted.pdf,https://dst.gov.in/archive-call-for-proposals?page=11,CALL_INDEX_CONTAINER,14,2026-07-10T09:24:38+00:00,,,,,,,,,,,,
dst_call_7fda6d31ec2726a42c28,DST,Joint Call for project proposals 2024 Indo Danish research and innovation cooperation in the area of Cutting edge hydrogen technologies,CALL_INSTANCE,CALL_FOR_PROPOSALS,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,28/08/2024,01/11/2024,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",SPECIFIC,Renewable Energy & Energy Storage,,Official call evidence contains Renewable Energy & Energy Storage: hydrogen.,false,https://dst.gov.in/callforproposals/joint-call-project-proposals-2024-indo-danish-research-and-innovation-cooperation,,https://dst.gov.in/archive-call-for-proposals?page=15,CALL_INDEX_CONTAINER,12,2026-07-10T09:24:58+00:00,,,,,,,,,,,,
dst_call_2cacaa23ba973cc68ee0,DST,2nd round of call Announcement of Leadership training for Women Scientists under WiSLP,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,13/01/2025,02/02/2025,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/2nd-round-call-announcement-leadership-training-women-scientists-under-wislp,,https://dst.gov.in/archive-call-for-proposals?page=15,CALL_INDEX_CONTAINER,17,2026-07-10T09:24:58+00:00,,,,,,,,,,,,
dst_call_29231f5fd5bf62131783,DST,"India-Israel Joint Research Program (IIJRC) - 2023, is open for Project Submission",CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,24/03/2023,02/05/2023,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/india-israel-joint-research-program-iijrc-2023-open-project-submission,,https://dst.gov.in/archive-call-for-proposals?page=13,CALL_INDEX_CONTAINER,2,2026-07-10T09:24:57+00:00,,,,,,,,,,,,
dst_call_b66db78a225c7f669926,DST,India-Australia special call for collaborative research projects on COVID-19,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,05/06/2020,02/07/2020,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/india-australia-special-call-collaborative-research-projects-covid-19,https://dst.gov.in/sites/default/files/DST%20AISRF%20Call%20for%20proposals%20for%20website_1.pdf,https://dst.gov.in/archive-call-for-proposals?page=8,CALL_INDEX_CONTAINER,4,2026-07-10T09:24:34+00:00,,,,,,,,,,,,
dst_call_3c5aa7904b373016d77c,DST,DST-JSPS Call for proposals 2020,CALL_INSTANCE,CALL_FOR_PROPOSALS,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,21/07/2020,02/09/2020,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/dst-jsps-call-proposals-2020,https://dst.gov.in/sites/default/files/DST-JSPS%20Call%20for%20proposals%202020.pdf,https://dst.gov.in/archive-call-for-proposals?page=8,CALL_INDEX_CONTAINER,9,2026-07-10T09:24:34+00:00,,,,,,,,,,,,
dst_call_ff76c0fba51843c40c97,DST,2019 BRICS Calls for Proposals for Multilateral R&D Projects,CALL_INSTANCE,CALL_FOR_PROPOSALS,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,05/02/2019,03/06/2019,CLOSED,Official closing date is before the verification date.,NOT_STARTUP_RELEVANT,"No explicit startup, innovator, entrepreneur or incubator beneficiary evidence.",UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects,https://dst.gov.in/sites/default/files/2019%20BRICS%20Calls%20for%20Proposals%20_0.pdf,https://dst.gov.in/archive-call-for-proposals?page=6,CALL_INDEX_CONTAINER,3,2026-07-10T09:24:32+00:00,,,,,,,,,,,,
