call_id,department_code,call_title,record_role,call_type,applicant_layer,applicant_layer_reason,parent_master_id,parent_resolution,parent_resolution_reason,opening_date,closing_date,application_status,status_reason,startup_relevance,startup_relevance_reason,sector_scope,primary_sector,secondary_sectors,sector_reason,sector_review_required,detail_url,attachment_url,source_container_url,source_container_role,source_row_number,source_fetched_at,eligible_applicants,funding_summary,funding_maximum,application_url,guideline_url,evidence_note,implementing_entity,implementation_role,status_basis,status_evidence,last_verified_at,startup_stage
dst_call_d7088ae4f89f4195e845,DST,NIDHI - EIR 5th Call for application for incubation for become Program Executive Partners,CALL_INSTANCE,CALL_FOR_APPLICATIONS,INTERMEDIARY_IMPLEMENTER,Official evidence indicates an intermediary applicant: become program executive partner.,dst_programme_nidhi_eir,ALIAS_MATCH,Matched authoritative alias: NIDHI-EIR.,12/05/2022,03/06/2022,CLOSED,Official closing date is before the verification date.,STARTUP_ECOSYSTEM_CALL,Official evidence indicates an intermediary applicant: become program executive partner. This is related to startup support but is not a direct founder opportunity.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/nidhi-eir-5th-call-application-incubation-become-program-executive-partners,,https://dst.gov.in/archive-call-for-proposals?page=11,CALL_INDEX_CONTAINER,11,2026-07-10T09:24:38+00:00,,,,,,,,,,,,
dst_call_defed5639a53ee8c44b1,DST,NIDHI - PRAYAS 5th Call for application for incubation for becoming PRAYAS CENTRE,CALL_INSTANCE,CALL_FOR_APPLICATIONS,INTERMEDIARY_IMPLEMENTER,Official evidence indicates an intermediary applicant: becoming prayas centre.,dst_programme_nidhi_prayas,ALIAS_MATCH,Matched authoritative alias: NIDHI-PRAYAS.,12/05/2022,03/06/2022,CLOSED,Official closing date is before the verification date.,STARTUP_ECOSYSTEM_CALL,Official evidence indicates an intermediary applicant: becoming prayas centre. This is related to startup support but is not a direct founder opportunity.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/nidhi-prayas-5th-call-application-incubation-becoming-prayas-centre,,https://dst.gov.in/archive-call-for-proposals?page=11,CALL_INDEX_CONTAINER,10,2026-07-10T09:24:38+00:00,,,,,,,,,,,,
dst_call_2aaaf55672274b1de065,DST,Women Entrepreneur Quest 2017,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,10/08/2017,03/09/2017,CLOSED,Official closing date is before the verification date.,REVIEW_REQUIRED,Beneficiary evidence without a resolved programme: entrepreneur.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/women-entrepreneur-quest-2017,,https://dst.gov.in/archive-call-for-proposals?page=1,CALL_INDEX_CONTAINER,10,2026-07-10T09:24:27+00:00,,,,,,,,,,,,
dst_call_a82efb25c10696da9e50,DST,"Call for proposal for Geospatial Technology and Solutions: Last date extended till 05th August, 2024",CALL_INSTANCE,CALL_FOR_PROPOSALS,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,13/06/2024,05/08/2024,CLOSED,Official closing date is before the verification date.,REVIEW_REQUIRED,Beneficiary evidence without a resolved programme: startup.,SPECIFIC,Geospatial Technology,,Official call evidence contains Geospatial Technology: geospatial.,false,https://dst.gov.in/callforproposals/call-proposal-geospatial-technology-and-solutions-last-date-extended-till-05th,,https://dst.gov.in/archive-call-for-proposals?page=15,CALL_INDEX_CONTAINER,1,2026-07-10T09:24:58+00:00,,,,,,,,,,,,
dst_call_bd452a263fa3c8c16c9c,DST,NIDHI - PRomoting and Accelerating Young and ASpiring technology entrepreneurs (PRAYAS),CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,dst_programme_nidhi_prayas,ALIAS_MATCH,Matched authoritative alias: PRAYAS.,08/02/2021,08/03/2021,CLOSED,Official closing date is before the verification date.,STARTUP_RELEVANT,Explicit title evidence: nidhi.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/nidhi-promoting-and-accelerating-young-and-aspiring-technology-entrepreneurs-prayas,,https://dst.gov.in/archive-call-for-proposals?page=9,CALL_INDEX_CONTAINER,11,2026-07-10T09:24:36+00:00,,,,,,,,,,,,
dst_call_f9ee97e4a2e6dd49b8d3,DST,NIDHI- Entrepreneur in Residence(EIR),CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,dst_programme_nidhi_eir,ALIAS_MATCH,Matched authoritative alias: NIDHI Entrepreneur-in-Residence.,08/02/2021,08/03/2021,CLOSED,Official closing date is before the verification date.,STARTUP_RELEVANT,Explicit title evidence: nidhi.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/nidhi-entrepreneur-residenceeir,,https://dst.gov.in/archive-call-for-proposals?page=9,CALL_INDEX_CONTAINER,10,2026-07-10T09:24:36+00:00,,,,,,,,,,,,
dst_call_4973e05f43046981c31b,DST,Call for proposal for conducting DST-NGP Geo Innovation Challenge Program and Summer/ Winter Schools in Geospatial Science and Technology,CALL_INSTANCE,CHALLENGE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,06/07/2023,12/08/2023,CLOSED,Official closing date is before the verification date.,REVIEW_REQUIRED,"Beneficiary evidence without a resolved programme: start-up, entrepreneur.",SPECIFIC,Geospatial Technology,,Official call evidence contains Geospatial Technology: geospatial.,false,https://dst.gov.in/callforproposals/call-proposal-conducting-dst-ngp-geo-innovation-challenge-program-and-summer-winter,,https://dst.gov.in/archive-call-for-proposals?page=13,CALL_INDEX_CONTAINER,15,2026-07-10T09:24:57+00:00,,,,,,,,,,,,
dst_call_75e81c8b4efe759c1a49,DST,"Special call for Inclusive Technology Business Incubators (NIDHI - iTBI) for Schedule Caste (SC)/ Schedule Tribe (ST), Women Entrepreneur, and Special Technology domain (Assistive Technology, Preventive Health Care etc.)",CALL_INSTANCE,OPPORTUNITY_NOTICE,INTERMEDIARY_IMPLEMENTER,Official evidence indicates an intermediary applicant: inclusive technology business incubators.,dst_programme_nidhi_itbi,ALIAS_MATCH,Matched authoritative alias: NIDHI-iTBI.,14/01/2025,14/02/2025,CLOSED,Official closing date is before the verification date.,STARTUP_ECOSYSTEM_CALL,Official evidence indicates an intermediary applicant: inclusive technology business incubators. This is related to startup support but is not a direct founder opportunity.,MULTI_SECTOR,Assistive Technology & Accessibility,Healthcare & MedTech,Official call evidence contains Assistive Technology & Accessibility: assistive technology; Healthcare & MedTech: preventive health care.,false,https://dst.gov.in/callforproposals/special-call-inclusive-technology-business-incubators-nidhi-itbi-schedule-caste-sc,,https://dst.gov.in/archive-call-for-proposals?page=15,CALL_INDEX_CONTAINER,20,2026-07-10T09:24:58+00:00,,,,,,,,,,,,
dst_call_0a2902fe7337973f31ea,DST,USISTEF: Funding Opportunity Announcement for Start-ups,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,,UNRESOLVED,No authoritative programme alias occurs in the call evidence.,02/05/2018,15/06/2018,CLOSED,Official closing date is before the verification date.,STARTUP_RELEVANT,Explicit title evidence: start-up.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/usistef-funding-opportunity-announcement-start-ups,,https://dst.gov.in/archive-call-for-proposals?page=3,CALL_INDEX_CONTAINER,14,2026-07-10T09:24:29+00:00,,,,,,,,,,,,
dst_call_739aa3e87374ca590eae,DST,NIDHI ACCELERATOR call,CALL_INSTANCE,OPPORTUNITY_NOTICE,UNKNOWN,The direct applicant layer requires curation.,dst_programme_nidhi_accelerator,ALIAS_MATCH,Matched authoritative alias: NIDHI-Accelerator.,24/06/2021,15/07/2021,CLOSED,Official closing date is before the verification date.,STARTUP_RELEVANT,Explicit title evidence: nidhi.,UNKNOWN,,,No explicit sector phrase was found in official call evidence.,true,https://dst.gov.in/callforproposals/nidhi-accelerator-call,https://dst.gov.in/sites/default/files/NIDHI%20ACCELERATOR%20call.pdf,https://dst.gov.in/archive-call-for-proposals?page=10,CALL_INDEX_CONTAINER,3,2026-07-10T09:24:37+00:00,,,,,,,,,,,,
