document_id,url,final_url,source_url,anchor_text,role_hint,filename,extension,authority_class,status,http_status,content_type,content_length_header,bytes_received,content_sha256,snapshot_path,discovered_at,fetched_at,error,document_url,normalized_url,source_page_url,file_extension,document_role_hint,document_year,possible_call_document,possible_scheme_guideline
dst_doc_9cff534a05bb85cd3f29,https://dst.gov.in/sites/default/files/BASE-Program-Flyer-2017.pdf,,https://dst.gov.in/archive-call-for-proposals,Download The file (1.92 MB),DOCUMENT,BASE-Program-Flyer-2017.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/BASE-Program-Flyer-2017.pdf,https://dst.gov.in/sites/default/files/BASE-Program-Flyer-2017.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,2017,1,0
dst_doc_66d31c210a07a3748cd4,https://dst.gov.in/sites/default/files/UK-India-Built-Environment-Call.pdf,,https://dst.gov.in/archive-call-for-proposals,Download The file (197 KB),DOCUMENT,UK-India-Built-Environment-Call.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/UK-India-Built-Environment-Call.pdf,https://dst.gov.in/sites/default/files/UK-India-Built-Environment-Call.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_d885a0f2653c82f8d6ed,https://dst.gov.in/sites/default/files/NSTMIS-Advt%202017-18.pdf,,https://dst.gov.in/archive-call-for-proposals,NSTMIS-Advt 2017-18.pdf,DOCUMENT,NSTMIS-Advt%202017-18.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/NSTMIS-Advt%202017-18.pdf,https://dst.gov.in/sites/default/files/NSTMIS-Advt%202017-18.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,2017,1,0
dst_doc_b642c41e9afda65fc72e,https://dst.gov.in/sites/default/files/Overseas%20Postdoctoral%20Fellowship%202016-17%20-WebAdvt_0.pdf,,https://dst.gov.in/archive-call-for-proposals,Overseas Postdoctoral Fellowship 2016-17 -WebAdvt.pdf,DOCUMENT,Overseas%20Postdoctoral%20Fellowship%202016-17%20-WebAdvt_0.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/Overseas%20Postdoctoral%20Fellowship%202016-17%20-WebAdvt_0.pdf,https://dst.gov.in/sites/default/files/Overseas%20Postdoctoral%20Fellowship%202016-17%20-WebAdvt_0.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,2016,1,0
dst_doc_e6868c3c6a54e40ef4ee,https://dst.gov.in/sites/default/files/advertisement.pdf,,https://dst.gov.in/archive-call-for-proposals,Download The file (1.06 MB),DOCUMENT,advertisement.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/advertisement.pdf,https://dst.gov.in/sites/default/files/advertisement.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_24aee50a8deb644ef1c8,https://dst.gov.in/sites/default/files/ICPS-detailed%20call-webpage.pdf,,https://dst.gov.in/archive-call-for-proposals,ICPS-detailed call-webpage.pdf,DOCUMENT,ICPS-detailed%20call-webpage.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/ICPS-detailed%20call-webpage.pdf,https://dst.gov.in/sites/default/files/ICPS-detailed%20call-webpage.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_969639e58a7650169f0b,https://dst.gov.in/sites/default/files/Public%20Notice%20China.pdf,,https://dst.gov.in/archive-call-for-proposals,Public Notice China.pdf,DOCUMENT,Public%20Notice%20China.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/Public%20Notice%20China.pdf,https://dst.gov.in/sites/default/files/Public%20Notice%20China.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_dc617933f22da6b4b1d2,https://dst.gov.in/sites/default/files/Final-Call-document-Clean-Coal-7Feb-17.pdf,,https://dst.gov.in/archive-call-for-proposals,Download The file (121.87 KB),DOCUMENT,Final-Call-document-Clean-Coal-7Feb-17.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/Final-Call-document-Clean-Coal-7Feb-17.pdf,https://dst.gov.in/sites/default/files/Final-Call-document-Clean-Coal-7Feb-17.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_3c8edcfdd756d528693d,https://dst.gov.in/sites/default/files/UNESCO%20Poland%20Fellowship%202017.pdf,,https://dst.gov.in/archive-call-for-proposals,UNESCO Poland Fellowship 2017.pdf,DOCUMENT,UNESCO%20Poland%20Fellowship%202017.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/UNESCO%20Poland%20Fellowship%202017.pdf,https://dst.gov.in/sites/default/files/UNESCO%20Poland%20Fellowship%202017.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,2017,1,0
dst_doc_bdde3113f65b3c169284,https://dst.gov.in/sites/default/files/ADVERTISEMENT-SWARNAJAYANTI-FELLOWSHIPS-2016-17.pdf,,https://dst.gov.in/archive-call-for-proposals,Download The file (75.27 KB),DOCUMENT,ADVERTISEMENT-SWARNAJAYANTI-FELLOWSHIPS-2016-17.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/ADVERTISEMENT-SWARNAJAYANTI-FELLOWSHIPS-2016-17.pdf,https://dst.gov.in/sites/default/files/ADVERTISEMENT-SWARNAJAYANTI-FELLOWSHIPS-2016-17.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,2016,1,0
dst_doc_13276e07392e43cd0e1b,https://dst.gov.in/sites/default/files/Water-Mission-Projects-Call-extended-call_0.pdf,,https://dst.gov.in/archive-call-for-proposals,Water-Mission-Projects-Call-extended-call.pdf,DOCUMENT,Water-Mission-Projects-Call-extended-call_0.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/Water-Mission-Projects-Call-extended-call_0.pdf,https://dst.gov.in/sites/default/files/Water-Mission-Projects-Call-extended-call_0.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
dst_doc_5cc7d0aba37f4e311a11,https://dst.gov.in/sites/default/files/Final%20India-UK%20Water%20Quality%20-%20AO_2.pdf,,https://dst.gov.in/archive-call-for-proposals,Final India-UK Water Quality - AO.pdf,DOCUMENT,Final%20India-UK%20Water%20Quality%20-%20AO_2.pdf,.pdf,DST_OFFICIAL,DISCOVERED,,,,,,,2026-07-10T09:24:26+00:00,,,https://dst.gov.in/sites/default/files/Final%20India-UK%20Water%20Quality%20-%20AO_2.pdf,https://dst.gov.in/sites/default/files/Final%20India-UK%20Water%20Quality%20-%20AO_2.pdf,https://dst.gov.in/archive-call-for-proposals,.pdf,CALL_DOCUMENT,,1,0
