page_id,final_url,page_title,page_role,confidence,top_score,second_best_role,second_best_score,possible_parent_name_text,classification_reasons,review_flags,evidence_scores_json,identity_safeguard
dst_page_3856718e27375c3b9590,https://dst.gov.in/schemes-programmes,Schemes/ Programmes,SCHEME_CATEGORY_INDEX,0.9900,100.000,UNKNOWN,0.000,,SCHEME_PROGRAMME_ROOT_INDEX,,"{""SCHEME_CATEGORY_INDEX"": 100.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_27f908658d740a1a73b7,https://dst.gov.in/,Home Page,PROGRAMME_CATEGORY_INDEX,0.4900,28.000,SCHEME_CATEGORY_INDEX,28.000,,RELEVANT_INTERNAL_LINKS_34,LOW_CONFIDENCE | SMALL_SCORE_MARGIN,"{""CALL_FOR_PROPOSALS"": 10.0, ""CURRENT_CALL_INDEX"": 7.0, ""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 10.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 10.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_c76df8b1068cc0ebcea4,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,"Research, Development, and Innovation (RDI) Cell",PROGRAMME_MASTER_CANDIDATE,0.6700,64.000,SCHEME_MASTER_CANDIDATE,64.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_EVIDENCE_OBJECTIVE | PROGRAMME_EVIDENCE_BENEFIT | PROGRAMME_EVIDENCE_BENEFICIARY | MULTI_SECTION_PROGRAMME_EVIDENCE_3,LOW_CONFIDENCE | SMALL_SCORE_MARGIN,"{""CALL_FOR_PROPOSALS"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 64.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 64.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_d0932cf86b9a23327955,https://dst.gov.in/human-capacity-building-programmes,S&T Capacity Building Programmes,PROGRAMME_MASTER_CANDIDATE,0.6293,41.000,PROGRAMME_CATEGORY_INDEX,28.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_TERM_IN_TITLE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | WEAK_MASTER_PAGE_EVIDENCE,"{""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 41.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 18.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_d621c5092f9508a0ab92,https://dst.gov.in/institutional-capacity-building-programmes,Institutional Capacity Building Programmes,PROGRAMME_MASTER_CANDIDATE,0.9314,97.000,SCHEME_MASTER_CANDIDATE,74.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_EVIDENCE_OBJECTIVE | PROGRAMME_EVIDENCE_ELIGIBILITY | PROGRAMME_EVIDENCE_BENEFICIARY | PROGRAMME_EVIDENCE_SCOPE | MULTI_SECTION_PROGRAMME_EVIDENCE_4 | PROGRAMME_TERM_IN_TITLE,,"{""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 97.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 74.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_f440cb529dab68382cfc,https://dst.gov.in/research-development-programmes,Research & Development Programmes,PROGRAMME_MASTER_CANDIDATE,0.6293,41.000,PROGRAMME_CATEGORY_INDEX,28.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_TERM_IN_TITLE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | WEAK_MASTER_PAGE_EVIDENCE,"{""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 41.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 18.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_29301a102ff8bd4991cc,https://dst.gov.in/innovation-and-technology-development-programmes,Innovation and Technology Development Programmes,PROGRAMME_MASTER_CANDIDATE,0.6293,41.000,PROGRAMME_CATEGORY_INDEX,28.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_TERM_IN_TITLE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | WEAK_MASTER_PAGE_EVIDENCE,"{""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 41.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 18.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_a1e68c4a1e942500e236,https://dst.gov.in/science-society-programmes,Science for Society Programmes,PROGRAMME_MASTER_CANDIDATE,0.6293,41.000,PROGRAMME_CATEGORY_INDEX,28.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_TERM_IN_TITLE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | WEAK_MASTER_PAGE_EVIDENCE,"{""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 41.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 18.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_7b6b8f52b2f0f0dbeed2,https://dst.gov.in/national-missions,National Missions,UNKNOWN,0.5114,30.000,PROGRAMME_CATEGORY_INDEX,28.000,,LOW_INFORMATION_PAGE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | SMALL_SCORE_MARGIN | UNKNOWN_ROLE,"{""GENERAL_INFORMATION"": 26.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 23.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""UNKNOWN"": 30.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
dst_page_e07a2c14af23f746f0a4,https://dst.gov.in/state-st,State S&T Initiative,PROGRAMME_MASTER_CANDIDATE,0.6293,41.000,PROGRAMME_CATEGORY_INDEX,28.000,,CRAWLER_SCHEME_PROGRAMME_HINT | PROGRAMME_TERM_IN_TITLE,LOW_CONFIDENCE | LOW_TEXT_BODY_FALLBACK | WEAK_MASTER_PAGE_EVIDENCE,"{""GENERAL_INFORMATION"": 10.0, ""PROGRAMME_CATEGORY_INDEX"": 28.0, ""PROGRAMME_MASTER_CANDIDATE"": 41.0, ""SCHEME_CATEGORY_INDEX"": 28.0, ""SCHEME_MASTER_CANDIDATE"": 18.0}",CALLS_NOT_PROMOTED_AND_NO_MASTER_IDENTITY_CREATED
