source_page_id,page_title,page_role,action,provisional_entity_id,reason
dst_page_c76df8b1068cc0ebcea4,"Research, Development, and Innovation (RDI) Cell",PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_f4566621d18103f851d4,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_d0932cf86b9a23327955,S&T Capacity Building Programmes,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_42fc5916ea5eed40e7da,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_d621c5092f9508a0ab92,Institutional Capacity Building Programmes,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_926695ed741ca40b92a3,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_f440cb529dab68382cfc,Research & Development Programmes,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_749ad5f399c75fb7561d,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_29301a102ff8bd4991cc,Innovation and Technology Development Programmes,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_d42b04096b03a1dc6584,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_a1e68c4a1e942500e236,Science for Society Programmes,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_9809fb5b19ade3c50b4b,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_e07a2c14af23f746f0a4,State S&T Initiative,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_0561373b6f555cf5ed68,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_54fbdb8b67b22bb27352,Fellowship Opportunities for Researchers,SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_b193497f2e1ba1cd5f66,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_fe86d41bc1eb464a77b3,State Science & Technology Programme,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_27d0a619a0aefe1ab6e1,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_9acd1028ce1d777eb723,National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_757f88f60b8efa8b8414,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_75a228ee94f401de7363,National Quantum Mission (NQM),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_b18094ae0e1853419e1e,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_b51bfeb94e6ea5a9cfee,National Supercomputing Mission,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_39351dda05a42fea7a0a,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_f32789f7f84f116d20e8,Climate Change Programme,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_bb44212fb133345884e8,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_9bc31ee5014c7eacf746,National Council for Science & Technology Communication NCSTC,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_6af5f3423a81e65452dd,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_d958d4082ac9be0dd0bb,National Science & Technology Entrepreneurship Development Board,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_1cd751938dcbec59ba62,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_85f89362f63aa7d1db3d,Technology Mission Programme on Water and Clean Energy,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_835e25ff9d2274f39c92,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_39f3a0e55eaa68c8d3d0,Technology Development and Transfer,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_a5dad6324fc5938214dc,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_dd0488511f5967244494,Science and Heritage Research Initiative (SHRI) Cell,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_949c456fc2168a4e5db0,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_e6bbfbc5e3648f6edcf6,National Geospatial Programme (erstwhile NRDMS),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_db90b2cfe99e88b0ee4c,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_480658cfa02d31bea92c,Cognitive Science Research Initiative (CSRI),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_60ddbd2fb5f2e1350686,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_2670905684740b037ae1,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST),SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_ba3faa8153c1c06bdffc,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_06950946e6ce73c40845,Promotion of University Research and Scientific Excellence(PURSE),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_c7681b03264f485ab9a9,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_458dd5a937b7e34458ad,Sophisticated Analytical Instrument Facilities,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_ec419cff16ecb3cd65e7,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_15b5bba75f19b05e22fa,Synergistic Training program Utilizing the Scientific and Technological Infrastructure (STUTI),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_2cb7fbf01a6e1098d011,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_0a9de2ee7ce945b058b8,Support for Up-gradation Preventive Repair & Maintenance of Equipment (SUPREME),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_ffc17b125133e17c7e1a,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_f5f1e69b1d66892c47b2,INSPIRE Scheme,SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_fd02e119bc642328c94f,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_67bbe6b5a3168ec2ee16,Women in Science and Engineering-KIRAN (WISE-KIRAN),PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_d0be2609d7edece61837,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_3697a0e043d448ba5030,Funding Mechanism,SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_6926503df585919a673a,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_d47464bcbfe3be229cb2,About the Schemes,SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_a805e11784fbef37d7d5,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_20dfeeb17abaf5c023fd,Mega Facilities for Basic Research Scheme,SCHEME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_scheme_10827dc007fc6d5e687f,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_b921eacc85a5b73ffcd2,National Science & Technology Management Information System,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_7d0564f8246d029b3cbd,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_fb8fe784b5fbaa540e70,Policy Research Cell,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_629f69d1c1a7a7ea1ad8,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
dst_page_ffc6db5c71d06a196c12,Archive,PROGRAMME_MASTER_CANDIDATE,PROVISIONAL_ENTITY_CREATED,dst_provisional_programme_3b11744b1aff9aac1bba,ALLOWED_MASTER_ROLE_WITH_PERMANENT_IDENTITY_EVIDENCE
