evidence_id,provisional_entity_id,evidence_type,source_id,source_url,source_title,evidence_text,evidence_confidence
dst_identity_evidence_f6dd614810b2795bf912,dst_provisional_programme_f4566621d18103f851d4,OFFICIAL_MASTER_PAGE,dst_page_c76df8b1068cc0ebcea4,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,"Research, Development, and Innovation (RDI) Cell","Research, Development, and Innovation (RDI) Cell Introduction The Department of Science & Technology (DST) has launched the Research, Development, and Innovation (RDI) Scheme , approved by the Union Cabinet on July 1, 2025. With a total outlay of ₹1 lakh crore , this transformative initiative aims to catalyze private sector participation in high-impact R&D.It aims to strengthen India’s capabilities in strategic technologies and promote technological self-reliance , aligning with the nation’s long-term innovation and Atmanirbhar Bharat vision. Key Objectives of the RDI Scheme Encouraging Privat",0.5740
dst_identity_evidence_e89d6ba1a1b98e623c28,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_3856718e27375c3b9590,https://dst.gov.in/schemes-programmes,Schemes/ Programmes,RDI Fund,0.8500
dst_identity_evidence_4677ca57b6722640bc74,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_27f908658d740a1a73b7,https://dst.gov.in/,Home Page,RDI Fund,0.8500
dst_identity_evidence_bbba4926801c69fde232,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_a7ea364fa3923e1b26d6,https://dst.gov.in/vision-mission,Vision & Mission,RDI Fund,0.8500
dst_identity_evidence_36342e1909a5938b185b,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_84ab411978e6f5a6d506,https://dst.gov.in/science-and-technology-training-cell,Science and Technology Training Cell,RDI Fund,0.8500
dst_identity_evidence_540066c206538b277356,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_9800ef2b79f116873cf0,https://dst.gov.in/technical-research-centres,Technical Research Centres,RDI Fund,0.8500
dst_identity_evidence_1596dd7b80cab87876fc,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_824660a371103de5f789,https://dst.gov.in/programmes-innitiatives,Programmes & Initiatives,RDI Fund,0.8500
dst_identity_evidence_2eb3ed26175790337a1b,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_bfcd9c3626c6356291f2,https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara,Long Term Core Support - Technological Advancement for Rural Areas (TARA),RDI Fund,0.8500
dst_identity_evidence_05a483dd9ff284cd76bd,dst_provisional_programme_f4566621d18103f851d4,CATEGORY_INDEX_LINK,dst_page_b532de15ce003731615b,https://dst.gov.in/ngcma,NGCMA Home,RDI Fund,0.8500
dst_identity_evidence_01bb39efaab5395f3b81,dst_provisional_programme_42fc5916ea5eed40e7da,OFFICIAL_MASTER_PAGE,dst_page_d0932cf86b9a23327955,https://dst.gov.in/human-capacity-building-programmes,S&T Capacity Building Programmes,S&T Capacity Building Programmes INSPIRE Scheme INSPIRE-MANAK WISE-KIRAN,0.3947
