alias_candidate_id,provisional_entity_id,proposed_canonical_name,alias_text,alias_type,source_page_id,source_url,alias_confidence,evidence,curation_status
dst_alias_9923bfe33003c3191a6a,dst_provisional_programme_757f88f60b8efa8b8414,National Mission on Interdisciplinary Cyber Physical Systems,NM-ICPS,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_9acd1028ce1d777eb723,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_c563c25cce1b41719423,dst_provisional_programme_757f88f60b8efa8b8414,National Mission on Interdisciplinary Cyber Physical Systems,National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_9acd1028ce1d777eb723,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_be9e8e90e25ca65b7356,dst_provisional_programme_b18094ae0e1853419e1e,National Quantum Mission,NQM,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_75a228ee94f401de7363,https://dst.gov.in/national-quantum-mission-nqm,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_623c49edc8bf6373e308,dst_provisional_programme_b18094ae0e1853419e1e,National Quantum Mission,National Quantum Mission (NQM),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_75a228ee94f401de7363,https://dst.gov.in/national-quantum-mission-nqm,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_6d77bc2c53e62237ae67,dst_provisional_programme_39351dda05a42fea7a0a,National Supercomputing Mission,NSM,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_b51bfeb94e6ea5a9cfee,https://dst.gov.in/national-supercomputing-mission-1,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_92f8a670bd16a8c198ce,dst_provisional_programme_1cd751938dcbec59ba62,National Science & Technology Entrepreneurship Development Board,NSTEDB,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_d958d4082ac9be0dd0bb,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_e5f35b7c2c6064e6d128,dst_provisional_programme_60ddbd2fb5f2e1350686,Cognitive Science Research Initiative,CSRI,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_480658cfa02d31bea92c,https://dst.gov.in/cognitive-science-research-initiative-csri,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_385e90a75669c8cab733,dst_provisional_programme_60ddbd2fb5f2e1350686,Cognitive Science Research Initiative,Cognitive Science Research Initiative (CSRI),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_480658cfa02d31bea92c,https://dst.gov.in/cognitive-science-research-initiative-csri,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_5ac249f7960f0db1665d,dst_provisional_scheme_ba3faa8153c1c06bdffc,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,FIST,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_2670905684740b037ae1,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_8dff264fb2d2f8caa538,dst_provisional_scheme_ba3faa8153c1c06bdffc,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_2670905684740b037ae1,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_a32cf2d78c02acd8522f,dst_provisional_programme_c7681b03264f485ab9a9,Promotion of University Research and Scientific Excellence,PURSE,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_06950946e6ce73c40845,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_059d62ed482ca8ca945f,dst_provisional_programme_c7681b03264f485ab9a9,Promotion of University Research and Scientific Excellence,Promotion of University Research and Scientific Excellence(PURSE),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_06950946e6ce73c40845,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_59c28fe7c91fe76663de,dst_provisional_programme_ec419cff16ecb3cd65e7,Sophisticated Analytical Instrument Facilities,SAIF,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_458dd5a937b7e34458ad,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_e187e07ffa5f7be5ab69,dst_provisional_programme_2cb7fbf01a6e1098d011,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,STUTI,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_15b5bba75f19b05e22fa,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_00bcc96734adc13793a9,dst_provisional_programme_2cb7fbf01a6e1098d011,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,Synergistic Training program Utilizing the Scientific and Technological Infrastructure (STUTI),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_15b5bba75f19b05e22fa,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
dst_alias_cedc11cc9b64986d941e,dst_provisional_programme_ffc17b125133e17c7e1a,Support for Up-gradation Preventive Repair & Maintenance of Equipment,SUPREME,OFFICIAL_ABBREVIATION_CANDIDATE,dst_page_0a9de2ee7ce945b058b8,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,0.9000,TRAILING_TITLE_OR_BODY_ACRONYM,PROVISIONAL
dst_alias_08ec1360cbe1b37e2c48,dst_provisional_programme_ffc17b125133e17c7e1a,Support for Up-gradation Preventive Repair & Maintenance of Equipment,Support for Up-gradation Preventive Repair & Maintenance of Equipment (SUPREME),OFFICIAL_PAGE_TITLE_VARIANT,dst_page_0a9de2ee7ce945b058b8,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,0.7800,RAW_OFFICIAL_PAGE_TITLE_DIFFERS_AFTER_SITE_SUFFIX_OR_ACRONYM_EXTRACTION,PROVISIONAL
