duplicate_gap_id,duplicate_of_unique_gap_id,normalized_target_url,target_url,anchor_text,source_category_title,original_review_id,deduplication_reason
dst_gap_duplicate_d9f26ac172db7ea59a01,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Home Page,dst_identity_review_3fdf966549c9f4a1fc13,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_7fa70ebef6b1cbccb09d,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Vision & Mission,dst_identity_review_c9035e900091afff487e,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_17fea5239fffb26a83d9,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Science and Technology Training Cell,dst_identity_review_2906c7f11e07f587d70b,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_8e4739c7b847ecb58b18,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Technical Research Centres,dst_identity_review_03cce762fe475dc21bbe,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_f1a607bcfacc2d69b898,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Programmes & Initiatives,dst_identity_review_a66d90a381d42ed0a65f,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_e1e98d03874735b5ecca,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),Long Term Core Support - Technological Advancement for Rural Areas (TARA),dst_identity_review_c14ec160249e554b42b5,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_5cc2f3e3f74ae654cb16,dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,Department of Science & Technology (DST),NGCMA Home,dst_identity_review_df99887d402798544c28,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_cfab6989c4ab8d8fbd17,dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,Home Page,dst_identity_review_1c79734f3ff8c15e9af4,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_6977d0d4727f34cbd6ec,dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,Vision & Mission,dst_identity_review_786081fe9eb4f46e9b33,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_6ba41997d48dbdcd3e83,dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,Science and Technology Training Cell,dst_identity_review_fa8e30980d1da744fe15,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_459165f7d03b9bcc33e6,dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,Technical Research Centres,dst_identity_review_f82ed216be6c569b4815,SAME_NORMALIZED_TARGET_URL
dst_gap_duplicate_2fc5d295b7e7bce3e6d9,dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,Programmes & Initiatives,dst_identity_review_9e04857fc3b4a6f25252,SAME_NORMALIZED_TARGET_URL
