review_id,unique_gap_id,review_type,proposed_name,proposed_entity_type,classification_confidence,review_flags,classification_reasons,target_url,source_category_titles,recommended_action
dst_gap_review_5f59de8a6abc8c89fc1e,dst_gap_5c2c605667c9be478543,BROKEN_OR_MISSING_TARGET,About NGCMA,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-ngcma,NGCMA Home,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_bfb6b06ee851b97a6b43,dst_gap_b5d0edc120270b96ab44,BROKEN_OR_MISSING_TARGET,Administrative Setup,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us-administrative-setup,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_fe0b083529d6cf47e56f,dst_gap_7aa11e78b237c43780e3,BROKEN_OR_MISSING_TARGET,Directory,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/email-directory,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_f88db504e5952a91e0ac,dst_gap_73b193fef42886720527,BROKEN_OR_MISSING_TARGET,Mandate,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/mandate,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_7654432936f8d7ffdaff,dst_gap_1c6ff5f83eb560f7c78e,BROKEN_OR_MISSING_TARGET,Organization Structure,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/organization-structure,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_8a5e4d95b9975147e245,dst_gap_ac1f434f283f2718b15c,BROKEN_OR_MISSING_TARGET,About DST,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about_us,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_758aca28dc853c113be2,dst_gap_08d5fa0d13c266d644ec,BROKEN_OR_MISSING_TARGET,Acts & Orders,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/acts-orders,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_6bde95599fcb0031840f,dst_gap_8277235532af8c79e3f9,BROKEN_OR_MISSING_TARGET,Parliament Unit,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_8468a26de08efbbda7ed,dst_gap_f296903c2ea334fe7b01,BROKEN_OR_MISSING_TARGET,Recruitment Cell,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance-0,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_0004727ea10e6121d35d,dst_gap_60ff522c769e949cb3ef,BROKEN_OR_MISSING_TARGET,Administration & Finance,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance/administration-finance,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_0b5515c4f1cbcfe9358c,dst_gap_498a1359fd6b28133c35,BROKEN_OR_MISSING_TARGET,Integrated Finance,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance/integrated-finance,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_a2a381efe5128cc51c0f,dst_gap_12eec6a081fd197615ad,BROKEN_OR_MISSING_TARGET,Library,UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance/library,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
dst_gap_review_f17fb1da09e9f2831957,dst_gap_cb05f8598cb046865d81,BROKEN_OR_MISSING_TARGET,"O/o Chief Controller of Accounts, MST",UNRESOLVED,0.3500,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/administrationfinance/office-chief-controller-accounts,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,VERIFY_URL_OR_RESTORE_MISSING_OFFICIAL_PAGE_EVIDENCE
