unique_gap_id,normalized_target_url,target_url,target_page_id,target_page_title,target_page_role,target_page_role_confidence,anchor_text_primary,anchor_text_variants,source_category_titles,source_category_roles,occurrence_count,inbound_link_count,gap_classification,proposed_entity_type,classification_confidence,classification_reasons,review_flags,requires_admin_review,existing_provisional_entity_id,existing_provisional_entity_name,existing_provisional_entity_type,main_text_excerpt,identity_safeguard,consolidated_at
dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,dst_page_ff9159671a474201220d,Page not found,BROKEN_OFFICIAL_LINK,0.9900,Department of Science & Technology (DST),Department of Science & Technology (DST),Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,1251,NON_SCHEME_PAGE,NON_SCHEME,0.9900,CLASSIFIER_ROLE_BROKEN_OFFICIAL_LINK,,0,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_5c2c605667c9be478543,https://dst.gov.in/about-ngcma,https://dst.gov.in/about-ngcma,,About NGCMA,,0.0000,About NGCMA,About NGCMA,NGCMA Home,PROGRAMME_CATEGORY_INDEX,1,2,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_b5d0edc120270b96ab44,https://dst.gov.in/about-us-administrative-setup,https://dst.gov.in/about-us-administrative-setup,,Administrative Setup,,0.0000,Administrative Setup,Administrative Setup,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_7aa11e78b237c43780e3,https://dst.gov.in/about-us/email-directory,https://dst.gov.in/about-us/email-directory,,Directory,,0.0000,Directory,Directory,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_73b193fef42886720527,https://dst.gov.in/about-us/mandate,https://dst.gov.in/about-us/mandate,,Mandate,,0.0000,Mandate,Mandate,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_1c6ff5f83eb560f7c78e,https://dst.gov.in/about-us/organization-structure,https://dst.gov.in/about-us/organization-structure,,Organization Structure,,0.0000,Organization Structure,Organization Structure,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_ac1f434f283f2718b15c,https://dst.gov.in/about_us,https://dst.gov.in/about_us,,About DST,,0.0000,About DST,About DST,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_08d5fa0d13c266d644ec,https://dst.gov.in/acts-orders,https://dst.gov.in/acts-orders,,Acts & Orders,,0.0000,Acts & Orders,Acts & Orders,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_8277235532af8c79e3f9,https://dst.gov.in/administrationfinance,https://dst.gov.in/administrationfinance,,Parliament Unit,,0.0000,Parliament Unit,Parliament Unit,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_f296903c2ea334fe7b01,https://dst.gov.in/administrationfinance-0,https://dst.gov.in/administrationfinance-0,,Recruitment Cell,,0.0000,Recruitment Cell,Recruitment Cell,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,416,BROKEN_OR_MISSING_TARGET,UNRESOLVED,0.3500,TARGET_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,VERIFY_TARGET_URL_OR_MISSING_CRAWL_RECORD,1,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
