unique_gap_id,target_url,normalized_target_url,direct_target_match,target_page_id,target_page_title,target_page_role,target_page_role_confidence,review_proposed_name,review_proposed_name_variants,review_context_titles,occurrence_count,reverse_inbound_link_count,recovered_source_urls,recovered_source_roles,gap_classification,proposed_entity_type,classification_confidence,classification_reasons,review_flags,requires_admin_review,existing_provisional_entity_id,existing_provisional_entity_name,existing_provisional_entity_type,main_text_excerpt,identity_safeguard,processed_at
dst_gap_target_a7ea364fa3923e1b26d6,https://dst.gov.in/vision-mission,https://dst.gov.in/vision-mission,1,dst_page_a7ea364fa3923e1b26d6,Vision & Mission,PROGRAMME_CATEGORY_INDEX,0.4900,Vision & Mission,Vision & Mission,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,417,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/announcement/applications-invited-throughout-year | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE | UNKNOWN,CATEGORY_OR_INDEX_PAGE,INDEX,0.9700,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,"Vision & Mission Vision: To continuously shape a seamless science, technology and innovation ecosystem, which is cutting-edge, collaborative, inclusive, relevant and aligned to our national aspirations and priorities and build a vision for a Viksit Bharat by 2047. Mission: Within the mandates of DST in the creation of S&T infrastructure and manpower, support to basic science research along with S&T led innovation and startups, technology development and seed the cutting-edge, futuristic areas of S&T, by devising suitable programs, schemes and technology missions to address socio-economic challenges and create opportunities to empower its stakeholders.",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_b532de15ce003731615b,https://dst.gov.in/ngcma,https://dst.gov.in/ngcma,1,dst_page_b532de15ce003731615b,NGCMA Home,PROGRAMME_CATEGORY_INDEX,0.4900,Good Laboratory Practice,Good Laboratory Practice,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,419,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE,CATEGORY_OR_INDEX_PAGE,INDEX,0.9700,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,"NGCMA Home A number of countries require manufacturers of chemicals viz. Industrial chemicals, Pharmaceuticals (Human and Veterinary), Agrochemicals, Cosmetics Products, Food/ Feed Additives and Medical devices, etc., to establish through data that use of these chemicals does not pose any hazards to human health and the environment. Non-hazardous nature needs to be established through studies and data, which will be examined by the regulatory authorities of the concerned countries. Good Laboratory Practice (GLP) is a system, which has been evolved by Organisation for Economic Co-operation and Development (OECD) used for achieving the above goals. National GLP Compliance Monitoring Authority ",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_e90979938622e157e4e9,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,1,dst_page_e90979938622e157e4e9,"Science, Technology & Innovation Policy 2013",UNKNOWN,0.5114,Policies/ Acts,Policies/ Acts,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,833,https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,CALL_ARCHIVE_INDEX | PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,ACCESSIBILITY_OR_NAVIGATION_PAGE,SUPPORTING,0.9600,"SOURCE_URL_INTERPRETED_AS_TARGET_URL | ACCESSIBILITY_OR_NAVIGATION_EVIDENCE:hindi,english",,0,,,,"Science, Technology & Innovation Policy 2013 Title Hindi Version English Version STI Policy 2013 View",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_f7e0fcfc0157f2f226b1,https://dst.gov.in/ethical-guidelines,https://dst.gov.in/ethical-guidelines,1,dst_page_f7e0fcfc0157f2f226b1,Ethical Guidelines,GUIDELINE_PAGE,0.9900,Ethical Guidelines,Ethical Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,417,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/announcement/applications-invited-throughout-year | https://dst.gov.in/archive | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE | UNKNOWN,SUPPORTING_PAGE,SUPPORTING,0.9900,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,Ethical Guidelines Policy on Conflict of Interest,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_84ab411978e6f5a6d506,https://dst.gov.in/science-and-technology-training-cell,https://dst.gov.in/science-and-technology-training-cell,1,dst_page_84ab411978e6f5a6d506,Science and Technology Training Cell,PROGRAMME_CATEGORY_INDEX,0.4900,Science and Technology Training Cell,Science and Technology Training Cell,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,418,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/announcement/applications-invited-throughout-year | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE | UNKNOWN,CATEGORY_OR_INDEX_PAGE,INDEX,0.9700,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,Science and Technology Training Cell The department in close consultation with the Department of Personnel and Training and Planning Commission conducts training programmes for scientists and technologists working in Govt. sector. National Programme for Training of Scientists & Technologists working in Govt. Sector Training Calendar 2025-26 Nomination Proforma (New) Letter - Uploading of UC in PFMS website-reg. UC Manual for Agencies - Utilisation Certificate Module Annual Capacity Building Plan Scientists and Officers of DST,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_8325ba2fba506d3e39b6,https://dst.gov.in/oms-and-guidelines,https://dst.gov.in/oms-and-guidelines,1,dst_page_8325ba2fba506d3e39b6,OMs and Guidelines,GUIDELINE_PAGE,0.9900,OMs and Guidelines,OMs and Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,417,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/announcement/applications-invited-throughout-year | https://dst.gov.in/archive | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE | UNKNOWN,SUPPORTING_PAGE,SUPPORTING,0.9900,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,"OMs and Guidelines OM on Empanelment of retired officers as Inquiry Officers for conducting Department Inquiries in the Department of Science & Technology OM on Good practices in public Administration OM dated 09.03.2026 Gazette Notification AO Gazette Notification_COO_CFO SFR RDI FUND Gazzette Notification Publication of Special Financial Rules 2026 for utilization of the amounts in the Research Development and Innovation(RDI) Fund in the official Gazette - reg. OM ""Paripoorna Mediclaim Ayush Bima for CGHS beneficiaries"" OM ""Revised guidelines of project implementation and manpower emoluments under societal programmes of DST"" Seeking comments from the stakeholders on draft recruitment rules",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_8e14cd0e2b07daac6817,https://dst.gov.in/covid-19-oms-and-guidelines,https://dst.gov.in/covid-19-oms-and-guidelines,1,dst_page_8e14cd0e2b07daac6817,COVID 19- OMs and Guidelines,GUIDELINE_PAGE,0.9900,COVID 19- OMs and Guidelines,COVID 19- OMs and Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,8,417,https://dst.gov.in/ | https://dst.gov.in/about-schemes | https://dst.gov.in/announcement/applications-invited-throughout-year | https://dst.gov.in/archive | https://dst.gov.in/archive-call-for-proposals | https://dst.gov.in/archive-call-for-proposals?page=1 | https://dst.gov.in/archive-call-for-proposals?page=10 | https://dst.gov.in/archive-call-for-proposals?page=11 | https://dst.gov.in/archive-call-for-proposals?page=12 | https://dst.gov.in/archive-call-for-proposals?page=13 | https://dst.gov.in/archive-call-for-proposals?page=14 | https://dst.gov.in/archive-call-for-proposals?page=15 | https://dst.gov.in/archive-call-for-proposals?page=16 | https://dst.gov.in/archive-call-for-proposals?page=17 | https://dst.gov.in/archive-call-for-proposals?page=2 | https://dst.gov.in/archive-call-for-proposals?page=3 | https://dst.gov.in/archive-call-for-proposals?page=4 | https://dst.gov.in/archive-call-for-proposals?page=5 | https://dst.gov.in/archive-call-for-proposals?page=6 | https://dst.gov.in/archive-call-for-proposals?page=7 | https://dst.gov.in/archive-call-for-proposals?page=8 | https://dst.gov.in/archive-call-for-proposals?page=9 | https://dst.gov.in/call-for-proposals | https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara | https://dst.gov.in/ngcma | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/schemes-programmes | https://dst.gov.in/science-and-technology-training-cell | https://dst.gov.in/technical-research-centres | https://dst.gov.in/vision-mission,BROKEN_OFFICIAL_LINK | CALL_ARCHIVE_INDEX | CURRENT_CALL_INDEX | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SCHEME_CATEGORY_INDEX | SCHEME_MASTER_CANDIDATE | UNKNOWN,SUPPORTING_PAGE,SUPPORTING,0.9900,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,"COVID 19- OMs and Guidelines COVID-19 Related Initiatives and Activities of DST & Its Autonomous Institutions 3.66 MB Guidance for evaluation of novel applications for COVID-19 by the Indian Council of Medical Research, Department of Health Research 474.8 KB Disinfection services for prevention of corona COVID 10 Virus (letter to Secy. Central Ministries, GOI) 407.56 KB MHA Order Dt. 29.3.2020 on Disaster Management Act 2005 2.11 MB DOletter_ Home Secretary Dt 24.3.2020 409.81 KB DOPT Guidelines for Workplaces reg COVID-19 Dt 26.03.2020 346.02 KB Annexure_MHA Order Dt 24.03.2020 2.67 MB DOPT OM Dt 25.03.2020 reg Preventive Measures to contain the spread of COVID-19 420.32 KB DOPT OM Dt 22.03",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:14+00:00
dst_gap_target_824660a371103de5f789,https://dst.gov.in/programmes-innitiatives,https://dst.gov.in/programmes-innitiatives,1,dst_page_824660a371103de5f789,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,0.9900,Programmes & Initiatives,Programmes & Initiatives,Programmes & Initiatives,1,7,https://dst.gov.in/about-schemes | https://dst.gov.in/archive | https://dst.gov.in/funding-mechanism | https://dst.gov.in/how-apply-project-support | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/sanctioned-projects,APPLICATION_GUIDANCE | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SANCTIONED_PROJECT_EVIDENCE | SCHEME_MASTER_CANDIDATE,CATEGORY_OR_INDEX_PAGE,INDEX,0.9900,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,"Programmes & Initiatives 1. Strengthening, Upscaling & Nurturing Local Innovations for Livelihood (SUNIL) programme SUNIL programme aims to strengthen the livelihood efficiency of Economically Weaker Section (EWS) of society through technology delivery & social enterprise creation. Focus of the programme is not only limited to the deployment of many field-tested models and location-specific technologies to meet the needs of citizens, it also encourages improving their S&T knowledge, skill enhancement, capacity building and socio-economic conditions. The programme covers majorly (but not limited to) the areas of Natural Resource Management; Drinking Water & Sanitation; Education; Health & Nut",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:15+00:00
dst_gap_target_e15a35430063a0d0175f,https://dst.gov.in/how-apply-project-support,https://dst.gov.in/how-apply-project-support,1,dst_page_e15a35430063a0d0175f,How to Apply for Project Support,APPLICATION_GUIDANCE,0.6914,How to Apply for Project Support,How to Apply for Project Support,Programmes & Initiatives,1,7,https://dst.gov.in/about-schemes | https://dst.gov.in/archive | https://dst.gov.in/funding-mechanism | https://dst.gov.in/how-apply-project-support | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/sanctioned-projects,APPLICATION_GUIDANCE | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SANCTIONED_PROJECT_EVIDENCE | SCHEME_MASTER_CANDIDATE,SUPPORTING_PAGE,SUPPORTING,0.9400,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_APPLICATION_GUIDANCE,,0,,,,"How to Apply for Project Support The call for proposal under the schemes and programs of SEED division is primarily an annual call. The priorities and commitments of the advertised call are articulated in the Call for Proposals on DST’s website. The format and call guidelines detailing eligibility conditions, criteria for evaluation and evaluation procedure are part of call document. Applicants are required to submit a soft copy of the proposal through http://onlinedst.gov.in in the prescribed format.",NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:15+00:00
dst_gap_target_33d65148544def46d3c9,https://dst.gov.in/sanctioned-projects,https://dst.gov.in/sanctioned-projects,1,dst_page_33d65148544def46d3c9,Sanctioned Projects,SANCTIONED_PROJECT_EVIDENCE,0.9900,Sanctioned Projects,Sanctioned Projects,Programmes & Initiatives,1,7,https://dst.gov.in/about-schemes | https://dst.gov.in/archive | https://dst.gov.in/funding-mechanism | https://dst.gov.in/how-apply-project-support | https://dst.gov.in/programmes-innitiatives | https://dst.gov.in/sanctioned-projects,APPLICATION_GUIDANCE | PROGRAMME_CATEGORY_INDEX | PROGRAMME_MASTER_CANDIDATE | SANCTIONED_PROJECT_EVIDENCE | SCHEME_MASTER_CANDIDATE,SUPPORTING_PAGE,SUPPORTING,0.9900,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_SANCTIONED_PROJECT_EVIDENCE,,0,,,,Sanctioned Projects SANCTIONED PROJECTS (2011-2024) S&T for Women 2017-18 15.62 KB 2018-19 125.49 KB 2019-20 385.35 KB 2020-21 164.46 KB 2021-22 144.69 KB 2023-24 390.52 KB STAWS scheme TIASN and SYSP 2017-18 105.02 KB 2018-19 583.99 KB 2019-20 587.42 KB SCSP Scheme 2016-17 173.04 KB 2017-18 22.57 KB 2018-19 88.21 KB 2019-20 140.23 KB 2020-21 299.66 KB 2021-22 0 bytes 2022-23 400.08 KB 2023-24 436 KB TSP Scheme 2017-18 19.75 KB 2018-19 139.33 KB 2019-20 304.21 KB 2020-21 406.68 KB 2021-22 344.74 KB 2022-23 283.91 KB 2023-24 436.24 KB * STARD ---- SUNIL (Earlier TARA) **(core support) 2017-18 13.18 KB 2018-19 86.22 KB 2019-20 2020-21 14.74 KB 2021-22 180.89 KB 2023-24 493.48 KB 2024-25 369.54,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED,2026-07-10T10:56:15+00:00
