audit_id,audit_type,record_id,record_name,record_url,decision,confidence,reasons,identity_safeguard
dst_hotfix_gap_audit_298aea3d4d72dd7d7ae6,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_1a7c7bddbff0f8b47d13,Screen Reader Access,https://dst.gov.in/screen-reader-access,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_0d91491e8f231f260cdf,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_ac1f434f283f2718b15c,About DST,https://dst.gov.in/about_us,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_099e073bcfc59c78376a,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_df6835a8e00f27262daa,Introduction,https://dst.gov.in/introduction,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_186a8cdf390e314d5222,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_73b193fef42886720527,Mandate,https://dst.gov.in/about-us/mandate,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_3d4458ca4bdd60408556,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_a7ea364fa3923e1b26d6,Vision & Mission,https://dst.gov.in/vision-mission,CATEGORY_OR_INDEX_PAGE,0.9700,SOURCE_URL_INTERPRETED_AS_TARGET_URL | CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_920bb60255183f636785,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_85e50e6b92ce0ee43dbb,Former Secretaries,https://dst.gov.in/former-secretaries,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_97a500a7658b7fc73026,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_1c6ff5f83eb560f7c78e,Organization Structure,https://dst.gov.in/about-us/organization-structure,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_a5eb877954648fec3994,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_b5d0edc120270b96ab44,Administrative Setup,https://dst.gov.in/about-us-administrative-setup,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_8217f23461ca845a904b,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_7aa11e78b237c43780e3,Directory,https://dst.gov.in/about-us/email-directory,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
dst_hotfix_gap_audit_1343d0a7ad8e1a529488,CATEGORY_GAP_DIRECT_TARGET,dst_gap_target_7e6fe5414403b69ead91,Vigilance,https://dst.gov.in/vigilance-1,UNRESOLVED,0.3000,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,NO_CANONICAL_IDENTITY_CREATED_NO_IDENTITY_LOCKED
