lineage_id,normalized_target_url,target_url,source_page_url,source_page_title,source_page_role,anchor_text,role_hint,in_main_content,is_internal,enqueue_decision,source_title_matches_review_context
dst_gap_lineage_b6eaba17129c960a514e,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/long-term-core-support-technological-advancement-rural-areas-tara,Long Term Core Support - Technological Advancement for Rural Areas (TARA),PROGRAMME_CATEGORY_INDEX,Screen Reader Access,UNCLASSIFIED_SOURCE_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_a339ba8425d70b244b0b,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/ngcma,NGCMA Home,PROGRAMME_CATEGORY_INDEX,Screen Reader Access,SCHEME_PROGRAMME_SUPPORTING_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_dc7db9b8d0aa91503de3,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/programmes-innitiatives,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,Screen Reader Access,SCHEME_PROGRAMME_SUPPORTING_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_8b8fbc3c059e1f7482d3,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/schemes-programmes,Schemes/ Programmes,SCHEME_CATEGORY_INDEX,Screen Reader Access,SCHEME_PROGRAMME_SUPPORTING_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_ab23a86e0ee77bc57ef0,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/science-and-technology-training-cell,Science and Technology Training Cell,PROGRAMME_CATEGORY_INDEX,Screen Reader Access,UNCLASSIFIED_SOURCE_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_fc2f69b4bde2e6a5d3f8,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/technical-research-centres,Technical Research Centres,PROGRAMME_CATEGORY_INDEX,Screen Reader Access,UNCLASSIFIED_SOURCE_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_5534d92971c164a21408,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/vision-mission,Vision & Mission,PROGRAMME_CATEGORY_INDEX,Screen Reader Access,UNCLASSIFIED_SOURCE_PAGE,0,1,BLOCKED_PATH,1
dst_gap_lineage_d665b716d5c758d6029a,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/archive-call-for-proposals,Archive Call for Proposals,CALL_ARCHIVE_INDEX,Screen Reader Access,CALL_SUPPORTING_PAGE,0,1,BLOCKED_PATH,0
dst_gap_lineage_0b91e104a458b22ae174,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/archive-call-for-proposals?page=1,Archive Call for Proposals,CALL_ARCHIVE_INDEX,Screen Reader Access,CALL_SUPPORTING_PAGE,0,1,BLOCKED_PATH,0
dst_gap_lineage_2fdb25735abd61a79178,https://dst.gov.in/screen-reader-access,https://dst.gov.in/screen-reader-access,https://dst.gov.in/archive-call-for-proposals?page=10,Archive Call for Proposals,CALL_ARCHIVE_INDEX,Screen Reader Access,CALL_SUPPORTING_PAGE,0,1,BLOCKED_PATH,0
