provisional_entity_id,department_code,department_name,proposed_canonical_name,proposed_entity_type,proposed_subtype,official_abbreviation_candidate,primary_source_page_id,primary_source_page_role,primary_source_page_title,official_source_url,identity_confidence,master_evidence_score,identity_evidence,possible_parent_name_text,category_context_count,linked_document_count,guideline_document_count,office_memorandum_count,sanction_order_count,review_flags,requires_admin_review,curation_status,identity_state,created_at,original_proposed_entity_type,quality_decision,quality_final_entity_type,quality_confidence,quality_source_page_match,quality_source_page_role,quality_source_page_title,quality_master_evidence_category_count,quality_master_evidence_categories,quality_reasons,quality_review_flags,quality_requires_admin_review,identity_safeguard,quality_audited_at
dst_provisional_programme_f4566621d18103f851d4,DST,Department of Science and Technology,"Research, Development, and Innovation (RDI) Cell",PROGRAMME,UMBRELLA_PROGRAMME,,dst_page_c76df8b1068cc0ebcea4,PROGRAMME_MASTER_CANDIDATE,"Research, Development, and Innovation (RDI) Cell",https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,0.5740,42.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_3 | CATEGORY_INDEX_REFERENCES_8 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFITS | PAGE_EVIDENCE_BENEFICIARIES,,8,0,0,0,0,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,"Research, Development, and Innovation (RDI) Cell",3,"{""application"": 0, ""authority"": 0, ""beneficiary"": 1, ""benefit"": 1, ""duration"": 0, ""eligibility"": 0, ""objective"": 4, ""scope"": 0}",MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_BENEFIT | MASTER_EVIDENCE_BENEFICIARY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | SCHEME_TERMS:scheme | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.545 | PROGRAMME_SCORE=0.955 | MASTER_EVIDENCE_CATEGORIES=3,,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_926695ed741ca40b92a3,DST,Department of Science and Technology,Institutional Capacity Building Programmes,PROGRAMME,STANDARD_PROGRAMME,,dst_page_d621c5092f9508a0ab92,PROGRAMME_MASTER_CANDIDATE,Institutional Capacity Building Programmes,https://dst.gov.in/institutional-capacity-building-programmes,0.7577,56.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_4 | CATEGORY_INDEX_REFERENCES_8 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_ELIGIBILITY | PAGE_EVIDENCE_BENEFICIARIES | PAGE_EVIDENCE_SCOPE,,8,0,0,0,0,BODY_FALLBACK_TEXT_USED | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,Institutional Capacity Building Programmes,5,"{""application"": 0, ""authority"": 1, ""beneficiary"": 1, ""benefit"": 0, ""duration"": 0, ""eligibility"": 1, ""objective"": 4, ""scope"": 1}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_ELIGIBILITY | MASTER_EVIDENCE_SCOPE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program,capacity building | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.565 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=5",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_27d0a619a0aefe1ab6e1,DST,Department of Science and Technology,State Science & Technology Programme,PROGRAMME,STANDARD_PROGRAMME,,dst_page_fe86d41bc1eb464a77b3,PROGRAMME_MASTER_CANDIDATE,State Science & Technology Programme,https://dst.gov.in/state-science-technology-programme-0,0.6540,42.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_3 | LINKED_DOCUMENTS_6 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFITS | PAGE_EVIDENCE_BENEFICIARIES,"post-Geographical Indication (GI) activities, facilitated the introduction of QR codes",0,6,0,0,1,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,State Science & Technology Programme,3,"{""application"": 0, ""authority"": 0, ""beneficiary"": 1, ""benefit"": 1, ""duration"": 0, ""eligibility"": 0, ""objective"": 2, ""scope"": 0}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_BENEFIT | MASTER_EVIDENCE_BENEFICIARY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.435 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=3",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_757f88f60b8efa8b8414,DST,Department of Science and Technology,National Mission on Interdisciplinary Cyber Physical Systems,PROGRAMME,UMBRELLA_PROGRAMME,NM-ICPS,dst_page_9acd1028ce1d777eb723,PROGRAMME_MASTER_CANDIDATE,National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS),https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,0.4313,28.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_2 | LINKED_DOCUMENTS_1 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFICIARIES,,0,1,0,0,0,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS),2,"{""application"": 0, ""authority"": 0, ""beneficiary"": 2, ""benefit"": 0, ""duration"": 0, ""eligibility"": 0, ""objective"": 2, ""scope"": 0}",MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_BENEFICIARY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:mission | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.370 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=2,,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_b18094ae0e1853419e1e,DST,Department of Science and Technology,National Quantum Mission,PROGRAMME,UMBRELLA_PROGRAMME,NQM,dst_page_75a228ee94f401de7363,PROGRAMME_MASTER_CANDIDATE,National Quantum Mission (NQM),https://dst.gov.in/national-quantum-mission-nqm,0.4563,28.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_2 | OFFICIAL_GUIDELINE_DOCUMENTS_1 | LINKED_DOCUMENTS_4 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFICIARIES,"NQM ""152 researchers from 43 Institutions (Lead & Member) across 17 states and 2 UTs involved in the 14 TGs"" Startup support under NQM The NQM has actively engaged",0,4,1,0,0,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,National Quantum Mission (NQM),2,"{""application"": 0, ""authority"": 0, ""beneficiary"": 2, ""benefit"": 0, ""duration"": 0, ""eligibility"": 0, ""objective"": 2, ""scope"": 0}",MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_BENEFICIARY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:mission | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.370 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=2,,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_39351dda05a42fea7a0a,DST,Department of Science and Technology,National Supercomputing Mission,PROGRAMME,UMBRELLA_PROGRAMME,NSM,dst_page_b51bfeb94e6ea5a9cfee,PROGRAMME_MASTER_CANDIDATE,National Supercomputing Mission,https://dst.gov.in/national-supercomputing-mission-1,0.4313,28.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_2 | LINKED_DOCUMENTS_1 | PAGE_EVIDENCE_BENEFICIARIES | PAGE_EVIDENCE_SCOPE,,0,1,0,0,0,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,National Supercomputing Mission,3,"{""application"": 0, ""authority"": 2, ""beneficiary"": 2, ""benefit"": 0, ""duration"": 0, ""eligibility"": 0, ""objective"": 0, ""scope"": 1}",MASTER_EVIDENCE_SCOPE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:mission | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.435 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=3,,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_bb44212fb133345884e8,DST,Department of Science and Technology,Climate Change Programme,PROGRAMME,UMBRELLA_PROGRAMME,,dst_page_f32789f7f84f116d20e8,PROGRAMME_MASTER_CANDIDATE,Climate Change Programme,https://dst.gov.in/climate-change-programme,0.7100,70.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_3 | LINKED_DOCUMENTS_22 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFICIARIES | PAGE_EVIDENCE_SCOPE,,0,22,0,0,2,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,Climate Change Programme,5,"{""application"": 0, ""authority"": 1, ""beneficiary"": 4, ""benefit"": 0, ""duration"": 1, ""eligibility"": 0, ""objective"": 3, ""scope"": 1}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_SCOPE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_DURATION | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.565 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=5",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_6af5f3423a81e65452dd,DST,Department of Science and Technology,National Council for Science & Technology Communication NCSTC,PROGRAMME,UMBRELLA_PROGRAMME,,dst_page_9bc31ee5014c7eacf746,PROGRAMME_MASTER_CANDIDATE,National Council for Science & Technology Communication NCSTC,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-council-science-technology-communication-ncstc,0.7200,70.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_4 | OFFICIAL_GUIDELINE_DOCUMENTS_4 | LINKED_DOCUMENTS_18 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_ELIGIBILITY | PAGE_EVIDENCE_BENEFICIARIES | PAGE_EVIDENCE_SCOPE,,0,18,4,0,4,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,National Council for Science & Technology Communication NCSTC,6,"{""application"": 0, ""authority"": 2, ""beneficiary"": 3, ""benefit"": 0, ""duration"": 1, ""eligibility"": 1, ""objective"": 4, ""scope"": 1}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_ELIGIBILITY | MASTER_EVIDENCE_SCOPE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_DURATION | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.630 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=6",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_1cd751938dcbec59ba62,DST,Department of Science and Technology,National Science & Technology Entrepreneurship Development Board,PROGRAMME,UMBRELLA_PROGRAMME,NSTEDB,dst_page_d958d4082ac9be0dd0bb,PROGRAMME_MASTER_CANDIDATE,National Science & Technology Entrepreneurship Development Board,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,0.4010,28.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_2 | OFFICIAL_GUIDELINE_DOCUMENTS_1 | LINKED_DOCUMENTS_10 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_BENEFICIARIES,,0,10,1,0,0,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,National Science & Technology Entrepreneurship Development Board,3,"{""application"": 0, ""authority"": 1, ""beneficiary"": 1, ""benefit"": 0, ""duration"": 0, ""eligibility"": 0, ""objective"": 3, ""scope"": 0}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.435 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=3",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
dst_provisional_programme_835e25ff9d2274f39c92,DST,Department of Science and Technology,Technology Mission Programme on Water and Clean Energy,PROGRAMME,UMBRELLA_PROGRAMME,,dst_page_85f89362f63aa7d1db3d,PROGRAMME_MASTER_CANDIDATE,Technology Mission Programme on Water and Clean Energy,https://dst.gov.in/technology-mission-programme-water-and-clean-energy,0.7550,70.000,CLASSIFIER_ROLE_PROGRAMME_MASTER_CANDIDATE | MASTER_EVIDENCE_GROUPS_5 | PAGE_EVIDENCE_OBJECTIVE | PAGE_EVIDENCE_ELIGIBILITY | PAGE_EVIDENCE_BENEFITS | PAGE_EVIDENCE_BENEFICIARIES | PAGE_EVIDENCE_SCOPE,,0,0,0,0,0,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,1,QUALITY_AUDITED_REQUIRES_V3_4_0_4,PROVISIONAL_NOT_LOCKED,2026-07-10T10:12:30+00:00,PROGRAMME,KEEP_AS_PROVISIONAL_PROGRAMME,PROGRAMME,1.0000,1,PROGRAMME_MASTER_CANDIDATE,Technology Mission Programme on Water and Clean Energy,6,"{""application"": 0, ""authority"": 1, ""beneficiary"": 3, ""benefit"": 1, ""duration"": 0, ""eligibility"": 1, ""objective"": 2, ""scope"": 1}","MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_ELIGIBILITY | MASTER_EVIDENCE_BENEFIT | MASTER_EVIDENCE_SCOPE | MASTER_EVIDENCE_BENEFICIARY | MASTER_EVIDENCE_AUTHORITY | CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program,mission,technology mission | QUALITY_SCORE=1.000 | SCHEME_SCORE=0.630 | PROGRAMME_SCORE=1.000 | MASTER_EVIDENCE_CATEGORIES=6",,0,QUALITY_AUDITED_NO_CANONICAL_IDENTITY_CREATED_NO_LOCK,2026-07-10T10:56:15+00:00
