review_id,review_type,provisional_entity_id,proposed_name,proposed_entity_type,confidence,review_flags,evidence,source_url,recommended_action
dst_entity_quality_review_a544751452269bbab249,PROVISIONAL_ENTITY_QUALITY,dst_provisional_scheme_b193497f2e1ba1cd5f66,Fellowship Opportunities for Researchers,SCHEME,0.7302,POSSIBLE_OPPORTUNITY_INDEX_NOT_STANDALONE_SCHEME,MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_ELIGIBILITY | MASTER_EVIDENCE_BENEFIT | MASTER_EVIDENCE_BENEFICIARY | AMBIGUOUS_OPPORTUNITY_INDEX_NAME,https://dst.gov.in/fellowship-opportunities-researchers,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK
dst_entity_quality_review_d2a92bb2bcbc9aadd7fc,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_42fc5916ea5eed40e7da,S&T Capacity Building Programmes,PROGRAMME,0.5043,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program,capacity building | QUALITY_SCORE=0.504 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.900 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/human-capacity-building-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK
dst_entity_quality_review_f4eb85f4184eb8818c4d,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_749ad5f399c75fb7561d,Research & Development Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/research-development-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK
dst_entity_quality_review_72c37ab8740e817c10ba,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_d42b04096b03a1dc6584,Innovation and Technology Development Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/innovation-and-technology-development-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK
dst_entity_quality_review_ddeac668951e98dcb965,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_9809fb5b19ade3c50b4b,Science for Society Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/science-society-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK
dst_gap_final_review_7b6b8f52b2f0f0dbeed2,GAP_UNRESOLVED_OFFLINE,,National Missions,UNRESOLVED,0.4500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,https://dst.gov.in/national-missions,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_dec3f2ec19adcbecacc3,GAP_UNRESOLVED_OFFLINE,,International Cooperation & Mega Science,UNRESOLVED,0.4500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,https://dst.gov.in/international-cooperation-mega-science,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_8362d050b98a398e6e70,GAP_UNRESOLVED_OFFLINE,,"S&T Data, Policy and Training",UNRESOLVED,0.4500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,https://dst.gov.in/st-data-policy-and-training,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_e90979938622e157e4e9,GAP_UNRESOLVED_OFFLINE,,"Science, Technology & Innovation Policy 2013",UNRESOLVED,0.4500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_df0381ec6125fa430d7d,GAP_UNRESOLVED_OFFLINE,,Filling up the 01 post of Estate Officer in the Department of Science & Tech...,UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
