audit_id,audit_type,record_url,record_name,decision,confidence,reasons,selective_crawl_required,record_id
dst_gap_resolution_audit_1a7c7bddbff0f8b47d13,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/screen-reader-access,Screen Reader Access,ACCESSIBILITY_LINK,0.9700,KNOWN_NAVIGATION_NAME,0,
dst_gap_resolution_audit_ac1f434f283f2718b15c,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/about_us,About DST,GLOBAL_NAVIGATION,0.9700,KNOWN_NAVIGATION_NAME,0,
dst_gap_resolution_audit_df6835a8e00f27262daa,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/introduction,Introduction,GLOBAL_NAVIGATION,0.9700,KNOWN_NAVIGATION_NAME,0,
dst_gap_resolution_audit_73b193fef42886720527,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/about-us/mandate,Mandate,GLOBAL_NAVIGATION,0.9700,KNOWN_NAVIGATION_NAME,0,
dst_gap_resolution_audit_a7ea364fa3923e1b26d6,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/vision-mission,Vision & Mission,CATEGORY_OR_INDEX_PAGE,0.9600,DIRECT_CLASSIFIED_PAGE_ROLE:PROGRAMME_CATEGORY_INDEX,0,
dst_gap_resolution_audit_85e50e6b92ce0ee43dbb,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/former-secretaries,Former Secretaries,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_1c6ff5f83eb560f7c78e,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/about-us/organization-structure,Organization Structure,GLOBAL_NAVIGATION,0.9300,NAVIGATION_URL_PATTERN,0,
dst_gap_resolution_audit_b5d0edc120270b96ab44,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/about-us-administrative-setup,Administrative Setup,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_7aa11e78b237c43780e3,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/about-us/email-directory,Directory,GLOBAL_NAVIGATION,0.9300,NAVIGATION_URL_PATTERN,0,
dst_gap_resolution_audit_7e6fe5414403b69ead91,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/vigilance-1,Vigilance,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_169653a938ef4e76aea1,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/meet-minister,Meet the Minister,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_7b6b8f52b2f0f0dbeed2,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/national-missions,National Missions,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,0,
dst_gap_resolution_audit_dec3f2ec19adcbecacc3,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/international-cooperation-mega-science,International Cooperation & Mega Science,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,0,
dst_gap_resolution_audit_8362d050b98a398e6e70,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/st-data-policy-and-training,"S&T Data, Policy and Training",UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,0,
dst_gap_resolution_audit_b532de15ce003731615b,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/ngcma,NGCMA Home,CATEGORY_OR_INDEX_PAGE,0.9600,DIRECT_CLASSIFIED_PAGE_ROLE:PROGRAMME_CATEGORY_INDEX,0,
dst_gap_resolution_audit_e90979938622e157e4e9,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,"Science, Technology & Innovation Policy 2013",UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,0,
dst_gap_resolution_audit_3f65859af557a9e4565a,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/national-data-sharing-and-accessibility-policy-0,National Data Sharing and Accessibility Policy,ACCESSIBILITY_LINK,0.9600,ACCESSIBILITY_TERM,0,
dst_gap_resolution_audit_f7e0fcfc0157f2f226b1,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/ethical-guidelines,Ethical Guidelines,SUPPORTING_INFORMATION,0.9400,DIRECT_CLASSIFIED_PAGE_ROLE:GUIDELINE_PAGE,0,
dst_gap_resolution_audit_1a0414e239fee6d29b29,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/geospatial-policy,Geospatial Policy,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_865b47c3b3c82d5b9af9,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/st-ecosystem-india,S&T Ecosystem,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_08d5fa0d13c266d644ec,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/acts-orders,Acts & Orders,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_60ff522c769e949cb3ef,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/administration-finance,Administration & Finance,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_f296903c2ea334fe7b01,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance-0,Recruitment Cell,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_498a1359fd6b28133c35,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/integrated-finance,Integrated Finance,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_cb05f8598cb046865d81,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/office-chief-controller-accounts,"O/o Chief Controller of Accounts, MST",GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_5f3beadc655987d7b62b,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/welfare-cell,Welfare Cell,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_64b0d17dd08357ead1b5,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/internal-complaints-committee-icc-women,Internal Complaints Committee(ICC) - Women,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_84ab411978e6f5a6d506,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/science-and-technology-training-cell,Science and Technology Training Cell,CATEGORY_OR_INDEX_PAGE,0.9600,DIRECT_CLASSIFIED_PAGE_ROLE:PROGRAMME_CATEGORY_INDEX,0,
dst_gap_resolution_audit_12eec6a081fd197615ad,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/library,Library,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_8277235532af8c79e3f9,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance,Parliament Unit,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_4efec83f4bfe942f4904,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/pension-cell,Pension Cell,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
dst_gap_resolution_audit_e6dfbb42a48a872b1003,OFFLINE_NAVIGATION_AWARE_FILTER,https://dst.gov.in/administrationfinance/promotion-official-language,Promotion of Official Language,GLOBAL_NAVIGATION,0.9100,REPEATED_OUTSIDE_MAIN_CONTENT,0,
