"gap_resolution_id","target_url","normalized_target_url","proposed_name","prior_gap_classification","final_gap_classification","classification_confidence","classification_reasons","link_occurrences","unique_source_pages","main_content_occurrences","main_content_ratio","max_relevance_score","average_relevance_score","enqueue_decisions","anchor_texts","source_page_roles","source_page_urls","direct_target_match","selective_crawl_required","identity_safeguard"
"dst_gap_resolution_7b6b8f52b2f0f0dbeed2","https://dst.gov.in/national-missions","https://dst.gov.in/national-missions","National Missions","UNRESOLVED","UNRESOLVED","0.4500","DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN","417","416","0","0.000000","75.00","56.73","LOW_RELEVANCE;RELEVANT","National Missions","APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN","https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects","1","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_e90979938622e157e4e9","https://dst.gov.in/st-system-india/science-and-technology-policy-2013","https://dst.gov.in/st-system-india/science-and-technology-policy-2013","Science, Technology & Innovation Policy 2013","ACCESSIBILITY_OR_NAVIGATION_PAGE","UNRESOLVED","0.4500","DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN","833","416","0","0.000000","75.00","56.68","LOW_RELEVANCE;RELEVANT","Policies/ Acts | Science, Technology & Innovation Policy 2013","APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN","https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects","1","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_837fe6b1e8bb31b5c161","https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines","https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines","ARCI develops technology to improve fuel efficiency of internal...","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","ARCI develops technology to improve fuel efficiency of internal...","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_609cfaa9ac3736445c4a","https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti","https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti","India Science, Technology and Innovation Portal (ISTI)","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","India Science, Technology and Innovation Portal (ISTI)","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_43caec1c8750e7caee28","https://dst.gov.in/anusandhan-national-research-foundation-anrf","https://dst.gov.in/anusandhan-national-research-foundation-anrf","Anusandhan National Research Foundation (ANRF)","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","Anusandhan National Research Foundation (ANRF)","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_46f1e12772bbedeaa70c","https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025","https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025","Detailed Demands For Grants 2024-2025","UNRESOLVED","UNRESOLVED","0.6800","RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","Detailed Demands For Grants 2024-2025","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_e5e71a99741a4f0d2cb5","https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19","https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19","TDB invites technology proposals for fighting COVID 19","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","TDB invites technology proposals for fighting COVID 19","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_6e1ab09771ba41b218f8","https://dst.gov.in/document","https://dst.gov.in/document","Detailed Demands for Grants 2026-27","UNRESOLVED","UNRESOLVED","0.6800","RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","Detailed Demands for Grants 2026-27","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_5923d0f2f780abe4e37d","https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences","https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences","Achievements of Ministry of Science & Technology And Earth Science...","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","Achievements of Ministry of Science & Technology And Earth Science...","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_df0381ec6125fa430d7d","https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term","https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term","Filling up the 01 post of Estate Officer in the Department of Science & Tech...","UNRESOLVED","UNRESOLVED","0.5300","RELEVANCE_SCORE_PASSED","1","1","0","0.000000","55.00","55.00","LOW_RELEVANCE","Filling up the 01 post of Estate Officer in the Department of Science & Tech...","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_f5ba87f5b60af220cc64","https://dst.gov.in/highlights-achievements","https://dst.gov.in/highlights-achievements","Highlights & Achievements","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","6","6","0","0.000000","20.00","13.33","LOW_RELEVANCE","Highlights & Achievements","APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE","https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_fb3528676ee9148e9e4a","https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-detect-plant-diseases-take-st-aided-1","https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-detect-plant-diseases-take-st-aided-1","https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-...","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","1","1","0","0.000000","20.00","20.00","LOW_RELEVANCE","https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-...","PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/programmes-innitiatives","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_d744bd1399abbca6fbaf","https://dst.gov.in/brief-history","https://dst.gov.in/brief-history","Brief-history","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","6","6","0","0.000000","20.00","13.33","LOW_RELEVANCE","Brief-history","APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE","https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_45a6a999d4b3ceda9f8b","https://dst.gov.in/objectives-mandate","https://dst.gov.in/objectives-mandate","Objectives","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","6","6","0","0.000000","20.00","13.33","LOW_RELEVANCE","Objectives","APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE","https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_7128a088d0b6cd5f1aea","https://dst.gov.in/seed-home","https://dst.gov.in/seed-home","SEED","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","13","7","0","0.000000","20.00","13.85","LOW_RELEVANCE","SEED | Science For Equity Empowerment and Development (SEED) | Seed Home","APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE","https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects;https://dst.gov.in/science-society-programmes","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_3786d113b796fd07db37","https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people","https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people","https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","1","1","0","0.000000","20.00","20.00","LOW_RELEVANCE","https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people","PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/programmes-innitiatives","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_82e1b2b944435fc00379","https://dst.gov.in/oecd-principles-glp","https://dst.gov.in/oecd-principles-glp","OECD Principles of GLP","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","2","2","0","0.000000","20.00","10.00","LOW_RELEVANCE","OECD Principles of GLP","GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_f33e4fa07003daa6bc24","https://dst.gov.in/success-stories-dst","https://dst.gov.in/success-stories-dst","https://dst.gov.in/success-stories-dst","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","1","1","0","0.000000","20.00","20.00","LOW_RELEVANCE","https://dst.gov.in/success-stories-dst","PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/programmes-innitiatives","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_5c2c605667c9be478543","https://dst.gov.in/about-ngcma","https://dst.gov.in/about-ngcma","About NGCMA","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","2","2","0","0.000000","20.00","10.00","LOW_RELEVANCE","About NGCMA","GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
