audit_id,audit_type,record_url,record_name,decision,classification,score,reasons,created_at
dst_calibration_audit_7b6b8f52b2f0f0dbeed2,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/national-missions,National Missions,OFFLINE_CLOSE,CATEGORY_OR_INDEX_PAGE,55,KNOWN_DST_CATEGORY_URL,2026-07-10T11:48:28+00:00
dst_calibration_audit_dec3f2ec19adcbecacc3,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/international-cooperation-mega-science,International Cooperation & Mega Science,OFFLINE_CLOSE,CATEGORY_OR_INDEX_PAGE,48,KNOWN_DST_CATEGORY_URL,2026-07-10T11:48:28+00:00
dst_calibration_audit_8362d050b98a398e6e70,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/st-data-policy-and-training,"S&T Data, Policy and Training",OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,33,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_e90979938622e157e4e9,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,"Science, Technology & Innovation Policy 2013",OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,55,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_df0381ec6125fa430d7d,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term,Filling up the 01 post of Estate Officer in the Department of Science & Tech...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,50,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_a2a59f0ffa10d271b191,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department,OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_3decb2ddf225699f05cb,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/news/filling-one-post-senior-adviser-dst-deputation-istc-basis-failing-which-direct-recruitment,Filling up the one post of Senior Adviser in DST on deputation (ISTC) basis fail...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_8751dffe2f03ba492e10,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/news/%2A,View All,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_83c0a08edefc2b14e86a,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/document/reports/quantum-safe-ecosystem-india,Quantum-Safe Ecosystem in India,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,20,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_6e1ab09771ba41b218f8,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/document,Detailed Demands for Grants 2026-27,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,35,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_becf364419632aaca1ef,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/reports/vision-document-ESTIC-2025,Vision Document ESTIC 2025,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,20,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_dc4f06e9ccd29d5aaa8e,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/reports/coffee-table-book-ESTIC-2025,Coffee Table Book ESTIC 2025,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,20,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
