audit_id,upstream_provisional_entity_id,original_name,canonical_name,entity_type,official_source_url,override_action,override_applied,audit_at,outcome,master_id
dst_lock_audit_6b9a7c4f099ad1924685,dst_provisional_scheme_ba3faa8153c1c06bdffc,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,SCHEME,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_scheme_8bac813a86732c602cc2
dst_lock_audit_67e58bbebffa91b5f70f,dst_provisional_scheme_fd02e119bc642328c94f,INSPIRE Scheme,INSPIRE Scheme,SCHEME,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_scheme_254c1bd0dcdfaea90960
dst_lock_audit_72316281104d6bf3f7c8,dst_provisional_scheme_10827dc007fc6d5e687f,Mega Facilities for Basic Research Scheme,Mega Facilities for Basic Research Scheme,SCHEME,https://dst.gov.in/mega-facilities-basic-research-scheme,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_scheme_1c3d6d43999e119ecaf2
dst_lock_audit_6c86faf9df7ba9ea2c6f,dst_provisional_programme_f4566621d18103f851d4,"Research, Development, and Innovation (RDI) Cell","Research, Development, and Innovation (RDI) Cell",PROGRAMME,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_469dfdc28c70442ab5c3
dst_lock_audit_24598afdb213d504b6c3,dst_provisional_programme_926695ed741ca40b92a3,Institutional Capacity Building Programmes,Institutional Capacity Building Programmes,PROGRAMME,https://dst.gov.in/institutional-capacity-building-programmes,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_559681b7042d5d872a20
dst_lock_audit_624717118c6901708e64,dst_provisional_programme_27d0a619a0aefe1ab6e1,State Science & Technology Programme,State Science & Technology Programme,PROGRAMME,https://dst.gov.in/state-science-technology-programme-0,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_3452c16f1f4078134051
dst_lock_audit_012b30e1fa040aff1d53,dst_provisional_programme_757f88f60b8efa8b8414,National Mission on Interdisciplinary Cyber Physical Systems,National Mission on Interdisciplinary Cyber Physical Systems,PROGRAMME,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_b690fc69ae2a2d823756
dst_lock_audit_4f950f65bd9fa3b4530e,dst_provisional_programme_b18094ae0e1853419e1e,National Quantum Mission,National Quantum Mission,PROGRAMME,https://dst.gov.in/national-quantum-mission-nqm,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_434e320048081d2c91d8
dst_lock_audit_42aa5c3d7e51dbe9bf65,dst_provisional_programme_39351dda05a42fea7a0a,National Supercomputing Mission,National Supercomputing Mission,PROGRAMME,https://dst.gov.in/national-supercomputing-mission-1,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_845b166f05bf768bcc69
dst_lock_audit_db576ed2ab79e8fc81a9,dst_provisional_programme_bb44212fb133345884e8,Climate Change Programme,Climate Change Programme,PROGRAMME,https://dst.gov.in/climate-change-programme,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_eb414b730cb00d5d1dd9
dst_lock_audit_68f3568c95a3a7c1317a,dst_provisional_programme_6af5f3423a81e65452dd,National Council for Science & Technology Communication NCSTC,National Council for Science & Technology Communication NCSTC,PROGRAMME,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-council-science-technology-communication-ncstc,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_85050962e6ea9b9c52be
dst_lock_audit_00105453e7805a63b405,dst_provisional_programme_1cd751938dcbec59ba62,National Science & Technology Entrepreneurship Development Board,National Science & Technology Entrepreneurship Development Board,PROGRAMME,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_fd5ddc89e4e40e2853e2
dst_lock_audit_6b9c5f6e4be6fe2bf2b3,dst_provisional_programme_835e25ff9d2274f39c92,Technology Mission Programme on Water and Clean Energy,Technology Mission Programme on Water and Clean Energy,PROGRAMME,https://dst.gov.in/technology-mission-programme-water-and-clean-energy,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_352ef289294a6dec8c89
dst_lock_audit_daa47176344f14a12174,dst_provisional_programme_a5dad6324fc5938214dc,Technology Development and Transfer,Technology Development and Transfer,PROGRAMME,https://dst.gov.in/technology-development-and-transfer,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_1956ba3cf06f4b89512d
dst_lock_audit_1ca2d090999adbf13df7,dst_provisional_programme_949c456fc2168a4e5db0,Science and Heritage Research Initiative (SHRI) Cell,Science and Heritage Research Initiative (SHRI) Cell,PROGRAMME,https://dst.gov.in/science-and-heritage-research-initiative-shri-cell,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_fb332e7ab29f31178d4f
dst_lock_audit_c365ba30ee0317c3a7e3,dst_provisional_programme_db90b2cfe99e88b0ee4c,National Geospatial Programme (erstwhile NRDMS),National Geospatial Programme (erstwhile NRDMS),PROGRAMME,https://dst.gov.in/national-geospatial-programme-erstwhile-nrdms,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_8f106c6fdd32822c9c7e
dst_lock_audit_da254e02f9afd39f61b3,dst_provisional_programme_c7681b03264f485ab9a9,Promotion of University Research and Scientific Excellence,Promotion of University Research and Scientific Excellence,PROGRAMME,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_84b6b59a2ba5338c5e92
dst_lock_audit_d6b237552b537979fcf9,dst_provisional_programme_ec419cff16ecb3cd65e7,Sophisticated Analytical Instrument Facilities,Sophisticated Analytical Instrument Facilities,PROGRAMME,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_b2115f0d42d44315493a
dst_lock_audit_0e69090763e94c2950c8,dst_provisional_programme_2cb7fbf01a6e1098d011,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,PROGRAMME,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_9c8f082864566558e4ff
dst_lock_audit_d1bcb40be7b8efc0ae84,dst_provisional_programme_ffc17b125133e17c7e1a,Support for Up-gradation Preventive Repair & Maintenance of Equipment,Support for Up-gradation Preventive Repair & Maintenance of Equipment,PROGRAMME,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_6108a336121d3ad5c780
dst_lock_audit_0bc430b2822279d06d5e,dst_provisional_programme_d0be2609d7edece61837,Women in Science and Engineering-KIRAN,Women in Science and Engineering-KIRAN,PROGRAMME,https://dst.gov.in/scientific-programmes/wise-kiran,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_3d2b842cedbcdf64ff77
dst_lock_audit_26e09768f64fbbb7364d,dst_provisional_programme_7d0564f8246d029b3cbd,National Science & Technology Management Information System,National Science & Technology Management Information System,PROGRAMME,https://dst.gov.in/scientific-programmes/scientific-engineering-research/national-science-technology-management-information-system-nstmis,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_93151f7f4280bc288577
dst_lock_audit_56177b90838bb3385d4c,dst_provisional_programme_629f69d1c1a7a7ea1ad8,Policy Research Cell,Policy Research Cell,PROGRAMME,https://dst.gov.in/policy-research-cell,LOCK,False,2026-07-10T11:55:26+00:00,IDENTITY_LOCKED,dst_programme_3972ee5052b4782c8810
