master_id,scheme_name,entity_type,record_kind,source,ministry,department,programme_status,application_status,public_status,official_page_url,application_url,guideline_url,objective,eligibility,benefits,funding_summary,application_process,required_documents,contact_information,official_abbreviation,information_completeness,verification_status,last_verified_date,identity_lock_version
dst_scheme_8bac813a86732c602cc2,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,SCHEME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,,,,,,,,,,FIST,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_scheme_254c1bd0dcdfaea90960,INSPIRE Scheme,SCHEME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_scheme_1c3d6d43999e119ecaf2,Mega Facilities for Basic Research Scheme,SCHEME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/mega-facilities-basic-research-scheme,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_469dfdc28c70442ab5c3,"Research, Development, and Innovation (RDI) Cell",PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_559681b7042d5d872a20,Institutional Capacity Building Programmes,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/institutional-capacity-building-programmes,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_3452c16f1f4078134051,State Science & Technology Programme,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/state-science-technology-programme-0,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_b690fc69ae2a2d823756,National Mission on Interdisciplinary Cyber Physical Systems,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,,,,,,,,,,NM-ICPS,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_434e320048081d2c91d8,National Quantum Mission,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/national-quantum-mission-nqm,,,,,,,,,,NQM,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_845b166f05bf768bcc69,National Supercomputing Mission,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/national-supercomputing-mission-1,,,,,,,,,,NSM,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_eb414b730cb00d5d1dd9,Climate Change Programme,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/climate-change-programme,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
