master_id,scheme_name,source,ministry,department,implementing_agency,normalized_record_kind,record_kind,programme_status,application_status,status_evidence,sector,scheme_type,target_beneficiaries,startup_stage,catalogue_inclusion,catalogue_section,current_decision,official_page_url,application_url,guideline_urls,opening_date,closing_date,funding_minimum,funding_maximum,currency,eligibility,benefits,application_process,required_documents,contact_details,last_verified_date,field_evidence,quarantine_reason,quarantined_at
dst_scheme_8bac813a86732c602cc2,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Scheme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_scheme_254c1bd0dcdfaea90960,INSPIRE Scheme,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Scheme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_scheme_1c3d6d43999e119ecaf2,Mega Facilities for Basic Research Scheme,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Scheme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/mega-facilities-basic-research-scheme,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_469dfdc28c70442ab5c3,"Research, Development, and Innovation (RDI) Cell",DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_559681b7042d5d872a20,Institutional Capacity Building Programmes,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/institutional-capacity-building-programmes,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_3452c16f1f4078134051,State Science & Technology Programme,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/state-science-technology-programme-0,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_b690fc69ae2a2d823756,National Mission on Interdisciplinary Cyber Physical Systems,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_434e320048081d2c91d8,National Quantum Mission,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/national-quantum-mission-nqm,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_845b166f05bf768bcc69,National Supercomputing Mission,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/national-supercomputing-mission-1,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
dst_programme_eb414b730cb00d5d1dd9,Climate Change Programme,DST,Ministry of Science and Technology,Department of Science and Technology,Department of Science and Technology,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Canonical identity locked from official DST source in SSIP v3.4.0.4; active calls are tracked separately.,Science & Technology,Programme,,,INCLUDED,REFERENCE_SCHEMES,APPROVED_FOR_DATABASE,https://dst.gov.in/climate-change-programme,,,,,,,INR,,,,,,2026-07-10,"{""identity_lock_version"":""3.4.0.4"",""public_status"":""Scheme information available"",""verification_status"":""IDENTITY_VERIFIED_ATTRIBUTES_PENDING""}",Removed from Startup Scheme Explorer because department ownership alone does not establish startup/innovator eligibility and access route.,2026-07-10T13:38:34+00:00
