page_id,url,final_url,title,depth,http_status,content_type,word_count,classification,startup_relevance_score,classification_reasons,opening_date,closing_date,text_excerpt,fetched_at,error
dstpage_e76e6d65fa6e1b2bac3b,https://dst.gov.in/call-for-proposals,https://dst.gov.in/call-for-proposals,Call for Proposals | Department Of Science & Technology,,200,text/html; charset=utf-8,82,CALL_REVIEW_REQUIRED,45,CALL_TITLE | BENEFICIARY=0 | ACCESS=1,,,"Home >> What's New >> Call for Proposals >> Announcement Awards/Prize/Result Call For Proposals E Newsletter International Cooperation Calls/Announcements/Results Monthly Achievements COVID 19- OMs and Guidelines S&T Articles Tender Call for Proposals Title Attachment Start Date End Date DST- JSPS call for proposal 2026 under the Indo-Japan Cooperative Science Programme (IJCSP) 15/06/2026 03/09/2026 India-Finland Joint Innovation Call 2026 01/04/2026 28/08/2026 Call for Proposals on ""Building U.S.-India Partnerships to Drive Innovation in Critical Minerals and Quantum Technology 30/06/2026 31/07/2026 Archive Call For Proposals",2026-07-10T13:38:36+00:00,
dstpage_5d4becd4ade9490f9824,https://dst.gov.in/archive-call-for-proposals,https://dst.gov.in/archive-call-for-proposals,Archive Call for Proposals | Department Of Science & Technology,,200,text/html; charset=utf-8,360,CALL_REVIEW_REQUIRED,60,CALL_TITLE | BENEFICIARY=0 | ACCESS=3,,,"Home >> Archive Call for Proposals >> Archive Call for Proposals Title Attachment Start Date End Date Call for proposals for DST- Intel Joint Programme on Collaborative Research on River water and Air Quality Monitoring 21/12/2016 10/03/2017 Bhaskara Advanced Solar Energy Fellowship Program Download (1.92 MB) 19/01/2017 15/03/2017 Energy Demand Reduction in the Built Environment: Joint India-UK Call for Proposals Download (197 KB) 25/01/2017 15/03/2017 Call for Proposals (2017-18) - Centre for Human and Organisational Resource Development (CHORD Division) Download (252.49 KB) 30/01/2017 15/03/2017 SERB Overseas Postdoctoral Fellowship 2016-17: Call for Applications (Other than USA). Submission deadline: 15 March, 2017 Download (735.43 KB) 31/01/2017 15/03/2017 Invitation of Proposals from the institutes for conducting training programme under the scheme ""National Programme for Training of Scientists & Technologists in the Govt. Sector"" Download (1.06 MB) 08/02/2017 17/03/2017 Detailed ",2026-07-10T13:38:37+00:00,
dstpage_aabc13be2349a550d8bd,https://nidhi.dst.gov.in/schemes-programmes,https://nidhi.dst.gov.in/schemes-programmes,Schemes/Programmes | NIDHI - National Initiative for Developing and Harnessing Innovations | India,,200,text/html; charset=UTF-8,127,MANUAL_STARTUP_REVIEW,64,"BENEFICIARY:start-up,start-ups,entrepreneur,entrepreneurs | SUPPORT:seed support,accelerator",,,"Share on Facebook Share of X (formerly Twitter) Share on Linkedin Schemes/Programmes NIDHI Programme TTI Division’s flagship programme National Initiative for Developing and Harnessing Innovations (NIDHI) aims to nurture start-ups through scouting, supporting and scaling of innovations. NIDHI TBI (Technology Business Incubator) NIDHI-Inclusive Technology Business Incubator (i-TBI) NIDHI- PRomoting and Accelerating Young and ASpiring technology entrepreneurs (PRAYAS) NIDHI-Entrepreneurs -in-Residence(EIR) Program NIDHI-SEED SUPPORT PROGRAM (SSP) NIDHI- Accelerator NIDHI: CoE (Centre of Excellence) Other Innovation & Entrepreneurship Initiatives Innovation & Entrepreneurship Training Program Innovation-based Science and Technology for Entrepreneurship Development (i-STED) New Generation Innovation and Entrepreneurship Development Centre (New Gen IEDCs) Rapid-Response Initiatives to Combat Covid-19 CAWACH ( Centre for Augmenting WAR with Covid-19 Health Crisis) Program NIDHI4COVID 2.0 Ini",2026-07-10T13:38:40+00:00,
dstpage_d178519ed5630ed0a658,https://tdb.gov.in/downloads-0,https://tdb.gov.in/downloads-0,Downloads | Technology Development Board,,200,text/html; charset=UTF-8,226,MANUAL_STARTUP_REVIEW,56,"BENEFICIARY:industrial concern | ACCESS:apply | SUPPORT:funding,financial assistance,loan",,,"Sr. No. Title Downloads 1. Revised Project Funding Guidelines/FAQ’s Size:747 KB 2. GoI Order/Notification – COVID 19 Size:223 KB Size:364 KB The Research & Development Cess Act, 1986 was enacted by the Parliament for the levy and collection of cess at a rate not exceeding 5% on all payments made for the import of technology for the purposes of: i) encouraging the commercial application of indigenously developed technology; and ii) for adapting imported technology to wider domestic application. For the development and application of indigenous technology in a dynamic economic environment, the Government of India enabled the placing of proceeds of the Research and Development Cess on the import of technology into a fund called the Fund for Technology Development and Application. To administer the Fund, the Government constituted the Technology Development Board (TDB) on 1st September, 1996, under the provisions of the Technology Development Board Act, 1995. This booklet provides guidance",2026-07-10T13:38:44+00:00,
dstpage_d0932cf86b9a23327955,https://dst.gov.in/human-capacity-building-programmes,https://dst.gov.in/human-capacity-building-programmes,Human Capacity Building Programmes | Department Of Science & Technology,1,200,text/html; charset=utf-8,59,ECOSYSTEM_REVIEW_REQUIRED,35,,,,"Home >> Schemes/ Programmes >> S&T Capacity Building Programmes >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice S&T Capacity Building Programmes INSPIRE Scheme INSPIRE-MANAK WISE-KIRAN",2026-07-10T13:38:47+00:00,
dstpage_d621c5092f9508a0ab92,https://dst.gov.in/institutional-capacity-building-programmes,https://dst.gov.in/institutional-capacity-building-programmes,Institutional Capacity Building Programmes | Department Of Science & Technology,1,200,text/html; charset=utf-8,697,ECOSYSTEM_REVIEW_REQUIRED,35,"BENEFICIARY:start-up,start-ups | MIXED_INSTITUTION_AND_STARTUP",,,"Home >> Schemes/ Programmes >> Institutional Capacity Building Programmes >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice Institutional Capacity Building Programmes R&D Infrastructure Division The R&D Infrastructure Division of the Department aims to strengthen the S&T infrastructure of the country by fostering well-equipped R&D labs in the academic/ research institutes/ universities as well as a strong culture of research collaboration between institutions and across disciplines. It has six schemes the objectives of which, at large, are establishment of R&D labs, Training, upgradation of research facilities orienting towards creating a self- reliant India. FIST (Fund for Improvement of S&T Infrastruct",2026-07-10T13:38:48+00:00,
dstpage_f440cb529dab68382cfc,https://dst.gov.in/research-development-programmes,https://dst.gov.in/research-development-programmes,Research & Development Programmes | Department Of Science & Technology,1,200,text/html; charset=utf-8,69,ECOSYSTEM_REVIEW_REQUIRED,35,,,,"Home >> Schemes/ Programmes >> Research & Development Programmes >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice Research & Development Programmes Nano Science and Technology (NS&T) National Geospatial Programme (NGP) Cognitive Science Research Initiative (CSRI)",2026-07-10T13:38:49+00:00,
dstpage_a1e68c4a1e942500e236,https://dst.gov.in/science-society-programmes,https://dst.gov.in/science-society-programmes,Science for Society Programmes | Department Of Science & Technology,1,200,text/html; charset=utf-8,70,ECOSYSTEM_REVIEW_REQUIRED,35,SUPPORT:equity,,,"Home >> Schemes/ Programmes >> Science for Society Programmes >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice Science for Society Programmes Science For Equity Empowerment and Development (SEED) National Council for Science & Technology Communication (NCSTC)",2026-07-10T13:38:49+00:00,
dstpage_7b6b8f52b2f0f0dbeed2,https://dst.gov.in/national-missions,https://dst.gov.in/national-missions,National Missions | Department Of Science & Technology,1,200,text/html; charset=utf-8,71,ECOSYSTEM_REVIEW_REQUIRED,35,,,,"Home >> Schemes/ Programmes >> National Missions >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice National Missions National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS) National Quantum Mission (NQM) National Supercomputing Mission (NSM) Climate Change Missions (CCM)",2026-07-10T13:38:50+00:00,
dstpage_dec3f2ec19adcbecacc3,https://dst.gov.in/international-cooperation-mega-science,https://dst.gov.in/international-cooperation-mega-science,International Cooperation & Mega Science | Department Of Science & Technology,1,200,text/html; charset=utf-8,67,ECOSYSTEM_REVIEW_REQUIRED,35,,,,"Home >> Schemes/ Programmes >> International Cooperation & Mega Science >> RDI Fund S&T Capacity Building Programmes Institutional Capacity Building Programmes Research & Development Programmes Innovation and Technology Development Programmes Science for Society Programmes National Missions International Cooperation & Mega Science S&T Data, Policy and Training State S&T Initiative Good Laboratory Practice International Cooperation & Mega Science International S&T Cooperation (IS&TC) Mega Facilities for Basic Research (MFBR)",2026-07-10T13:38:51+00:00,
