master_id,scheme_code,canonical_name,record_kind,official_page_url,application_status,closing_date,funding_maximum,funding_evidence,last_verified_at,guideline_urls,status_evidence
idex_scheme,IDEX,Scheme for Innovations for Defence Excellence (iDEX),SCHEME,https://idex.gov.in/idex,STATUS_UNVERIFIED,,15000000,Maximum grant up to Rs 1.5 crore per applicant in the official Scheme for iDEX PDF.,2026-07-22,https://idex.gov.in//uploads/page/iDEX%20scheme%2004.06.2021_3%20%281%29.pdf,Official iDEX scheme identity; no permanent application window is inferred.
idex_aditi_scheme,ADITI,ADITI (Acing Development of Innovative Technologies with iDEX),SCHEME,https://idex.gov.in//uploads/page/aditi_scheeme.pdf,STATUS_UNVERIFIED,,250000000,ADITI grant up to 50 percent of product development budget with a maximum of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in//uploads/page/aditi_scheeme.pdf,Official ADITI scheme identity; dated challenge editions are listed separately.
idex_spark,SPARK,SPARK – Support for Prototype and Research Kickstart in Defence,PROGRAMME,https://idex.gov.in/res,STATUS_UNVERIFIED,,15000000,SPARK funding mechanism supports selected iDEX challenge applicants through milestone-based assistance up to Rs 1.5 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX guideline index identifies SPARK as the prototype and research kick-start framework.
idex_open_challenge_2026,OPEN-CHALLENGE,iDEX Open Challenge,CHALLENGE,https://idex.gov.in//disc-category/18,OPEN,2026-09-30,15000000,Official Open Challenge page states grants up to Rs 1.5 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX page marks the challenge open with a last date of 30 September 2026 at 11:59 PM.
idex_disc14,DISC-14,DISC 14,CHALLENGE,https://idex.gov.in//disc-category/45,CLOSED,2026-05-04,15000000,Official DISC 14 page states grants up to Rs 1.5 crore.,2026-07-22,https://idex.gov.in/res,Official page lists 82 problem statements and a last date of 04 May 2026 at 5:00 PM.
idex_aditi4,ADITI-4,ADITI 4,CHALLENGE,https://idex.gov.in//disc-category/44,CLOSED,2026-05-04,250000000,Official ADITI 4 page states grants up to Rs 25 crore.,2026-07-22,https://idex.gov.in/res,Official page lists 25 problem statements and a last date of 04 May 2026 at 5:00 PM.
idex_drishti,DRISHTI,DRISHTI Challenges,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2026-05-04,,,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists DRISHTI with a last date of 04 May 2026 at 5:00 PM.
idex_disc12_reopen_2026,DISC-12-REOPEN-2026,DISC 12 Re Open,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2026-07-15,15000000,Official iDEX challenge index states grants up to Rs 1.5 crore for this DISC category.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 July 2026 at 5:00 PM.
idex_disc12_reopen_iaf,DISC-12-REOPEN-IAF,DISC 12 Re Open IAF,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2026-03-09,15000000,Official iDEX challenge index states grants up to Rs 1.5 crore for DISC.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 09 March 2026 at 5:00 PM.
idex_prime_reopen,IDEX-PRIME-REOPEN,iDEX Prime Re Open,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2026-03-09,100000000,Official iDEX challenge index states iDEX PRIME grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 09 March 2026 at 5:00 PM.
