"SourceFile","MasterId","CandidateId","CanonicalName","RecordKind","Source","Status","OfficialUrl"
"data\audit\v2_8_0_catalogue_baseline\admin_review_actions_v2_8_0.csv","147173e17ea741687247","","","","","",""
"data\audit\v2_8_0_catalogue_baseline\admin_review_actions_v2_8_0.csv","6af79cf6c8a213dddce8","","","","","",""
"data\audit\current_v2_only\multi_source_coverage_audit_v2_6.csv","147173e17ea741687247","","SAMRIDH","SCHEME","MeitY Startup Hub","REJECTED","https://msh.meity.gov.in/schemes/samridh"
"data\audit\multi_source_coverage_audit_v2_6.csv","147173e17ea741687247","","SAMRIDH","SCHEME","MeitY Startup Hub","REJECTED","https://msh.meity.gov.in/schemes/samridh"
"data\audit\v2_8_0_catalogue_baseline\catalogue_reconciliation_v2_8_0.csv","147173e17ea741687247","","SAMRIDH","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh"
"data\audit\v2_8_0_catalogue_baseline\review_decisions_v2_8_0.csv","147173e17ea741687247","","SAMRIDH","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh"
"data\audit\v2_8_1_catalogue_normalization\catalogue_inclusion_candidates_v2_8_1.csv","147173e17ea741687247","","SAMRIDH","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh"
"data\audit\v2_8_1_catalogue_normalization\catalogue_normalization_plan_v2_8_1.csv","147173e17ea741687247","","SAMRIDH","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh"
"data\catalogue_preview\v3_3_1\batch_1_catalogue_preview_v3_3_1.csv","147173e17ea741687247","","SAMRIDH","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh"
"data\audit\current_v2_only\multi_source_coverage_audit_v2_6.csv","6af79cf6c8a213dddce8","","TIDE 2.0","SCHEME","MeitY Startup Hub","REJECTED","https://msh.meity.gov.in/schemes/tide"
"data\audit\multi_source_coverage_audit_v2_6.csv","6af79cf6c8a213dddce8","","TIDE 2.0","SCHEME","MeitY Startup Hub","REJECTED","https://msh.meity.gov.in/schemes/tide"
"data\audit\v2_8_0_catalogue_baseline\catalogue_reconciliation_v2_8_0.csv","6af79cf6c8a213dddce8","","TIDE 2.0","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/tide"
"data\audit\v2_8_0_catalogue_baseline\review_decisions_v2_8_0.csv","6af79cf6c8a213dddce8","","TIDE 2.0","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/tide"
"data\audit\v2_8_1_catalogue_normalization\catalogue_normalization_plan_v2_8_1.csv","6af79cf6c8a213dddce8","","TIDE 2.0","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/tide"
"data\audit\v2_8_1_catalogue_normalization\catalogue_revalidation_backlog_v2_8_1.csv","6af79cf6c8a213dddce8","","TIDE 2.0","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/tide"
"data\catalogue_preview\v3_3_1\batch_1_catalogue_preview_v3_3_1.csv","6af79cf6c8a213dddce8","","TIDE 2.0","","MeitY Startup Hub","SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/tide"
