"evidence_id","master_id","canonical_name","field_name","extracted_value","evidence_text","evidence_url","page_title","source_authority","published_date","retrieved_date","evidence_type","supports_identity","supports_ownership","supports_status","confidence","review_notes"
"meity_evidence_samridh_identity_v34201","147173e17ea741687247","SAMRIDH","canonical_name","SAMRIDH","The official MeitY Startup Hub page and scheme document identify the permanent scheme as SAMRIDH.","https://msh.meity.gov.in/schemes/samridh","SAMRIDH","MeitY Startup Hub","","2026-07-12","OFFICIAL_SCHEME_PAGE","true","true","true","1.00",""
"meity_evidence_samridh_long_name_v34201","147173e17ea741687247","SAMRIDH","official_long_name","Startup Accelerator of MeitY for Product Innovation, Development and Growth","The official scheme document expands SAMRIDH as Startup Accelerator of MeitY for Product Innovation, Development and Growth.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","SAMRIDH Scheme Document","Ministry of Electronics and Information Technology","","2026-07-12","OFFICIAL_SCHEME_DOCUMENT","true","true","false","1.00",""
"meity_evidence_samridh_ministry_v34201","147173e17ea741687247","SAMRIDH","owning_ministry","Ministry of Electronics and Information Technology (MeitY)","The official scheme document is issued by the Ministry of Electronics and Information Technology.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","SAMRIDH Scheme Document","Ministry of Electronics and Information Technology","","2026-07-12","OFFICIAL_SCHEME_DOCUMENT","true","true","false","1.00",""
"meity_evidence_samridh_implementing_agency_v34201","147173e17ea741687247","SAMRIDH","implementing_agency","MeitY Startup Hub (MSH), Digital India Corporation","The scheme document identifies MeitY Startup Hub as implementing agency; the official MSH portal identifies MSH as an independent business division of Digital India Corporation.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","SAMRIDH Scheme Document","Ministry of Electronics and Information Technology","","2026-07-12","OFFICIAL_IMPLEMENTATION_DOCUMENT","false","true","true","0.99",""
"meity_evidence_samridh_current_information_v34201","147173e17ea741687247","SAMRIDH","current_scheme_status","CURRENT_SCHEME_INFORMATION_AVAILABLE","The official MeitY Startup Hub maintains the scheme page and provides cohort and accelerator information.","https://msh.meity.gov.in/schemes/samridh","SAMRIDH","MeitY Startup Hub","","2026-07-12","OFFICIAL_CURRENT_SCHEME_PAGE","true","true","true","0.95","This confirms scheme information availability, not a currently open application window."
"meity_evidence_samridh_cohort2_v34201","147173e17ea741687247","SAMRIDH","call_instance_rule","COHORTS_ROUNDS_AND_APPLICATION_WINDOWS_MUST_BE_SEPARATE_CALL_INSTANCES","The official announcement identifies SAMRIDH Cohort 2 as a specific implementation cohort under the permanent SAMRIDH scheme.","https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2052139&lang=1&reg=3","Secretary MeitY launches SAMRIDH Cohort 2","Press Information Bureau / Ministry of Electronics and Information Technology","2024-09-05","2026-07-12","OFFICIAL_COHORT_ANNOUNCEMENT","false","true","true","1.00","Cohort 2 must not replace or rename the permanent SAMRIDH scheme."
"meity_evidence_tide20_identity_v34201","6af79cf6c8a213dddce8","TIDE 2.0","canonical_name","TIDE 2.0","The administrative approval establishes Technology Incubation and Development of Entrepreneurs 2.0 as an approved MeitY scheme.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Administrative Approval for TIDE 2.0","Ministry of Electronics and Information Technology","2019-02-01","2026-07-12","OFFICIAL_ADMINISTRATIVE_APPROVAL","true","true","true","1.00",""
"meity_evidence_tide20_long_name_v34201","6af79cf6c8a213dddce8","TIDE 2.0","official_long_name","Technology Incubation and Development of Entrepreneurs 2.0","The official administrative approval records the full scheme name.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Administrative Approval for TIDE 2.0","Ministry of Electronics and Information Technology","2019-02-01","2026-07-12","OFFICIAL_ADMINISTRATIVE_APPROVAL","true","true","true","1.00",""
"meity_evidence_tide20_ministry_v34201","6af79cf6c8a213dddce8","TIDE 2.0","owning_ministry","Ministry of Electronics and Information Technology (MeitY)","The administrative approval was issued by the Ministry of Electronics and Information Technology.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Administrative Approval for TIDE 2.0","Ministry of Electronics and Information Technology","2019-02-01","2026-07-12","OFFICIAL_ADMINISTRATIVE_APPROVAL","true","true","false","1.00",""
"meity_evidence_tide20_implementing_agency_v34201","6af79cf6c8a213dddce8","TIDE 2.0","implementing_agency","Innovation and IPR Division, MeitY, in association with 51 incubation centres","The administrative approval identifies Innovation and IPR Division, MeitY, working with 51 incubation centres as the implementation arrangement.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Administrative Approval for TIDE 2.0","Ministry of Electronics and Information Technology","2019-02-01","2026-07-12","OFFICIAL_ADMINISTRATIVE_APPROVAL","false","true","true","1.00",""
"meity_evidence_tide20_duration_v34201","6af79cf6c8a213dddce8","TIDE 2.0","current_scheme_status","HISTORICAL_INFORMATION_ONLY","The administrative approval specifies a 60-month scheme duration from 1 February 2019 to 31 January 2024.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Administrative Approval for TIDE 2.0","Ministry of Electronics and Information Technology","2019-02-01","2026-07-12","OFFICIAL_DURATION_EVIDENCE","false","true","true","1.00","No official extension or replacement application window was located."
"meity_evidence_tide20_reference_page_v34201","6af79cf6c8a213dddce8","TIDE 2.0","official_master_url","https://msh.meity.gov.in/schemes/tide","The official MSH page remains available as the permanent reference page for TIDE 2.0.","https://msh.meity.gov.in/schemes/tide","TIDE 2.0 Scheme","MeitY Startup Hub","","2026-07-12","OFFICIAL_HISTORICAL_SCHEME_PAGE","true","true","true","0.99","An available reference page does not establish that applications remain open."
"meity_evidence_tide20_current_meity_reference_v34201","6af79cf6c8a213dddce8","TIDE 2.0","status_decision","APPROVED_DURATION_COMPLETED_2024_NO_EXTENSION_EVIDENCE","The current MeitY offerings page describes the TIDE 2.0 programme and its implementation outputs, while the approval document supplies the completed duration.","https://www.meity.gov.in/offerings/schemes-and-services/details/technology-incubation-and-development-of-entrepreneurs-QMwEjNtQWa","Technology Incubation and Development of Entrepreneurs","Ministry of Electronics and Information Technology","","2026-07-12","OFFICIAL_SCHEME_REFERENCE","true","true","true","0.99",""
