candidate_id,existing_master_id,classification,confidence,title,heading,canonical_url,discovered_from,discovery_method,parent_hint,status_hint,published_date_signal,money_signals,rendered_used,reasons,llm_classification,llm_confidence,llm_reason
meity_a36df448cf78268047b5,,EVIDENCE_ONLY,0.78,MeityStartupHub,,https://msh.meity.gov.in/about/mshlogousageguidelines,https://msh.meity.gov.in/schemes/samridh,rendered_dom,147173e17ea741687247,STATUS_REQUIRES_VALIDATION,,,True,GUIDANCE_NOTIFICATION_OR_REPORT_SIGNAL,EVIDENCE_ONLY,0.8,The page provides guidelines for the use of 'MSH' logo and does not detail a permanent scheme or programme.
meity_4ef475d4bee244919edf,,EVIDENCE_ONLY,0.98,investment_playbook_for_startup_incubators_final.pdf,investment_playbook_for_startup_incubators_final.pdf,https://msh.meity.gov.in/assets/Investment_Playbook_for_Startup_Incubators_FINAL.pdf,https://msh.meity.gov.in/schemes/samridh,rendered_dom,147173e17ea741687247,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_32ea6a192c9a4ad4ddb8,,EVIDENCE_ONLY,0.98,samridh%202nd%20cohort%20om%20final.pdf,samridh%202nd%20cohort%20om%20final.pdf,https://msh.meity.gov.in/assets/samridh2ndcohrot/SAMRIDH%202nd%20Cohort%20OM%20Final.pdf,https://msh.meity.gov.in/schemes/samridh,rendered_dom,147173e17ea741687247,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_9b02f617caef9bfd04cc,,EVIDENCE_ONLY,0.98,samridh_startup_success_stories.pdf,samridh_startup_success_stories.pdf,https://msh.meity.gov.in/assets/successStorieslist/SAMRIDH_Startup_Success_Stories.pdf,https://msh.meity.gov.in/schemes/samridh,rendered_dom,147173e17ea741687247,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_6a28b5fc38a201767bd6,,EVIDENCE_ONLY,0.98,scheme-report.pdf,scheme-report.pdf,https://msh.meity.gov.in/assets/Scheme-Report.pdf,https://msh.meity.gov.in/schemes/samridh,rendered_dom,147173e17ea741687247,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_ced7c2c3002283d63f48,,EVIDENCE_ONLY,0.98,tide_success_story.pdf,tide_success_story.pdf,https://msh.meity.gov.in/assets/successStorieslist/TIDE_Success_Story.pdf,https://msh.meity.gov.in/schemes/tide,rendered_dom,6af79cf6c8a213dddce8,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_38d751befb77a58e6940,,EVIDENCE_ONLY,0.98,administrative%20approval_tide%202.0.pdf,administrative%20approval_tide%202.0.pdf,https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf,https://msh.meity.gov.in/schemes/tide,rendered_dom,6af79cf6c8a213dddce8,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_7f4ba18dd0a94a74cae9,,EVIDENCE_ONLY,0.98,list%20of%20incubation%20centres%20under%20tide%202.0.pdf,list%20of%20incubation%20centres%20under%20tide%202.0.pdf,https://msh.meity.gov.in/assets/List%20of%20Incubation%20Centres%20under%20TIDE%202.0.pdf,https://msh.meity.gov.in/schemes/tide,rendered_dom,6af79cf6c8a213dddce8,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_e7f0852c48570e121e50,,EVIDENCE_ONLY,0.98,sasact_startup_one_pager.pdf,sasact_startup_one_pager.pdf,https://msh.meity.gov.in/assets/SASACT_Startup_One_pager.pdf,https://msh.meity.gov.in/schemes/sasact,rendered_dom,meity_1c5c50d5e86fc876d0b3,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_d7a9830217bf5e259c4a,,EVIDENCE_ONLY,0.98,genesisia%20.pdf,genesisia%20.pdf,https://msh.meity.gov.in/assets/genesisia%20.pdf,https://msh.meity.gov.in/schemes/genesis,rendered_dom,meity_28ac6fb921386a6968c7,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_ed34c8c5100f78079ea9,,EVIDENCE_ONLY,0.98,genesis_admin%20approval.pdf,genesis_admin%20approval.pdf,https://msh.meity.gov.in/assets/GENESIS_Admin%20Approval.pdf,https://msh.meity.gov.in/schemes/genesis,rendered_dom,meity_28ac6fb921386a6968c7,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_e0127f824259ddeb4dd8,,EVIDENCE_ONLY,0.98,brochure_genesis.pdf,brochure_genesis.pdf,https://msh.meity.gov.in/assets/Brochure_GENESIS.pdf,https://msh.meity.gov.in/schemes/genesis,rendered_dom,meity_28ac6fb921386a6968c7,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_1b576f7559cb11832258,,EVIDENCE_ONLY,0.98,vc%20playbook%2094%20(digital)_compressed%20(1).pdf,vc%20playbook%2094%20(digital)_compressed%20(1).pdf,https://msh.meity.gov.in/assets/VC%20Playbook%2094%20(Digital)_compressed%20(1).pdf,https://msh.meity.gov.in/program/mshcorporate/googleappscale,rendered_dom,meity_d7781f7865cb61e6e99f,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_177bf229ec535f6b43fe,,EVIDENCE_ONLY,0.98,bhumi%20%e2%80%93%20bsf.pdf,bhumi%20%e2%80%93%20bsf.pdf,https://msh.meity.gov.in/assets/img/media/BHUMI%20%E2%80%93%20BSF.pdf,https://msh.meity.gov.in/program/mshcorporate/bhumi,rendered_dom,meity_c03b8fe5e18ff48b59bd,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_b154d3c059b057bb6ee3,,EVIDENCE_ONLY,0.98,drishti%20-%20ssb.pdf,drishti%20-%20ssb.pdf,https://msh.meity.gov.in/assets/img/media/DRISHTI%20-%20SSB.pdf,https://msh.meity.gov.in/program/mshcorporate/drishti,rendered_dom,meity_88ea45a1288e6d4820cc,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_fc26a555bb19702f0928,,EVIDENCE_ONLY,0.98,ihmcl.pdf,ihmcl.pdf,https://msh.meity.gov.in/assets/img/media/IHMCL.pdf,https://msh.meity.gov.in/program/mshcorporate/ihmcl,rendered_dom,meity_d0e9585c1f9640157c52,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_b3ae33f14f22fd171246,,EVIDENCE_ONLY,0.98,list-of-selected-startups-in-xr-program.pdf,list-of-selected-startups-in-xr-program.pdf,https://msh.meity.gov.in/assets/List-of-selected-Startups-in-XR-Program.pdf,https://msh.meity.gov.in/program/mshcorporate/xr-startup-program,rendered_dom,meity_ac41fd36e3f6654e08f5,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
meity_e43efd8c13494a334d54,,EVIDENCE_ONLY,0.98,iftech-reportfinal_closure.pdf,iftech-reportfinal_closure.pdf,https://msh.meity.gov.in/assets/img/media/IFTECH-ReportFinal_Closure.pdf,https://msh.meity.gov.in/program/mshinternational/iftech,rendered_dom,meity_692cd4b969384a0ce92f,,,,False,OFFICIAL_DOCUMENT_NOT_MASTER_IDENTITY,,0.0,
