candidate_id,existing_master_id,classification,confidence,title,heading,canonical_url,discovered_from,discovery_method,parent_hint,status_hint,published_date_signal,money_signals,rendered_used,reasons,llm_classification,llm_confidence,llm_reason
meity_18c27c8449d10075f065,,NON_CATALOGUE,0.7,Access Denied,Access Denied,https://www.meity.gov.in/,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,NO_SCHEME_OR_CALL_SIGNAL,,0.0,
meity_a1b9675fd83cafc86da1,,NON_CATALOGUE,0.85,MeityStartupHub,MSH Team,https://msh.meity.gov.in/about/team,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_de57d5ec7706e02c61e5,,NON_CATALOGUE,1.0,MeityStartupHub,APPLICATION FOR MSH LOGO,https://msh.meity.gov.in/about/applyforthelogo,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,,,,True,UNRELATED_MSH_LOGO_APPLICATION,,0.0,
meity_0667b899d993cd52ff64,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/about/newsletter,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_a103b5c25c493949a35d,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/about/contactus,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_a2cdcbdc18f3421f1e4d,,NON_CATALOGUE,0.85,MeityStartupHub,Page Not Found,https://msh.meity.gov.in/platform,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_b94cb4fef371b99b519e,,NON_CATALOGUE,0.85,MeityStartupHub,State,https://msh.meity.gov.in/booking/lab,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_69e691d281504b2c9135,,NON_CATALOGUE,0.85,MeityStartupHub,State,https://msh.meity.gov.in/booking/guesthouse,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_006ee8c42acc4a8cc7c7,,NON_CATALOGUE,0.85,MeityStartupHub,State,https://msh.meity.gov.in/booking/coworking,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_a0c50813b9879788865d,,NON_CATALOGUE,0.85,MeityStartupHub,State,https://msh.meity.gov.in/booking/equipment,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_55b78ac2113f1480b497,,NON_CATALOGUE,0.85,MeityStartupHub,Tags +,https://msh.meity.gov.in/startupschool,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_346089134eec5dc41f3b,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/media/allnews,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_dd21b5f612c19cb927e8,,NON_CATALOGUE,0.85,MeityStartupHub,Dignitaries,https://msh.meity.gov.in/g20dia/speakers-jury,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_b4cebe9de074cb7c99ea,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/g20dia/g20gallery,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_963c7e030e55c3b478c1,,NON_CATALOGUE,0.85,MeityStartupHub,User Events,https://msh.meity.gov.in/flagshipevents,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_20cbc7978ed584ecf512,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/career,https://msh.meity.gov.in/schemes/samridh,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_d3cbf9bb45ac5d43dedb,,NON_CATALOGUE,0.85,MeityStartupHub,Page Not Found,https://msh.meity.gov.in/successtoryview,https://msh.meity.gov.in/,rendered_dom,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
meity_0f946106769c7c7a5ce2,,NON_CATALOGUE,0.85,MeityStartupHub,,https://msh.meity.gov.in/registration,https://msh.meity.gov.in/,network_json,,STATUS_REQUIRES_VALIDATION,,,True,GENERIC_OR_NAVIGATION_PAGE,,0.0,
