candidate_id,existing_master_id,canonical_name,normalized_identity_name,canonical_url,source_classification,triage_classification,identity_decision,triage_reason,recommended_action,confidence,status_hint,parent_hint,publication_status
147173e17ea741687247,147173e17ea741687247,SAMRIDH,samridh,https://msh.meity.gov.in/schemes/samridh,SCHEME_MASTER_CANDIDATE,VERIFIED_PERMANENT_SCHEME,EXISTING_MASTER_ID_RETAINED,OFFICIAL_MSH_SCHEME_DETAIL_PATH,PROCEED_TO_GOVERNED_EXTRACTION,0.96,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
6af79cf6c8a213dddce8,6af79cf6c8a213dddce8,TIDE 2.0,tide 2 0,https://msh.meity.gov.in/schemes/tide,SCHEME_MASTER_CANDIDATE,VERIFIED_PERMANENT_SCHEME,EXISTING_MASTER_ID_RETAINED,OFFICIAL_MSH_SCHEME_DETAIL_PATH,PROCEED_TO_GOVERNED_EXTRACTION,0.96,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_1c5c50d5e86fc876d0b3,,SASACT,sasact,https://msh.meity.gov.in/schemes/sasact,SCHEME_MASTER_CANDIDATE,VERIFIED_PERMANENT_SCHEME,NEW_PERMANENT_IDENTITY_CANDIDATE,OFFICIAL_MSH_SCHEME_DETAIL_PATH,PROCEED_TO_GOVERNED_EXTRACTION,0.96,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_28ac6fb921386a6968c7,,GENESIS,genesis,https://msh.meity.gov.in/schemes/genesis,SCHEME_MASTER_CANDIDATE,VERIFIED_PERMANENT_SCHEME,NEW_PERMANENT_IDENTITY_CANDIDATE,OFFICIAL_MSH_SCHEME_DETAIL_PATH,PROCEED_TO_GOVERNED_EXTRACTION,0.96,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_c72ac1cff3b0d3e2ca41,,MeitY Startup Hub Incubator Network,meity startup hub incubator network,https://msh.meity.gov.in/programs/incubator,PROGRAMME_MASTER_CANDIDATE,INCUBATOR_OR_ECOSYSTEM_RESOURCE,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_INCUBATOR_OR_COE_RESOURCE_PATH,SEPARATE_ECOSYSTEM_RESOURCE_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_b83d32f40aad208fa7e2,,SBI Corporate Partnership,sbi corporate,https://msh.meity.gov.in/program/mshcorporate/SBI,PROGRAMME_MASTER_CANDIDATE,CORPORATE_PARTNERSHIP,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_CORPORATE_PARTNERSHIP_PATH,EXCLUDE_FROM_SCHEME_MASTER_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_a398e511be5fb7012d14,,Tally Corporate Partnership,tally corporate,https://msh.meity.gov.in/program/mshcorporate/TALLY,PROGRAMME_MASTER_CANDIDATE,CORPORATE_PARTNERSHIP,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_CORPORATE_PARTNERSHIP_PATH,EXCLUDE_FROM_SCHEME_MASTER_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_4fed66089664b9ca1784,,Razorpay Corporate Partnership,razorpay corporate,https://msh.meity.gov.in/program/mshcorporate/razorpaypartnership,PROGRAMME_MASTER_CANDIDATE,CORPORATE_PARTNERSHIP,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_CORPORATE_PARTNERSHIP_PATH,EXCLUDE_FROM_SCHEME_MASTER_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_71e95141c1a17726fc50,,MathWorks Corporate Partnership,mathworks corporate,https://msh.meity.gov.in/program/mshcorporate/mathworks,PROGRAMME_MASTER_CANDIDATE,CORPORATE_PARTNERSHIP,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_CORPORATE_PARTNERSHIP_PATH,EXCLUDE_FROM_SCHEME_MASTER_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
meity_449512a9f8c4292c6029,,Micron Corporate Partnership,micron corporate,https://msh.meity.gov.in/program/mshcorporate/micron,PROGRAMME_MASTER_CANDIDATE,CORPORATE_PARTNERSHIP,NO_SCHEME_MASTER_ID_TO_CREATE,MSH_CORPORATE_PARTNERSHIP_PATH,EXCLUDE_FROM_SCHEME_MASTER_PIPELINE,0.9,STATUS_REQUIRES_VALIDATION,,NOT_PUBLISHED
