candidate_id,canonical_name,entity_type,entity_reason,entity_confidence,record_kind,programme_status,application_status,status_basis,opening_date,closing_date,official_page_url,application_url,source,ministry,implementing_agency,startup_relevance,startup_relevance_confidence,parent_candidate_id,parent_master_id,parent_scheme_name,parent_resolution,related_candidate_id,existing_master_id,existing_public_record,evidence_id,evidence_excerpt,status_evidence,source_evidence_urls,quality_flags,admin_queue,publication_eligible,apply_action_allowed,duplicate_key
meity380_8614c5782161d16c9ed0,BHUMI – BSF Border Security Hackathon,HACKATHON,Hackathon markers,0.91,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://msh.meity.gov.in/program/mshcorporate/bhumi,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.79,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,meitycall_a95e53af41b5c53999cf,False,meityev_50bd2f238812171aeb6e,"meitycall_a95e53af41b5c53999cf Bhumi BHUMI – BSF Border Security Hackathon https://msh.meity.gov.in/program/mshcorporate/bhumi A distinct hackathon identity is present, but the page uses prospective language and provides no verified dated completion or application window. Locate dated official announcement, result or closure evidence before historical qualification. True False Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > BHUMI – BSF BHUMI – BSF Background: To leverage the innovations created by the Indian entrepreneurs and to build on the mission of Atmanirbhar Bharat, Border Security Forces (BSF) seeks to organize Hackathons with Indian startups and premier Institutions for cost effective solutions to strengthen the border security scenario. In compliance to the directions, Mi","meitycall_a95e53af41b5c53999cf Bhumi BHUMI – BSF Border Security Hackathon https://msh.meity.gov.in/program/mshcorporate/bhumi A distinct hackathon identity is present, but the page uses prospective language and provides no verified dated completion or application window. Locate dated official announcement, result or closure evidence before historical qualification. True False Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > BHUMI – BSF BHUMI – BSF Background: To leverage the innovations created by the Indian entrepreneurs and to build on the mission of Atmanirbhar Bharat, Border Security Forces (BSF) seeks to organize Hackathons with Indian startups and premier Institutions for cost effective solutions to strengthen the border security scenario. In compliance to the directions, Ministry of Electronics & IT Startup Hub (MeitY Startup Hub) is collaborating with BSF to provide access to the platform, resources, startups, and institutions which can be engaged in this process of solution identification based on problem statements as provided by BSF. Read More >> Get to Know Terms",https://msh.meity.gov.in/program/mshcorporate/bhumi,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,b3ea5e10c644eb304666e9a85a65f369fd7ade1d30d6f419032eae417be9bc60
meity380_ad68af5a09f81689d5d5,Drishti,HACKATHON,Hackathon markers,0.91,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://msh.meity.gov.in/program/mshcorporate/drishti,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,meitycall_533fd1397d9885d223d2,False,meityev_666df4b00909d6ce3a8d,"meitycall_533fd1397d9885d223d2 Drishti https://msh.meity.gov.in/program/mshcorporate/drishti PUBLISHED 1 VERIFICATION_REQUIRED VALID_CALL_INSTANCE The evidence supports a distinct programme, challenge or hackathon identity, but current status and dates remain unverified. CALL_IDENTITY_ONLY False Rebuild as a historical or current call only after dates, applicant layer, page role and status are verified. 3","meitycall_533fd1397d9885d223d2 Drishti https://msh.meity.gov.in/program/mshcorporate/drishti PUBLISHED 1 VERIFICATION_REQUIRED VALID_CALL_INSTANCE The evidence supports a distinct programme, challenge or hackathon identity, but current status and dates remain unverified. CALL_IDENTITY_ONLY False Rebuild as a historical or current call only after dates, applicant layer, page role and status are verified. 3",https://msh.meity.gov.in/program/mshcorporate/drishti,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,a30acf3ad2309f763222b188a7f5cc4a45dd9111e5ab63e035a27690bdf17128
meity380_5a3f2094107fd24c805a,DRISHTI – SSB Grand Challenge on Strengthening Border Security,GRAND_CHALLENGE,Grand challenge markers,0.91,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://msh.meity.gov.in/program/mshcorporate/drishti,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.79,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,meitycall_533fd1397d9885d223d2,False,meityev_1a0a8edeba7b36a22789,meityhist_767b6da6815bc7f773f0 meitycall_533fd1397d9885d223d2 DRISHTI – SSB Grand Challenge on Strengthening Border Security MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub https://msh.meity.gov.in/program/mshcorporate/drishti HISTORICAL_CLOSED GRAND_CHALLENGE Defence & Border Security STARTUP STARTUP_DIRECT STANDALONE_OFFICIAL_HISTORICAL_CALL The official page states that MeitY and SSB had undertaken the DRISHTI Grand Challenge and describes the intended use of startup-developed solutions. Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > DRISHTI - SSB DRISHTI - SSB Background: MeitY in partnership with Sashastra Seema Bal (SSB) had undertaken a Grand Challenge on Strengthening Border Security entitled 'DRISHTI' (Development of Researc,meityhist_767b6da6815bc7f773f0 meitycall_533fd1397d9885d223d2 DRISHTI – SSB Grand Challenge on Strengthening Border Security MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub https://msh.meity.gov.in/program/mshcorporate/drishti HISTORICAL_CLOSED GRAND_CHALLENGE Defence & Border Security STARTUP STARTUP_DIRECT STANDALONE_OFFICIAL_HISTORICAL_CALL The official page states that MeitY and SSB had undertaken the DRISHTI Grand Challenge and describes the intended use of startup-developed solutions. Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > DRISHTI - SSB DRISHTI - SSB Background: MeitY in partnership with Sashastra Seema Bal (SSB) had undertaken a Grand Challenge on Strengthening Border Security entitled 'DRISHTI' (Development of Researched Indigenous Solutions – Hackathon for Technological Innovations) through MSH platform to identify impactful solutions from startups to address the problem statements identified by SSB with an overall outlay of Rs. 65 Lakh. It was envisaged to use the solutions developed by the start-ups to augmen,https://msh.meity.gov.in/program/mshcorporate/drishti,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,daf73c073af957c7bcc7134f030d8537102bd231c3af54e90cd64e4d0f36cac3
meity380_2a55c0736beab7bf7eff,Google Appscale Academy 2023,ACCELERATOR_COHORT,Dated cohort/call markers,0.84,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://msh.meity.gov.in/program/mshcorporate/googleappscale,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_AND_ECOSYSTEM,0.78,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,meitycall_a4a05a783de6e3478e54,False,meityev_279f063ddebdb552547e,"meityhist_09c6aff9b99b63092722 meitycall_a4a05a783de6e3478e54 Google Appscale Academy 2023 MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub https://msh.meity.gov.in/program/mshcorporate/googleappscale HISTORICAL_CLOSED 2023 ACCELERATOR_COHORT Digital Products & Mobile Applications STARTUP STARTUP_DIRECT STANDALONE_OFFICIAL_HISTORICAL_CALL The official page identifies the Class of 2023, states that the programme was executed, and records 100 startups selected from more than 950 applications. Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > GOOGLE APPSCALE ACADEMY 2023 IMPACT GOOGLE APPSCALE ACADEMY 2023 IMPACT Google Appscale Academy the Class of 2023, was executed with 100 startups selected from over 950 applications, represents a diver","meityhist_09c6aff9b99b63092722 meitycall_a4a05a783de6e3478e54 Google Appscale Academy 2023 MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub https://msh.meity.gov.in/program/mshcorporate/googleappscale HISTORICAL_CLOSED 2023 ACCELERATOR_COHORT Digital Products & Mobile Applications STARTUP STARTUP_DIRECT STANDALONE_OFFICIAL_HISTORICAL_CALL The official page identifies the Class of 2023, states that the programme was executed, and records 100 startups selected from more than 950 applications. Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > GOOGLE APPSCALE ACADEMY 2023 IMPACT GOOGLE APPSCALE ACADEMY 2023 IMPACT Google Appscale Academy the Class of 2023, was executed with 100 startups selected from over 950 applications, represents a diverse range of sectors, including education, health, social impact, gaming, agriculture, and more. These innovative startups have harnessed technology to address critical needs, making a tangible impact on society. Appscale Academy has been instrumental in training and mentoring early to mid-stage star",https://msh.meity.gov.in/program/mshcorporate/googleappscale,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,c6c7745100a2a50c51488429bbb664cde425bf1ada95ceb5fcff123966f17473
meity380_c514ac8a22eee69b1b43,Googleappscale,HACKATHON,Hackathon markers,0.91,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://msh.meity.gov.in/program/mshcorporate/googleappscale,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,meitycall_a4a05a783de6e3478e54,False,meityev_ef515c83eb37389bb503,"meitycall_a4a05a783de6e3478e54 Googleappscale https://msh.meity.gov.in/program/mshcorporate/googleappscale PUBLISHED 1 VERIFICATION_REQUIRED VALID_CALL_INSTANCE The evidence supports a distinct programme, challenge or hackathon identity, but current status and dates remain unverified. CALL_IDENTITY_ONLY False Rebuild as a historical or current call only after dates, applicant layer, page role and status are verified. 3","meitycall_a4a05a783de6e3478e54 Googleappscale https://msh.meity.gov.in/program/mshcorporate/googleappscale PUBLISHED 1 VERIFICATION_REQUIRED VALID_CALL_INSTANCE The evidence supports a distinct programme, challenge or hackathon identity, but current status and dates remain unverified. CALL_IDENTITY_ONLY False Rebuild as a historical or current call only after dates, applicant layer, page role and status are verified. 3",https://msh.meity.gov.in/program/mshcorporate/googleappscale,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,8fc33fb86ee9beea6af28dd31fdd396247e139fe2a44d56510d4743311b82a58
meity380_9e21a5ee4a964488f9dd,Inviting Applications Agrienics Grand Challenge,GRAND_CHALLENGE,Grand challenge markers,0.91,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,Current status requirements are incomplete,,,https://www.meity.gov.in/content/inviting-applications-agrienics-grand-challenge,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,PARENT_REQUIRES_ADMIN_VERIFICATION,,,False,meityev_6ea11fc43306ed33cda0,,,https://www.meity.gov.in/content/inviting-applications-agrienics-grand-challenge,PARENT_UNRESOLVED,CALL_OR_CHALLENGE_REVIEW,False,False,d13bb60b4ffb7d76db81556fe718d96f82c9a7749082778ea52394b0310bfcb5
meity380_c91d338b4e9ceb62bb73,Advancing India’s Startup Ecosystem: MeitY Startup Hub & Razorpay Partnership,RESULT_ANNOUNCEMENT,Official result/winner markers,0.94,CALL_EVENT,HISTORICAL_CLOSED,HISTORICAL_CLOSED,Result/notice role,2023-03-29,2023-03-29,https://msh.meity.gov.in/program/mshcorporate/razorpaypartnership,https://msh.meity.gov.in/about/applyforthelogo,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.93,,,,RELATED_CALL_REQUIRES_ADMIN_VERIFICATION,,,False,meityev_fdcbbebf24f2144180f7,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 PROGRAMS > MSH CORPORATE > RAZORPAY PAR",http://ict-ipr.in/;https://bhashini.gov.in/;https://data.gov.in/;https://dic.gov.in/;https://digitalindia.gov.in/;https://ism.gov.in/;https://meity.dashboard.nic.in/;https://msh.meity.gov.in/;https://msh.meity.gov.in/about/applyforthelogo;https://msh.meity.gov.in/about/contactus;https://msh.meity.gov.in/about/mshlogousageguidelines;https://msh.meity.gov.in/about/newsletter;https://msh.meity.gov.in/about/organisationprofile;https://msh.meity.gov.in/about/team;https://msh.meity.gov.in/booking/coworking;https://msh.meity.gov.in/booking/equipment;https://msh.meity.gov.in/booking/guesthouse;https://msh.meity.gov.in/booking/lab;https://msh.meity.gov.in/career;https://msh.meity.gov.in/event-partner,RELATED_CALL_UNRESOLVED,HISTORICAL_RESULT_OR_NOTICE,False,False,05840c0d84d1c6aed74f7e43159e8a96e1e148c64f6d044305e4b4d3e5343d59
meity380_8d99f90472ae2fcffccf,Investment Playbook For Startup Incubators Final,RESULT_ANNOUNCEMENT,Official result/winner markers,0.94,CALL_EVENT,HISTORICAL_CLOSED,HISTORICAL_CLOSED,Result/notice role,,,https://msh.meity.gov.in/assets/Investment_Playbook_for_Startup_Incubators_FINAL.pdf,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.98,,,,RELATED_CALL_REQUIRES_ADMIN_VERIFICATION,,,False,meityev_e0b17052a16ca0c23c55,"© December 2025 MeitY Startup Hub, IIT Bombay, ISBA Knowledge and Resource Centre INCUBATION FUND MANAGEMENT Investment Playbook for Startup Incubators AUTHORS Dr. Panneerselvam Madangopal Poyni Bhatt Prof. Rohan Chinchwadkar December 2025 2 About The Authors: Dr. Panneersel vam Madangopal is CEO of MeitY Startup Hub and Director – Digital India Program of Ministry of Electronic and Information Technology, Government of India. His core expertise is in innovation management, business strategy and ecosystem building. He is also an educator in the domain of innovation and entrepreneurship. Poyni Bhatt is a founding team member and former CEO of SINE, the technology business incubator at IIT Bombay. She has mentored more than 250 startups within and outside SINE. She has also contributed to various central and state government departments in shaping their entrepreneurship programs. She is an","© December 2025 MeitY Startup Hub, IIT Bombay, ISBA Knowledge and Resource Centre INCUBATION FUND MANAGEMENT Investment Playbook for Startup Incubators AUTHORS Dr. Panneerselvam Madangopal Poyni Bhatt Prof. Rohan Chinchwadkar December 2025 2 About The Authors: Dr. Panneersel vam Madangopal is CEO of MeitY Startup Hub and Director – Digital India Program of Ministry of Electronic and Information Technology, Government of India. His core expertise is in innovation management, business strategy and ecosystem building. He is also an educator in the domain of innovation and entrepreneurship. Poyni Bhatt is a founding team member and former CEO of SINE, the technology business incubator at IIT Bombay. She has mentored more than 250 startups within and outside SINE. She has also contributed to various central and state government departments in shaping their entrepreneurship programs. She is an Advisor- Knowledge and Resource Centre of Indian STEP & Business Incubator Association. A qualified legal and compliance professional, she has an experience of nearly three decades in industry and academia. Prof. Rohan Chinchwadkar is an Assistant Professor of Finance at the Shailesh J. Mehta Schoo",https://msh.meity.gov.in/assets/Investment_Playbook_for_Startup_Incubators_FINAL.pdf,RELATED_CALL_UNRESOLVED,HISTORICAL_RESULT_OR_NOTICE,False,False,9a547aadde7e293fb7c187a3c69d080c7c71d07fe809a9db547f70317ae66bc4
meity380_e0242ae0fe77441f5973,List Of Selected Startups In Xr Program,RESULT_ANNOUNCEMENT,Official result/winner markers,0.94,CALL_EVENT,HISTORICAL_CLOSED,HISTORICAL_CLOSED,Result/notice role,,,https://msh.meity.gov.in/program/assets/List-of-selected-Startups-in-XR-Program.pdf,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,RELATED_CALL_REQUIRES_ADMIN_VERIFICATION,,,False,meityev_7bfe5b2b7ad47699c315,,,https://msh.meity.gov.in/program/assets/List-of-selected-Startups-in-XR-Program.pdf,PYPDF_FAILED:PdfStreamError;PYPDF2_FAILED:ModuleNotFoundError;PYMUPDF_UNAVAILABLE:ModuleNotFoundError;IMAGE_ONLY_OR_UNREADABLE_PDF;RELATED_CALL_UNRESOLVED,HISTORICAL_RESULT_OR_NOTICE,False,False,d020b73fe0c880d7a7d942c04d7da8db2379d5058c6104ed48ddd3ae3af6763b
meity380_45fcb452a47415cc5e5a,The Summit,RESULT_ANNOUNCEMENT,Official result/winner markers,0.94,CALL_EVENT,HISTORICAL_CLOSED,HISTORICAL_CLOSED,Result/notice role,,,https://msh.meity.gov.in/g20dia/the-summit,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.79,,,,RELATED_CALL_REQUIRES_ADMIN_VERIFICATION,,meitycall_8d44c653724d98cb049d,False,meityev_11ca533254a8c710358a,"meitycall_8d44c653724d98cb049d The Summit MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/g20dia/the-summit VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False The Summit Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN G20 DIA > The Summit Conference The 3-day Conference at the G20 Digital Innovation Alliance Summit is set to be a convergence of innovation, collaboration, and transformative ideas under the central event theme- 'Driving Digital Innovation for World Economies'. Bringing to","meitycall_8d44c653724d98cb049d The Summit MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/g20dia/the-summit VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False The Summit Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN G20 DIA > The Summit Conference The 3-day Conference at the G20 Digital Innovation Alliance Summit is set to be a convergence of innovation, collaboration, and transformative ideas under the central event theme- 'Driving Digital Innovation for World Economies'. Bringing together start-ups, Central & State government agencies, corporates, research and development institutions, and academia from G20 member countries and 9 guest countries, the conference will serve as a platform for global digital advancements. Key Focus Sectors Winner of G20-DIA Global Pitching Edtech ",https://msh.meity.gov.in/g20dia/the-summit,RELATED_CALL_UNRESOLVED,HISTORICAL_RESULT_OR_NOTICE,False,False,97b284f6063aeb5766856564164513b74c520dd0a947d04d3154e7a9436ae882
