canonical_name,original_canonical_name,entity_type,source_entity_type,record_kind,application_status,programme_status,opening_date,closing_date,official_page_url,application_url,source,ministry,implementing_agency,startup_relevance,parent_master_id,parent_scheme_name,parent_resolution,existing_master_id,existing_public_record,identity_family,disposition,decision_reason,document_role,source_candidate_id,source_candidate_ids,source_candidate_count,source_evidence_id,evidence_ids,source_titles,source_urls,evidence_excerpt,status_evidence,quality_flags,publication_eligible,apply_action_allowed
CREST Semiconductor Accelerator,Micron,ACCELERATOR_PROGRAMME,PERMANENT_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/program/mshcorporate/micron,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,,,NOT_APPLICABLE,meitycall_0c7011d0b31e008b13b8,False,CREST Semiconductor Accelerator,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_1d567fedb2b3d9b772e1,meity380_1d567fedb2b3d9b772e1,1,meityev_1aa0cb504e075af257d9,meityev_1aa0cb504e075af257d9,Micron,https://msh.meity.gov.in/program/mshcorporate/micron,"meitycall_0c7011d0b31e008b13b8 Micron https://msh.meity.gov.in/program/mshcorporate/micron PUBLISHED 1 VERIFICATION_REQUIRED UNRESOLVED The available evidence is insufficient to determine whether this is a call, programme, event or directory. REQUIRES_MANUAL_REVIEW False Inspect the official page and assign a governed entity type before any republication. 3","meitycall_0c7011d0b31e008b13b8 Micron https://msh.meity.gov.in/program/mshcorporate/micron PUBLISHED 1 VERIFICATION_REQUIRED UNRESOLVED The available evidence is insufficient to determine whether this is a call, programme, event or directory. REQUIRES_MANUAL_REVIEW False Inspect the official page and assign a governed entity type before any republication. 3",,False,False
GENESIS,GENESIS,PERMANENT_PROGRAMME,GRANT_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/genesis,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,,,NOT_APPLICABLE,94f8ab0a070a6ff15fce,True,GENESIS,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_bebdb10bf2e3e7651c6c,meity380_50b807ed2cbbfa704711;meity380_9f23631668c609262540;meity380_bebdb10bf2e3e7651c6c,3,meityev_55a9d5e385b14e68cdbd,meityev_28052187115f5e02f573;meityev_55a9d5e385b14e68cdbd;meityev_8f356436311e758bf01c,GENESIS;Genesis,https://msh.meity.gov.in/schemes/genesis,"MEITY-94f8ab0a070a6ff15fce-a5e591ff4c69 94f8ab0a070a6ff15fce GENESIS GENESIS MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) SCHEME PERMANENT_SCHEME ADD false true https://msh.meity.gov.in/schemes/genesis https://msh.meity.gov.in/schemes/genesis NO_CURRENT_APPLICATION_ROUTE UMBRELLA_SCHEME_INFORMATION_AVAILABLE APPLICATION_STATUS_REQUIRES_VERIFICATION DPIIT-registered startup; at least 51% Indian promoter shareholding at application; additional component-specific selection requirements apply. Support may include early-stage funding up to INR 10 lakh, pilot/investment support up to INR 50 lakh, and deep-tech support up to INR 1 crore, subject to component rules. PASS PASS APPROVE cae05b8ed60836fe3813daa36ff7fb3398b79be844aa3c78f97325ca8903240c a5e591ff4c6961af2aa20a3bb0f9a47b31b18156be5274543e22b4be924","MEITY-94f8ab0a070a6ff15fce-a5e591ff4c69 94f8ab0a070a6ff15fce GENESIS GENESIS MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) SCHEME PERMANENT_SCHEME ADD false true https://msh.meity.gov.in/schemes/genesis https://msh.meity.gov.in/schemes/genesis NO_CURRENT_APPLICATION_ROUTE UMBRELLA_SCHEME_INFORMATION_AVAILABLE APPLICATION_STATUS_REQUIRES_VERIFICATION DPIIT-registered startup; at least 51% Indian promoter shareholding at application; additional component-specific selection requirements apply. Support may include early-stage funding up to INR 10 lakh, pilot/investment support up to INR 50 lakh, and deep-tech support up to INR 1 crore, subject to component rules. PASS PASS APPROVE cae05b8ed60836fe3813daa36ff7fb3398b79be844aa3c78f97325ca8903240c a5e591ff4c6961af2aa20a3bb0f9a47b31b18156be5274543e22b4be92469773",ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
MathWorks Startup Program,Mathworks,ACCELERATOR_PROGRAMME,PERMANENT_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/program/mshcorporate/mathworks,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,,,NOT_APPLICABLE,meitycall_c53a5b2578e3b03d7291,False,MathWorks Startup Program,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_e6f6f0d882a384cc8680,meity380_e6f6f0d882a384cc8680,1,meityev_3dac9a0a2fa0a8512869,meityev_3dac9a0a2fa0a8512869,Mathworks,https://msh.meity.gov.in/program/mshcorporate/mathworks,meitycall_c53a5b2578e3b03d7291 Mathworks https://msh.meity.gov.in/program/mshcorporate/mathworks PERMANENT_PARTNERSHIP_PROGRAMME MathWorks page describes an ongoing partnership benefit without a dated call instance. False,meitycall_c53a5b2578e3b03d7291 Mathworks https://msh.meity.gov.in/program/mshcorporate/mathworks PERMANENT_PARTNERSHIP_PROGRAMME MathWorks page describes an ongoing partnership benefit without a dated call instance. False,,False,False
SAMRIDH,SAMRIDH,ACCELERATOR_PROGRAMME,ACCELERATOR_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/samridh,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_AND_ECOSYSTEM,,,NOT_APPLICABLE,,False,SAMRIDH,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_bed083e35b84c665de04,meity380_79f29285e5756679d412;meity380_bed083e35b84c665de04,2,meityev_75896f4ac47cb3a758a1,meityev_75896f4ac47cb3a758a1;meityev_aede414fea6e8df35cab,SAMRIDH,https://msh.meity.gov.in/schemes/samridh,41cf9bc59e6007d4c6ec2377 66d6230a6ecf9c5be6d5e12f 1d87b1fba4c754a5fda15edb 147173e17ea741687247 SAMRIDH https://msh.meity.gov.in/schemes/samridh https://msh.meity.gov.in/schemes/samridh 200 msh.meity.gov.in Google Chrome C:\Program Files\Google\Chrome\Application\chrome.exe 1.61.0 MeityStartupHub 2159 visible_text:startup accelerator of meity for product innovation development and growth VERIFIED_INFORMATION_PAGE 0.98 True COMPLETED 18 2026-07-13T09:18:57+00:00,41cf9bc59e6007d4c6ec2377 66d6230a6ecf9c5be6d5e12f 1d87b1fba4c754a5fda15edb 147173e17ea741687247 SAMRIDH https://msh.meity.gov.in/schemes/samridh https://msh.meity.gov.in/schemes/samridh 200 msh.meity.gov.in Google Chrome C:\Program Files\Google\Chrome\Application\chrome.exe 1.61.0 MeityStartupHub 2159 visible_text:startup accelerator of meity for product innovation development and growth VERIFIED_INFORMATION_PAGE 0.98 True COMPLETED 18 2026-07-13T09:18:57+00:00,CLOSING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
SASACT,SASACT,PERMANENT_PROGRAMME,PERMANENT_SCHEME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/sasact,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,,,NOT_APPLICABLE,194b7ba77d6b53f30b91,True,SASACT,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_84d33ad7fb1d355f74ea,meity380_84d33ad7fb1d355f74ea;meity380_d47c6b4d57eede032edc,2,meityev_cf63b567f2965090d9ef,meityev_cf63b567f2965090d9ef;meityev_e264bdec8027c20fc8e9,SASACT,https://msh.meity.gov.in/schemes/sasact,194b7ba77d6b53f30b91 meity_1c5c50d5e86fc876d0b3 SASACT Scheme for Accelerating Startups around Post-COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact VERIFIED_PERMANENT_SCHEME_IDENTITY true MEITY_SCHEME_SASACT 3 https://msh.meity.gov.in/schemes/sasact HISTORICAL_SCHEME_INFORMATION_AVAILABLE HISTORICAL_INFORMATION_ONLY 4 NOT_PUBLISHED,194b7ba77d6b53f30b91 meity_1c5c50d5e86fc876d0b3 SASACT Scheme for Accelerating Startups around Post-COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact VERIFIED_PERMANENT_SCHEME_IDENTITY true MEITY_SCHEME_SASACT 3 https://msh.meity.gov.in/schemes/sasact HISTORICAL_SCHEME_INFORMATION_AVAILABLE HISTORICAL_INFORMATION_ONLY 4 NOT_PUBLISHED,ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
TIDE 2.0,TIDE 2.0,INCUBATION_PROGRAMME,INCUBATION_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/tide,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,,,NOT_APPLICABLE,,False,TIDE 2.0,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_23d6c604911a8f7a77fa,meity380_23d6c604911a8f7a77fa;meity380_e737318caeca3a516b80,2,meityev_a677d4847a9fbfb6d39a,meityev_669e2128ebc52986e42b;meityev_a677d4847a9fbfb6d39a,TIDE 2.0,https://msh.meity.gov.in/schemes/tide,"6af79cf6c8a213dddce8 TIDE 2.0 TIDE 2.0 SCHEME Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) Innovation and IPR Division, MeitY, in association with 51 incubation centres MeitY Startup Hub (MSH) HISTORICAL_INFORMATION_ONLY NO_CURRENT_APPLICATION_ROUTE_CONFIRMED Promote technology entrepreneurship through financial and technical support to incubators supporting ICT and emerging-technology startups addressing areas of societal relevance. The approved implementation model operated through designated incubation centres at institutes of higher learning and research organisations. Downstream support was intended for technology startups and entrepreneurs working with emerging technologies in approved thematic areas. No current application eligibility or open application window has been verified. Designated incubation centres","6af79cf6c8a213dddce8 TIDE 2.0 TIDE 2.0 SCHEME Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) Innovation and IPR Division, MeitY, in association with 51 incubation centres MeitY Startup Hub (MSH) HISTORICAL_INFORMATION_ONLY NO_CURRENT_APPLICATION_ROUTE_CONFIRMED Promote technology entrepreneurship through financial and technical support to incubators supporting ICT and emerging-technology startups addressing areas of societal relevance. The approved implementation model operated through designated incubation centres at institutes of higher learning and research organisations. Downstream support was intended for technology startups and entrepreneurs working with emerging technologies in approved thematic areas. No current application eligibility or open application window has been verified. Designated incubation centres, technology entrepreneurs and ICT or emerging-technology startups supported through those centres. Idea to proof of concept through Entrepreneur-in-Residence support; prototype development through grants; and product development or market outreach through investment support. Financial and technical",CLOSING_DATE_CONTEXT_NOT_PROVEN;OPENING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
XR Startup Program,Xr Startup Program,ACCELERATOR_PROGRAMME,ACCELERATOR_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/program/mshcorporate/xr-startup-program,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,,,NOT_APPLICABLE,meitycall_2f886d6194cb0b281a16,False,XR Startup Program,PURIFIED_PROGRAMME_FAMILY,Evidence consolidated into a known permanent programme family.,,meity380_2b210dff922968dc1524,meity380_2b210dff922968dc1524,1,meityev_c47ccb479ae1c78be1a2,meityev_c47ccb479ae1c78be1a2,Xr Startup Program,https://msh.meity.gov.in/program/mshcorporate/xr-startup-program,"meitycall_2f886d6194cb0b281a16 Xr Startup Program MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/xr-startup-program VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Xr Startup Program Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN Shortlisted Startups XR Startup Program A program to discover, nurture, and accelerate XR technology startups across India. About the program XR Startup Program is a collaboration between Meta and MeitY Startup Hub (MSH). The program a","meitycall_2f886d6194cb0b281a16 Xr Startup Program MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/xr-startup-program VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Xr Startup Program Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN Shortlisted Startups XR Startup Program A program to discover, nurture, and accelerate XR technology startups across India. About the program XR Startup Program is a collaboration between Meta and MeitY Startup Hub (MSH). The program aims to accelerate India’s contribution towards building the foundations of the metaverse and nurturing the development of Extended Reality (XR) technologies in India. The metaverse is the next generation of the internet. It will be a set of digital spaces, including 3D experiences that are all inter",,False,False
BHUMI – BSF Border Security Hackathon,Bhumi,HACKATHON,HACKATHON,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/program/mshcorporate/bhumi,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,meitycall_2f886d6194cb0b281a16,Xr Startup Program,MATCHED_EXISTING_PROGRAMME,meitycall_a95e53af41b5c53999cf,False,BHUMI – BSF Border Security Hackathon,PURIFIED_CALL_OR_CHALLENGE,Known challenge/hackathon family; not a permanent scheme.,,meity380_94bf8d81056f9d9c5192,meity380_8614c5782161d16c9ed0;meity380_94bf8d81056f9d9c5192,2,meityev_09611861e39a9da2dafa,meityev_09611861e39a9da2dafa;meityev_50bd2f238812171aeb6e,BHUMI – BSF Border Security Hackathon;Bhumi,https://msh.meity.gov.in/program/mshcorporate/bhumi,"meitycall_a95e53af41b5c53999cf Bhumi MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/bhumi VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Bhumi Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > BHUMI – BSF BHUMI – BSF Background: To leverage the innovations created by the Indian entrepreneurs and to build on the mission of Atmanirbhar Bharat, Border Security Forces (BSF) seeks to organize Hackathons with Indian startups and premier Insti","meitycall_a95e53af41b5c53999cf Bhumi MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/bhumi VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Bhumi Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > BHUMI – BSF BHUMI – BSF Background: To leverage the innovations created by the Indian entrepreneurs and to build on the mission of Atmanirbhar Bharat, Border Security Forces (BSF) seeks to organize Hackathons with Indian startups and premier Institutions for cost effective solutions to strengthen the border security scenario. In compliance to the directions, Ministry of Electronics & IT Startup Hub (MeitY Startup Hub) is collaborating with BSF to provide access to the platform, resources, startups, and institutions which can be engaged in th",PARENT_UNRESOLVED;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
DRISHTI – SSB Grand Challenge on Strengthening Border Security,Drishti,GRAND_CHALLENGE,GRAND_CHALLENGE,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/program/mshcorporate/drishti,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,meitycall_2f886d6194cb0b281a16,Xr Startup Program,MATCHED_EXISTING_PROGRAMME,meitycall_533fd1397d9885d223d2,False,DRISHTI – SSB Grand Challenge on Strengthening Border Security,PURIFIED_CALL_OR_CHALLENGE,Known challenge/hackathon family; not a permanent scheme.,,meity380_2c9c3c37e1feb8646d16,meity380_2c9c3c37e1feb8646d16;meity380_5a3f2094107fd24c805a;meity380_ad68af5a09f81689d5d5,3,meityev_9fb8ffb8ab71609110cc,meityev_1a0a8edeba7b36a22789;meityev_666df4b00909d6ce3a8d;meityev_9fb8ffb8ab71609110cc,DRISHTI – SSB Grand Challenge on Strengthening Border Security;Drishti,https://msh.meity.gov.in/program/mshcorporate/drishti,meitycall_533fd1397d9885d223d2 Drishti MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/drishti VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Drishti Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > DRISHTI - SSB DRISHTI - SSB Background: MeitY in partnership with Sashastra Seema Bal (SSB) had undertaken a Grand Challenge on Strengthening Border Security entitled 'DRISHTI' (Development of Researched Indigenous Solutions – Hackathon for ,"meitycall_533fd1397d9885d223d2 Drishti MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/drishti VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Drishti Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > DRISHTI - SSB DRISHTI - SSB Background: MeitY in partnership with Sashastra Seema Bal (SSB) had undertaken a Grand Challenge on Strengthening Border Security entitled 'DRISHTI' (Development of Researched Indigenous Solutions – Hackathon for Technological Innovations) through MSH platform to identify impactful solutions from startups to address the problem statements identified by SSB with an overall outlay of Rs. 65 Lakh. It was envisaged to use the solutions developed by the start-ups to augment, improve and scale the Border security ",PARENT_UNRESOLVED;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
Google Appscale Academy 2023,Google Appscale Academy 2023 Impact,ACCELERATOR_COHORT,RESULT_ANNOUNCEMENT,APPLICATION_CALL,HISTORICAL_CLOSED,HISTORICAL_CLOSED,,,https://msh.meity.gov.in/program/mshcorporate/googleappscale,https://msh.meity.gov.in/about/applyforthelogo,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,,,LINKED_TO_CALL_CANDIDATE,meitycall_a4a05a783de6e3478e54,False,Google Appscale Academy 2023,PURIFIED_CALL_OR_CHALLENGE,Known challenge/hackathon family; not a permanent scheme.,,meity380_2cd816826189dd59f2ee,meity380_2a55c0736beab7bf7eff;meity380_2cd816826189dd59f2ee;meity380_575291188156ba0e29b1;meity380_c514ac8a22eee69b1b43,4,meityev_d6d3bc3ccbd8fe774541,meityev_279f063ddebdb552547e;meityev_30f94c3b7b18340ad237;meityev_d6d3bc3ccbd8fe774541;meityev_ef515c83eb37389bb503,Google Appscale Academy 2023;Google Appscale Academy 2023 Impact;Googleappscale,https://msh.meity.gov.in/program/mshcorporate/googleappscale,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 PROGRAMS > MSH CORPORATE > GOOGLE APPSC",PARENT_UNRESOLVED;OPENING_DATE_CONTEXT_NOT_PROVEN;CLOSING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False
