bundle_id,bundle_lane,bundle_action,bundle_title,bundle_child_order,child_id,input_category,source_evidence_weight,inferred_family,risk_score,priority,auto_resolution,canonical_name,original_canonical_name,entity_type,source_entity_type,record_kind,application_status,programme_status,opening_date,closing_date,official_page_url,application_url,startup_relevance,parent_master_id,parent_scheme_name,parent_resolution,existing_master_id,existing_public_record,disposition,decision_reason,document_role,source_candidate_id,source_candidate_ids,source_candidate_count,source_evidence_id,evidence_ids,source_titles,source_urls,evidence_excerpt,status_evidence,quality_flags,publication_eligible,apply_action_allowed
meitybundle_af621ed36ee3e3249ab8,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — DIRECTORY_OR_UNPARAMETERISED_ROUTE,1,meitychild_3c5d0e860a7d667049eb,excluded,1,GENESIS,40,HIGH,EXCLUDED_ERROR_OR_NAVIGATION,Title,Title,DIRECTORY_OR_LISTING,DIRECTORY_OR_LISTING,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,,,https://msh.meity.gov.in/whatsnew,https://msh.meity.gov.in/about/applyforthelogo,STARTUP_DIRECT,,,UNRESOLVED,,False,EXCLUDED_ERROR_OR_NAVIGATION,DIRECTORY_OR_UNPARAMETERISED_ROUTE,,meity380_a17ca5f0c66f59ae7fcc,,,meityev_feddbbb35888f0202b39,,,,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 WHAT'S NEW Title Info Published On Post",OPENING_DATE_CONTEXT_NOT_PROVEN;CLOSING_DATE_CONTEXT_NOT_PROVEN,False,False
meitybundle_c973ffb23dc24951625c,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,1,meitychild_d7d5a6f760635c53ebce,excluded,1,SAMRIDH,4,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,ACCELERATOR_COHORT,ACCELERATOR_COHORT,APPLICATION_CALL,CLOSED,CLOSED,,,https://msh.meity.gov.in/program/mshcorporate/micron,,STARTUP_DIRECT,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,meitycall_0c7011d0b31e008b13b8,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_dc4e01265e91f7f6c6ca,,,meityev_a7009dd6f8b73a2d569b,,,,"meity_449512a9f8c4292c6029 PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS https://msh.meity.gov.in/program/mshcorporate/micron https://msh.meity.gov.in/program/mshcorporate/micron https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:52:54+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > MICRON MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS MeitY Startup Hub (MSH) an independent division of the Ministry of Electronics & Information Technology (MeitY), Government of India in p","meity_449512a9f8c4292c6029 PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS https://msh.meity.gov.in/program/mshcorporate/micron https://msh.meity.gov.in/program/mshcorporate/micron https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:52:54+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > MICRON MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS MeitY Startup Hub (MSH) an independent division of the Ministry of Electronics & Information Technology (MeitY), Government of India in partnership with Micron and PIEDS, the Technology Business Incubator and Center for Research Excellence in Semiconductor Technologies (CREST) of BITS Pilani announced today the launch of CREST accelerator program for startups in Semiconductor domain. The accelerator program will curate a cohort of st",CLOSING_DATE_CONTEXT_NOT_PROVEN,False,False
meitybundle_7def7fdfdd80353d1fb3,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,1,meitychild_84824db639d6307e8439,excluded,1,SASACT,9,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,ACCELERATOR_PROGRAMME,ACCELERATOR_PROGRAMME,SCHEME_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,,,https://msh.meity.gov.in/schemes/sasact,,STARTUP_DIRECT,,,NOT_APPLICABLE,194b7ba77d6b53f30b91,True,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_355f9b2a7761fbc972b9,,,meityev_b45946cf5a665760b148,,,,"meity_1c5c50d5e86fc876d0b3 SCHEME_MASTER_CANDIDATE 0.96 MeityStartupHub Scheme for Accelerating Startups around Post COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact https://msh.meity.gov.in/schemes/sasact seed STATUS_REQUIRES_VALIDATION 200 text/html 0 0 44 0 0 True OFFICIAL_SCHEME_PATH False 0.0 2026-07-13T06:51:37+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN SCHEMES > SASACT Scheme for Accelerating Startups around Post COVID Technology Opportunities (SASACT) MeitY had launched SASACT (Scheme for Accelerating Start-ups Around post-COVID Technology) programme to support electronics hardware/ ICT based tech entrepreneurial initiatives of startups for developing or re-purposing technologies, tools, systems, solutions to respond to the post COVID-19 scenario emerging in","meity_1c5c50d5e86fc876d0b3 SCHEME_MASTER_CANDIDATE 0.96 MeityStartupHub Scheme for Accelerating Startups around Post COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact https://msh.meity.gov.in/schemes/sasact seed STATUS_REQUIRES_VALIDATION 200 text/html 0 0 44 0 0 True OFFICIAL_SCHEME_PATH False 0.0 2026-07-13T06:51:37+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN SCHEMES > SASACT Scheme for Accelerating Startups around Post COVID Technology Opportunities (SASACT) MeitY had launched SASACT (Scheme for Accelerating Start-ups Around post-COVID Technology) programme to support electronics hardware/ ICT based tech entrepreneurial initiatives of startups for developing or re-purposing technologies, tools, systems, solutions to respond to the post COVID-19 scenario emerging in the near horizon. Under the programme, eligible startups are being supported to augment and deploy into the market select technology products/ solutions within a span of 1 year. Key action areas being supported under the program are as smart/digital manufacturing including 3D printing, safety equip",CLOSING_DATE_CONTEXT_NOT_PROVEN;FOOTER_DATE_REMOVED,False,False
meitybundle_86e79e94d524724cbaf0,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,1,meitychild_c727c85767a59d73b8fb,excluded,1,SAMRIDH,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,APPLICATION_CALL,APPLICATION_CALL,APPLICATION_CALL,CLOSED,CLOSED,,,https://msh.meity.gov.in/program/coe,,RELEVANCE_REVIEW,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_684e5f93b238f3af47d2,,,meityev_f066beb76c3020eb5007,,,,meity_8d682638fca84a6421db PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub https://msh.meity.gov.in/program/coe https://msh.meity.gov.in/program/coe https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:54:02+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > COE Apply now Apply now Apply now Get to Know Terms & Conditions Sitemap Careers Feedback About Us Contact Us Grievance Blogs Forum Privacy Policy Faqs Stay Connected Number of Users Visited MSH 2.0 Portal: 606331 Useful Links MyGov MeitY MeitY Dashboard Digital India Corporation Open Government Data National e-Governance Division India Semiconductor Mission Digital India Bhashini Startup India NITI Aayog Subscribe MeitY Startup Hub is ,meity_8d682638fca84a6421db PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub https://msh.meity.gov.in/program/coe https://msh.meity.gov.in/program/coe https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:54:02+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > COE Apply now Apply now Apply now Get to Know Terms & Conditions Sitemap Careers Feedback About Us Contact Us Grievance Blogs Forum Privacy Policy Faqs Stay Connected Number of Users Visited MSH 2.0 Portal: 606331 Useful Links MyGov MeitY MeitY Dashboard Digital India Corporation Open Government Data National e-Governance Division India Semiconductor Mission Digital India Bhashini Startup India NITI Aayog Subscribe MeitY Startup Hub is legally registered as Independent Business Division(IBD) of Digital India Corporation. ©2023. All Rights Reserved. MeitY Startup Hub - Last Updated On : 13/07/2026,CLOSING_DATE_CONTEXT_NOT_PROVEN;FOOTER_DATE_REMOVED,False,False
meitybundle_86e79e94d524724cbaf0,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,2,meitychild_f45d4e23ad0b01cf7b32,excluded,1,SAMRIDH,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,APPLICATION_CALL,APPLICATION_CALL,APPLICATION_CALL,CLOSED,CLOSED,,,https://msh.meity.gov.in/programs/incubator,,STARTUP_AND_ECOSYSTEM,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_48cc0505ec0890daa504,,,meityev_1134915d8122f9185ba0,,,,meity_c72ac1cff3b0d3e2ca41 PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub https://msh.meity.gov.in/programs/incubator https://msh.meity.gov.in/programs/incubator https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:52:08+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > INCUBATOR Apply now Apply now Apply now Apply now Get to Know Terms & Conditions Sitemap Careers Feedback About Us Contact Us Grievance Blogs Forum Privacy Policy Faqs Stay Connected Number of Users Visited MSH 2.0 Portal: 606312 Useful Links MyGov MeitY MeitY Dashboard Digital India Corporation Open Government Data National e-Governance Division India Semiconductor Mission Digital India Bhashini Startup India NITI Aayog S,meity_c72ac1cff3b0d3e2ca41 PROGRAMME_MASTER_CANDIDATE 0.9 MeityStartupHub https://msh.meity.gov.in/programs/incubator https://msh.meity.gov.in/programs/incubator https://msh.meity.gov.in/schemes/samridh rendered_dom STATUS_REQUIRES_VALIDATION 200 text/html 1 0 43 0 0 True OFFICIAL_PROGRAMME_PATH False 0.0 2026-07-13T06:52:08+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > INCUBATOR Apply now Apply now Apply now Apply now Get to Know Terms & Conditions Sitemap Careers Feedback About Us Contact Us Grievance Blogs Forum Privacy Policy Faqs Stay Connected Number of Users Visited MSH 2.0 Portal: 606312 Useful Links MyGov MeitY MeitY Dashboard Digital India Corporation Open Government Data National e-Governance Division India Semiconductor Mission Digital India Bhashini Startup India NITI Aayog Subscribe MeitY Startup Hub is legally registered as Independent Business Division(IBD) of Digital India Corporation. ©2023. All Rights Reserved. MeitY Startup Hub - Last Updated On : 13/07/2026,CLOSING_DATE_CONTEXT_NOT_PROVEN;FOOTER_DATE_REMOVED,False,False
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,1,meitychild_bc850947cbfdcb8e1a76,excluded,1,MeityStartupHub,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,CHALLENGE_CALL,CHALLENGE_CALL,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/,,STARTUP_DIRECT,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_63f03d314ca77ad79dd0,,,meityev_ad8ea87a47e0cc14d8b8,,,,"meity_9f4b62e63e0b40e94b00 CALL_INSTANCE_CANDIDATE 0.78 MeityStartupHub 6 1 4 9 + https://msh.meity.gov.in/ https://msh.meity.gov.in/ seed CALL_STATUS_REQUIRES_DATE_VALIDATION 200 text/html 0 0 44 4 7 True https://api.meity.gov.in/editions/external/list; https://api.meity.gov.in/faqs; https://api.meity.gov.in/media/all?page=0; https://api.meity.gov.in/editions/list; https://api.meity.gov.in/successstory/list?page=0; https://api.meity.gov.in/partnership/list; https://api.meity.gov.in/news?page=0; https://api.meity.gov.in/pressrelease/active?page=0; https://api.meity.gov.in/resources/counts; https://api.meity.gov.in/home CALL_COHORT_CHALLENGE_SIGNAL True SCHEME_MASTER_CANDIDATE 0.7 The page contains information about various programs, resources, and initiatives related to the startup ecosystem, which suggests it might be a master page for schemes or programs. 2026-07-13T06:52:16+00:00 Skip","meity_9f4b62e63e0b40e94b00 CALL_INSTANCE_CANDIDATE 0.78 MeityStartupHub 6 1 4 9 + https://msh.meity.gov.in/ https://msh.meity.gov.in/ seed CALL_STATUS_REQUIRES_DATE_VALIDATION 200 text/html 0 0 44 4 7 True https://api.meity.gov.in/editions/external/list; https://api.meity.gov.in/faqs; https://api.meity.gov.in/media/all?page=0; https://api.meity.gov.in/editions/list; https://api.meity.gov.in/successstory/list?page=0; https://api.meity.gov.in/partnership/list; https://api.meity.gov.in/news?page=0; https://api.meity.gov.in/pressrelease/active?page=0; https://api.meity.gov.in/resources/counts; https://api.meity.gov.in/home CALL_COHORT_CHALLENGE_SIGNAL True SCHEME_MASTER_CANDIDATE 0.7 The page contains information about various programs, resources, and initiatives related to the startup ecosystem, which suggests it might be a master page for schemes or programs. 2026-07-13T06:52:16+00:00 Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN Click on the stats below to view details. STARTUPS 6 1 4 9 + INCUBATORS 5 1 8 + MENTORS 4 8 6 + ACCELERATORS 3 6 + COE 4 3 + LABS 3 2 9 + VENUE SPACES 7 6 + CO-WORKING SPACES",,False,False
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,2,meitychild_55d8d52f65f5f75416ab,excluded,1,MeityStartupHub,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,CHALLENGE_CALL,CHALLENGE_CALL,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/api/challenges,,RELEVANCE_REVIEW,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_6c6b2d5578e98833b2ee,,,meityev_92e98089950079ebe733,,,,MeityStartupHub,MeityStartupHub,,False,False
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,3,meitychild_512ebfa48c1e94179a0b,excluded,1,MeityStartupHub,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,CHALLENGE_CALL,CHALLENGE_CALL,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/api/v1/challenges,,RELEVANCE_REVIEW,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_17e4b43b8d9381f00e08,,,meityev_9ca80d5483f70482fdd9,,,,MeityStartupHub,MeityStartupHub,,False,False
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,4,meitychild_5913f21b7c86855815ae,excluded,1,MeityStartupHub,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,CHALLENGE_CALL,CHALLENGE_CALL,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/backend/api/challenges,,RELEVANCE_REVIEW,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_7251a9a428f765302225,,,meityev_a9cbab4354c7d370b0d5,,,,MeityStartupHub,MeityStartupHub,,False,False
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,ACCEPT_AUTOMATIC_EXCLUSIONS,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,5,meitychild_69b02bd57d206ff6e1ef,excluded,1,MeityStartupHub,0,LOW,EXCLUDED_ERROR_OR_NAVIGATION,MeityStartupHub,MeityStartupHub,CHALLENGE_CALL,CHALLENGE_CALL,APPLICATION_CALL,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,,,https://msh.meity.gov.in/challenges/home,,RELEVANCE_REVIEW,,MeityStartupHub,MATCHED_DISCOVERED_PROGRAMME,,False,EXCLUDED_ERROR_OR_NAVIGATION,GENERIC_OR_PORTAL_TITLE,,meity380_1df78bc883483c0526a7,,,meityev_f71f5e6b4d9b05942aa9,,,,MeityStartupHub,MeityStartupHub,,False,False
