master_id,scheme_code,canonical_name,record_kind,source,ministry,department,implementing_agency,ownership_scope,geographic_scope,category,support_type,applicant_layer,startup_relevance,target_beneficiaries,description,benefit_summary,eligibility,official_page_url,application_url,reference_urls,status_basis,status_evidence,programme_status,application_status,last_verified_at,warnings,publication_decision,decision_reasons,evidence_confidence
mymsme_international_cooperation,INTERNATIONAL_COOPERATION,International Cooperation,PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,SME Division,,UNION_DIRECTORY_RECORD,India,Market Access,Assistance,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,MSMEs and eligible organisations,International cooperation support for MSME participation and collaboration,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_3_0.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_3_0.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_marketing_assistance,MARKETING_ASSISTANCE,Marketing Assistance Scheme,PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,SME Division,,UNION_DIRECTORY_RECORD,India,Market Access,Assistance,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,MSMEs and eligible organisations,Marketing assistance information for MSME market participation,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_3_2.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_3_2.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_iso_reimbursement,ISO_CERTIFICATION_REIMBURSEMENT,ISO 9000/ISO 14001 Certification Reimbursement,SCHEME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,Development Commissioner (MSME),Office of the Development Commissioner (MSME),UNION_DIRECTORY_RECORD,India,Technology & Quality,Reimbursement,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,Micro and small enterprises,Reimbursement support information for ISO certification,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_2.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_2.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_micro_finance_programme,MICRO_FINANCE_PROGRAMME,Micro Finance Programme,PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,Development Commissioner (MSME),,UNION_DIRECTORY_RECORD,India,Credit & Finance,Credit Support,GENERAL_ENTERPRISE_SERVICE,STARTUP_AND_MSME_SUPPORT,Micro and small enterprises,Micro finance programme information for underserved MSME areas,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_4.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_4.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_market_development_assistance,MDA_MSME,MSME Market Development Assistance (MDA),PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,Development Commissioner (MSME),Office of the Development Commissioner (MSME),UNION_DIRECTORY_RECORD,India,Market Access,Assistance,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,Micro and small enterprises,Market development assistance information for MSME participation in exhibitions and fairs,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_5.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_5.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_national_awards,NATIONAL_AWARDS_MSE,National Awards (Individual MSEs),PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,Development Commissioner (MSME),Office of the Development Commissioner (MSME),UNION_DIRECTORY_RECORD,India,Recognition,Award,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,Individual micro and small enterprises,National award information recognising MSME quality innovation exports and enterprise progress,Recognition details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_6.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_6.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; award window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_nmcp,NMCP,National Manufacturing Competitiveness Programme,PROGRAMME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,Development Commissioner (MSME),Office of the Development Commissioner (MSME),UNION_DIRECTORY_RECORD,India,Technology & Quality,Programme,DIRECT_MSME_SUPPORT,STARTUP_AND_MSME_SUPPORT,Micro small and medium enterprises,Umbrella information page for manufacturing competitiveness components including quality lean design IPR and incubation,Component details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/NMCP.htm,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/NMCP.htm,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent umbrella information record; components are not duplicated as calls.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_performance_credit_rating,PERFORMANCE_CREDIT_RATING,Performance and Credit Rating,SCHEME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,NSIC,National Small Industries Corporation,UNION_DIRECTORY_RECORD,India,Credit & Finance,Credit Support,GENERAL_ENTERPRISE_SERVICE,STARTUP_AND_MSME_SUPPORT,Micro and small enterprises,Third party performance and credit-worthiness rating support information for MSEs,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_0.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_0.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_raw_material_assistance,RAW_MATERIAL_ASSISTANCE,Raw Material Assistance,SCHEME,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,NSIC,National Small Industries Corporation,UNION_DIRECTORY_RECORD,India,Credit & Finance,Credit Support,GENERAL_ENTERPRISE_SERVICE,STARTUP_AND_MSME_SUPPORT,Micro and small enterprises,Finance support information for indigenous and imported raw material purchases,Support details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_2.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_2.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
mymsme_infomediary_services,INFOMEDIARY_SERVICES,Infomediary Services,GOVERNMENT_SERVICE,MyMSME Portal,Ministry of Micro Small and Medium Enterprises,NSIC,National Small Industries Corporation,UNION_DIRECTORY_RECORD,India,Digital Initiatives,Information,GENERAL_ENTERPRISE_SERVICE,GENERAL_ENTERPRISE_SERVICE,Micro and small enterprises,Information services covering business technology and finance support for SMEs,Service details are described on the official MyMSME page,See official MyMSME detail page,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_4.html,,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/MSME_Scheme.htm|https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/1_2_4.html,Official MyMSME detail page,Current status is not stated on the portal; retained as information-only and no open call is inferred.,STATUS_UNVERIFIED,STATUS_UNVERIFIED,2026-07-22,Permanent information record; application window not verified.,AUTO_APPROVED,Canonical identity and official MyMSME detail page verified.,0.90
