row_number,master_id,name,record_role,startup_relevance,relevance_score,sector,sector_confidence,sector_review_required,governance_decision,duplicate_of
1,2fcf4cfd53ae3826cf8c,Bio-AI / BioE3 Mulankur Hubs,MANUAL_ROLE_REVIEW,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
2,4dffaf1021d344e091ab,Startup India Seed Fund Scheme (SISFS),SCHEME_OR_PROGRAMME,POSSIBLY_RELEVANT,45,Cross-sector Innovation & Entrepreneurship,0.86,False,MANUAL_REVIEW,
3,c684dceb539277134b92,Credit Guarantee Scheme for Startups (CGSS),SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,65,Cross-sector MSME & Startup Finance,0.99,False,PUBLISH_SCHEME,
4,f60669191ee8384cbb3f,Grand Challenges India (GCI),CALL_INSTANCE,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,PUBLISH_CALL_SEPARATELY,
5,b1_d609e0f5ca82fb6e6416,Schemes,CATEGORY_OR_INDEX_PAGE,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
6,b1_a02a958be1d45a9fabaa,Startup India Fund Of Funds 2.0 Scheme.Pdf,SUPPORTING_DOCUMENT,POSSIBLY_RELEVANT,45,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
7,b1_1692cd16d54709c21f57,Startup Schemes Playbook June 2026.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
8,b1_0ef15a88db817bcdd2b9,Sitemap.Xml,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
9,b1_bcfa2541b23572c907ee,Schemes.Aspx,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE_DUPLICATE,b1_d609e0f5ca82fb6e6416
10,b1_0d0b5796ed528f890f2d,Sitemap.Xml,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE_DUPLICATE,b1_0ef15a88db817bcdd2b9
11,b1_1259aff904001b93e80c,myScheme,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
12,b1_98664c06a5f9d1eee056,Distressed Assets Fund.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
13,b1_a4ddb9b174444c0cb2a3,Msme Launches Another Funding Scheme To Help The Distressed Msme Sector.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,30,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
14,b1_5a9643aad62a6ba1e2e0,Flipbookenglishschemebooklet.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
15,b1_c2e9280b037e84eb773b,NTSC Aligarh | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
16,b1_ecffdf887de65cf27442,NTSC Chennai | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
17,b1_792f62c29d5374694d71,"NTSC Neemka, Faridabad | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
18,b1_f58742201a34325794e5,"NTSC Howrah, West Bengal | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industri",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
19,b1_e29a386a8de323617ac8,"NTSC Hyderabad, Telangana | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industr",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
20,b1_9647c41fe292f05075fe,Material Testing Labs | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries,FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
21,b1_adcc80ebc251c5699fd3,"NTSC Okhla, New Delhi | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
22,b1_59487b4496e888df24a8,"NTSC Rajkot, Gujarat | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries C",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
23,b1_3de6025f3c9464f01990,"NTSC Rajpura, Punjab |NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Co",FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,20,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
24,b1_ee767f73e3c7dc192c82,Angel And Venture Funding.Html,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
25,b1_08b10de5b708d93fcf97,Incubationsupport.Html,GENERIC_WEB_PAGE,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
26,b1_3384419c8227bfb23274,Seedfundingsupport.Html,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
27,b1_45684abc149163279b88,Government Schemes.Html,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
28,b1_b1347dfef953b2f37cb9,Search.Html,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
29,b1_196ff6953f2be52364bb,International.Html,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
