master_id,scheme_name,source,ministry,department,implementing_agency,parent_master_id,parent_scheme_name,applicant_layer,implementation_role,status_basis,status_evidence,last_verified_at,record_kind,programme_status,application_status,geographic_scope,catalogue_inclusion,catalogue_section,publication_status,is_public,current_location,current_review_status,current_decision,official_page_url,application_url,opening_date,closing_date,validation_score,currency,funding_minimum,funding_maximum,funding_amount_status,funding_amount_optional,funding_evidence,beneficiary_support_minimum,beneficiary_support_maximum,intermediary_support_maximum,scheme_corpus,objectives,eligibility,benefits,application_process,required_documents,sectors,scheme_types,target_beneficiaries,startup_stage,guideline_urls,reference_urls,verified_public_actions,contacts,warnings,recommended_actions,decision_reasons,last_updated,search_blob
dst_call_ad97ef5a54f5ff3da99f,1st Open Call under RDI Fund through TDB as Second-Level Fund Manager,DST,Ministry of Science and Technology,Department of Science and Technology (DST),Technology Development Board,dst_programme_rdif,Research Development and Innovation Fund,DIRECT_BENEFICIARY,SECOND_LEVEL_FUND_MANAGER,EXPLICIT_OFFICIAL_APPLY_ROUTE,The official TDB RDIF-SLFM page displays an active Apply Now link to the RDIF registration portal; the TDB page was last updated on 08/07/2026.,2026-07-11,APPLICATION_CALL,CALL_INFORMATION_CURRENT,OPEN,National (India),INCLUDED,APPLICATION_CALLS,PUBLISHED,1,PUBLIC_SCHEMES,APPROVED,APPROVED_FOR_DATABASE,https://tdb.gov.in/rdi_slfm,https://www.e-techcom.tdb.gov.in/rdif-registration.php,,,,INR,,,NOT_STATED,True,,,,,,"[""The official TDB page explicitly includes DPIIT-defined startups among eligible technology entities receiving RDIF support through SLFMs.""]","[""Indian legal entities including DPIIT-defined startups, companies, partnerships and LLPs; resident-Indian control, Indian headquarters and RDI-intensive technology at TRL 4 or above are required""]","[""Long-tenure collateral-free loan, equity or hybrid support; normally up to 50% of assessed project cost. No grant funding. TDB states 3%–4% interest and a 12–15 year period for RDIF loans.""]","[""Apply through https://www.e-techcom.tdb.gov.in/rdif-registration.php""]",[],"[""Deep Technology"", ""ClimateTech & Clean Energy"", ""Artificial Intelligence & Data"", ""Biotechnology & Medical Technologies"", ""Digital Economy & AgriTech"", ""Space Technology"", ""Semiconductors & Electronics""]","[""Open Funding Call""]","[""Startups, innovators and other directly eligible applicants""]","[""TRL 4 AND ABOVE""]","[""https://tdb.gov.in/sites/default/files/2026-01/2026_ig.pdf""]","[""https://tdb.gov.in/rdi_slfm"", ""https://www.e-techcom.tdb.gov.in/rdif-registration.php"", ""https://tdb.gov.in/sites/default/files/2026-01/2026_ig.pdf""]",[],[],[],"[""Verify beneficiary layer, parent scheme, status evidence, sectors and official links before approval.""]","[""The official TDB page explicitly includes DPIIT-defined startups among eligible technology entities receiving RDIF support through SLFMs."", ""RDIF is the permanent fund"", ""TDB is its designated Second-Level Fund Manager for this application route."", ""Open status is supported by the active official Apply Now route and operational RDIF registration form"", ""no closing date is published."", ""The official RDIF/TDB pages enumerate sunrise and strategic sectors including clean energy, quantum, robotics, space, AI, agriculture, health, biotechnology, medical devices and the digital economy.""]",2026-07-11T10:29:43+00:00,"1st open call under rdi fund through tdb as second-level fund manager dst ministry of science and technology department of science and technology (dst) technology development board application_call open call_information_current national (india) application_calls the official tdb page explicitly includes dpiit-defined startups among eligible technology entities receiving rdif support through slfms. indian legal entities including dpiit-defined startups, companies, partnerships and llps; resident-indian control, indian headquarters and rdi-intensive technology at trl 4 or above are required long-tenure collateral-free loan, equity or hybrid support; normally up to 50% of assessed project cost. no grant funding. tdb states 3%–4% interest and a 12–15 year period for rdif loans. deep technology climatetech & clean energy artificial intelligence & data biotechnology & medical technologies digital economy & agritech space technology semiconductors & electronics open funding call startups, innovators and other directly eligible applicants trl 4 and above"
idex_aditi1,ADITI 1,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official iDEX challenge index lists a last date of 19 April 2024 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in/challenges,,,2024-04-19,,INR,,250000000,NOT_STATED,True,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-1 aditi 1
idex_aditi2,ADITI 2,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official iDEX challenge index lists a last date of 11 November 2024 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in/challenges,,,2024-11-11,,INR,,250000000,NOT_STATED,True,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-2 aditi 2
idex_aditi2_reopen,ADITI 2 Re Open,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official iDEX challenge index lists a last date of 15 April 2025 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in/challenges,,,2025-04-15,,INR,,250000000,NOT_STATED,True,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-2-reopen aditi 2 re open
idex_aditi2_reopen2,ADITI 2 Re Open 2,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official iDEX challenge index lists a last date of 30 October 2025 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in/challenges,,,2025-10-30,,INR,,250000000,NOT_STATED,True,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-2-reopen-2 aditi 2 re open 2
idex_aditi3,ADITI 3,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official iDEX challenge index lists a last date of 03 December 2024 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in/challenges,,,2024-12-03,,INR,,250000000,NOT_STATED,True,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-3 aditi 3
idex_aditi4,ADITI 4,iDEX / Defence Innovation Organisation,Ministry of Defence,Department of Defence Production,Defence Innovation Organisation (DIO),,,DIRECT_SUPPORT,,,Official page lists 25 problem statements and a last date of 04 May 2026 at 5:00 PM.,2026-07-22,CHALLENGE,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,IDEX_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://idex.gov.in//disc-category/44,,,2026-05-04,,INR,,250000000,NOT_STATED,True,Official ADITI 4 page states grants up to Rs 25 crore.,,,,,[],[],[],[],[],[],[],[],[],"[""https://idex.gov.in/res""]",[],[],[],[],[],[],2026-07-22,aditi-4 aditi 4
agri_angrau_meristems_2025,ANGRAU Poshan 2nd Cohort MERISTEMS Student Agri-Startup Grant Call,Agriculture & Farmers Welfare startup ecosystem,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,ANGRAU Poshan Incubator Tirupati,,,DIRECT_SUPPORT,,,Official ANGRAU POSHAN call PDF states applications opened 15 December 2025 and closed 17 January 2026.,2026-07-23,APPLICATION_CALL,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,AGRI_STARTUP_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://angrau.ac.in/UPLOADS/EventsPDFs/meristems_aa.pdf,,,2026-01-17,,INR,,400000,RECORDED,True,Official ANGRAU call PDF states grant-in-aid up to Rs 4 lakhs for student agri-startups and the application deadline.,,,,,"[""Help Andhra Pradesh students convert agri ideas or prototypes into startups""]","[""Andhra Pradesh student agri-startups"", ""Student innovators""]","[""Student grant incubation mentoring training labs and prototyping""]",[],[],"[""Agriculture and allied sectors""]","[""APPLICATION_CALL"", ""INCUBATION"", ""GRANT_SUPPORT""]","[""Student agri-startups"", ""Student innovators""]","[""Idea"", ""Prototype""]","[""https://angrau.ac.in/UPLOADS/EventsPDFs/meristems_aa.pdf""]",[],[],[],"[""Historical Tirupati call retained for reference; no active application action.""]",[],[],2026-07-23,angrau-meristems-2025 angrau poshan 2nd cohort meristems student agri-startup grant call help andhra pradesh students convert agri ideas or prototypes into startups student grant incubation mentoring training labs and prototyping agriculture and allied sectors application_call|incubation|grant_support
agri_angrau_agriinvo_2025,ANGRAU Poshan 9th Cohort AGRI INVO Startup Agribusiness Incubation Call,Agriculture & Farmers Welfare startup ecosystem,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,ANGRAU Poshan Incubator Tirupati,,,DIRECT_SUPPORT,,,Official ANGRAU POSHAN call PDF states applications opened 15 December 2025 and closed 17 January 2026.,2026-07-23,APPLICATION_CALL,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,AGRI_STARTUP_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://angrau.ac.in/UPLOADS/EventsPDFs/agri_invoa.pdf,,,2026-01-17,,INR,,2500000,RECORDED,True,Official ANGRAU call PDF states seed-stage grant-in-aid up to Rs 25 lakhs and the application deadline.,,,,,"[""Help MVP-stage agri-startups reach market fit through incubation and seed-stage grant support""]","[""Andhra Pradesh agri-startups"", ""Full-time agripreneurs""]","[""Seed-stage grant incubation mentoring testing and market support""]",[],[],"[""Agriculture and allied sectors""]","[""APPLICATION_CALL"", ""INCUBATION"", ""GRANT_SUPPORT""]","[""Agri-startups"", ""MVP ventures""]","[""Prototype"", ""Early""]","[""https://angrau.ac.in/UPLOADS/EventsPDFs/agri_invoa.pdf""]",[],[],[],"[""Historical Tirupati call retained for reference; no active application action.""]",[],[],2026-07-23,angrau-agriinvo-2025 angrau poshan 9th cohort agri invo startup agribusiness incubation call help mvp-stage agri-startups reach market fit through incubation and seed-stage grant support seed-stage grant incubation mentoring testing and market support agriculture and allied sectors application_call|incubation|grant_support
agri_apeda_bharati_2025,APEDA BHARATI Pilot Cohort Application Call,Agriculture & Farmers Welfare startup ecosystem,Ministry of Agriculture & Farmers Welfare,Department of Commerce,Agricultural and Processed Food Products Export Development Authority (APEDA),,,DIRECT_SUPPORT,,,Official APEDA programme structure labels the pilot application window closed and records the September 2025 to June 2026 pilot cohort.,2026-07-22,APPLICATION_CALL,INFORMATION_AVAILABLE,CLOSED,India,INCLUDED,APPLICATION_CALLS,PUBLISHED,1,AGRI_STARTUP_ACTIVE_PUBLICATION,AUTOMATED_GATES_PASSED,AUTO_APPROVED,https://apeda.gov.in/bharati/Program_Structure.html,,,,,INR,,,NOT_STATED,True,,,,,,"[""Select agri-food and export-enabling startups for the BHARATI pilot cohort""]","[""Agri-food startups"", ""FPC startups"", ""Export-enabling technology startups""]","[""Application screening acceleration and export enablement""]",[],[],"[""Agri-food exports"", ""Food technology"", ""SPS solutions""]","[""APPLICATION_CALL"", ""ACCELERATION""]","[""Agri-food startups"", ""FPCs"", ""Innovators""]","[""Idea"", ""Validation"", ""Early"", ""Growth""]","[""https://apeda.gov.in/bharati/Program_Structure.html""]",[],[],[],"[""Historical pilot retained for reference; APEDA does not show a current intake deadline on the cited page.""]",[],[],2026-07-22,apeda-bharati-pilot-2025 apeda bharati pilot cohort application call select agri-food and export-enabling startups for the bharati pilot cohort application screening acceleration and export enablement agri-food exports|food technology|sps solutions application_call|acceleration
