master_id,scheme_name,primary_sector,secondary_sectors,confidence,method,review_required,evidence,scores,fetched_urls,fetch_notes
b1_d609e0f5ca82fb6e6416,Schemes,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.msme.gov.in/schemes""]","[""https://www.msme.gov.in/schemes::HTTP_200""]"
b1_1692cd16d54709c21f57,Startup Schemes Playbook June 2026.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf""]","[""https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf::PDF_SKIPPED""]"
b1_98664c06a5f9d1eee056,Distressed Assets Fund.Pdf,Cross-sector MSME & Startup Finance,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector MSME & Startup Finance"": 6.0}","[""https://champions.gov.in/Docs/Distressed Assets Fund.pdf""]","[""https://champions.gov.in/Docs/Distressed Assets Fund.pdf::PDF_SKIPPED""]"
b1_a4ddb9b174444c0cb2a3,Msme Launches Another Funding Scheme To Help The Distressed Msme Sector.Pdf,Cross-sector MSME & Startup Finance,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector MSME & Startup Finance"": 6.0}","[""https://champions.gov.in/Docs/MSME launches another funding scheme to help the distressed MSME sector.pdf""]","[""https://champions.gov.in/Docs/MSME launches another funding scheme to help the distressed MSME sector.pdf::PDF_SKIPPED""]"
b1_5a9643aad62a6ba1e2e0,Flipbookenglishschemebooklet.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://msme.gov.in/sites/default/files/FlipbookEnglishSchemeBooklet.pdf""]","[""https://msme.gov.in/sites/default/files/FlipbookEnglishSchemeBooklet.pdf::FETCH_ERROR:HTTPError""]"
b1_c2e9280b037e84eb773b,NTSC Aligarh | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,Sector Agnostic / Multi-sector,Robotics & Automation,0.83,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,True,explicit multi-sector evidence: all industries,"{""Sector Agnostic / Multi-sector"": 12.0, ""Robotics & Automation"": 10.0, ""Digital Technology & Software"": 2.0}","[""https://www.nsic.co.in/NTSC/Aligarh""]","[""https://www.nsic.co.in/NTSC/Aligarh::HTTP_200""]"
b1_ecffdf887de65cf27442,NTSC Chennai | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,Sector Agnostic / Multi-sector,,0.93,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,True,explicit multi-sector evidence: all industries; preserved existing controlled sector,"{""Sector Agnostic / Multi-sector"": 18.0}","[""https://www.nsic.co.in/NTSC/Chennai""]","[""https://www.nsic.co.in/NTSC/Chennai::HTTP_200""]"
b1_9647c41fe292f05075fe,Material Testing Labs | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries,Sector Agnostic / Multi-sector,,0.93,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,True,explicit multi-sector evidence: all industries; preserved existing controlled sector,"{""Sector Agnostic / Multi-sector"": 18.0}","[""https://www.nsic.co.in/NTSC/MaterialTestingLabs""]","[""https://www.nsic.co.in/NTSC/MaterialTestingLabs::HTTP_200""]"
b1_59487b4496e888df24a8,"NTSC Rajkot, Gujarat | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries C",Sector Agnostic / Multi-sector,,0.93,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,True,explicit multi-sector evidence: all industries; preserved existing controlled sector,"{""Sector Agnostic / Multi-sector"": 18.0}","[""https://www.nsic.co.in/NTSC/Rajkot""]","[""https://www.nsic.co.in/NTSC/Rajkot::HTTP_200""]"
b1_3de6025f3c9464f01990,"NTSC Rajpura, Punjab |NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Co",Sector Agnostic / Multi-sector,,0.93,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,True,explicit multi-sector evidence: all industries; preserved existing controlled sector,"{""Sector Agnostic / Multi-sector"": 18.0}","[""https://www.nsic.co.in/NTSC/Rajpura""]","[""https://www.nsic.co.in/NTSC/Rajpura::HTTP_200""]"
